trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
2,2025-12-12 16:11:00,2025-12-12 16:30:00,long,48796.73,48761.11,48921.40000000001,48761.11,sl,-37.62,-528.07,-1.056,99471.93,new_york,48796.73,48786.11,2025-12-12 16:00:00
1,2025-12-12 16:00:00,2025-12-12 16:47:00,short,48827.21,48863.78,48699.215,48863.78,sl,-38.57,-527.34,-1.055,98944.58,new_york,48838.78,48827.21,2025-12-12 13:40:00
3,2025-12-12 17:01:00,2025-12-12 17:13:00,long,48796.11,48741.91,48985.80999999999,48741.91,sl,-56.2,-512.98,-1.037,98431.6,new_york,48796.11,48766.91,2025-12-12 16:50:00
5,2025-12-15 15:08:00,2025-12-15 16:11:00,short,48663.23,48716.71,48476.05000000002,48716.71,sl,-55.48,-510.56,-1.037,97921.04,new_york,48691.71,48663.23,2025-12-15 15:05:00
6,2025-12-15 16:34:00,2025-12-15 16:35:00,long,48600.91,48570.91,48705.91,48570.91,sl,-32.0,-522.25,-1.067,97398.79,new_york,48600.91,48595.91,2025-12-15 10:45:00
4,2025-12-15 14:50:00,2025-12-15 16:48:00,short,48681.23,48720.73,48542.98,48542.98,tp,136.25,1697.63,3.449,99096.43,new_york,48695.73,48681.23,2025-12-15 14:15:00
7,2025-12-16 16:30:00,2025-12-16 16:40:00,long,48370.33,48333.33,48499.83,48333.33,sl,-39.0,-522.26,-1.054,98574.16,new_york,48370.33,48358.33,2025-12-16 13:55:00
8,2025-12-16 16:45:00,2025-12-16 16:50:00,long,48306.51,48270.11,48433.91,48433.91,tp,125.4,1697.97,3.445,100272.13,new_york,48306.51,48295.11,2025-12-16 12:30:00
9,2025-12-16 17:51:00,2025-12-16 19:26:00,long,48233.81,48120.31,48631.06,48120.31,sl,-115.5,-510.2,-1.018,99761.93,new_york,48233.81,48145.31,2025-12-16 17:45:00
11,2025-12-18 15:03:00,2025-12-18 15:17:00,short,47977.91,48011.01,47862.06000000001,48011.01,sl,-35.1,-528.95,-1.06,99232.99,new_york,47986.01,47977.91,2025-12-18 15:00:00
10,2025-12-18 14:53:00,2025-12-18 15:30:00,long,47963.18,47924.13,48099.85500000001,48099.85500000001,tp,134.68,1720.29,3.449,100953.27,new_york,47963.18,47949.13,2025-12-18 13:10:00
12,2025-12-18 16:24:00,2025-12-18 16:48:00,long,48131.81,48070.81,48345.31,48070.81,sl,-63.0,-521.32,-1.033,100431.96,new_york,48131.81,48095.81,2025-12-18 16:20:00
13,2025-12-18 19:18:00,2025-12-18 19:24:00,long,47916.61,47881.11,48040.86,47881.11,sl,-37.5,-530.45,-1.056,99901.51,new_york,47916.61,47906.11,2025-12-18 11:50:00
14,2025-12-18 19:18:00,2025-12-18 19:26:00,long,47896.31,47862.91,48013.20999999998,47862.91,sl,-35.4,-532.23,-1.06,99369.28,new_york,47896.31,47887.91,2025-12-18 11:15:00
15,2025-12-19 16:17:00,2025-12-19 16:29:00,short,47997.91,48061.21,47776.360000000015,48061.21,sl,-65.3,-512.54,-1.032,98856.73,new_york,48036.21,47997.91,2025-12-19 12:35:00
16,2025-12-22 14:46:00,2025-12-22 16:30:00,long,48153.03,48114.03,48289.53,48289.53,tp,134.5,1704.64,3.449,100561.38,new_york,48153.03,48139.03,2025-12-22 14:40:00
17,2025-12-23 16:54:00,2025-12-23 17:17:00,short,48360.93,48390.43,48257.68,48390.43,sl,-31.5,-536.9,-1.068,100024.48,new_york,48365.43,48360.93,2025-12-23 13:55:00
