trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
1,2026-02-26 06:38:00,2026-02-26 07:51:00,short,211.541,211.626,211.24349999999998,211.24349999999998,tp,0.3,1738.24,3.476,101738.24,full_day,211.601,211.541,2026-02-26 04:10:00,1738.24,1738.24,0.0
2,2026-02-26 08:05:00,2026-02-26 09:21:00,short,211.483,211.58,211.14349999999996,211.58,sl,-0.1,-519.18,-1.021,101219.06,full_day,211.555,211.483,2026-02-26 07:00:00,1219.06,1738.24,-519.1800000000001
3,2026-02-26 09:35:00,2026-02-26 09:50:00,long,211.5,211.40099999999998,211.84650000000005,211.40099999999998,sl,-0.1,-516.32,-1.02,100702.74,full_day,211.5,211.426,2026-02-26 09:20:00,702.7399999999999,1738.24,-1035.5
4,2026-02-26 11:31:00,2026-02-26 12:25:00,short,211.04,211.167,210.59549999999996,211.167,sl,-0.13,-511.44,-1.016,100191.29,full_day,211.142,211.04,2026-02-26 10:50:00,191.2999999999999,1738.24,-1546.94
6,2026-02-26 16:31:00,2026-02-26 16:44:00,long,211.392,211.317,211.65449999999996,211.317,sl,-0.08,-514.32,-1.027,99676.98,full_day,211.392,211.342,2026-02-26 16:20:00,-323.02000000000015,1738.24,-2061.26
7,2026-02-26 16:49:00,2026-02-26 16:54:00,long,211.229,211.159,211.4740000000001,211.159,sl,-0.07,-512.62,-1.029,99164.35,full_day,211.229,211.184,2026-02-26 14:50:00,-835.6400000000001,1738.24,-2573.88
5,2026-02-26 16:26:00,2026-02-26 17:14:00,short,211.457,211.582,211.0195,211.0195,tp,0.44,1745.33,3.484,100909.69,full_day,211.557,211.457,2026-02-26 15:35:00,909.6899999999998,1738.24,-828.5500000000002
8,2026-02-27 00:15:00,2026-02-27 01:39:00,long,210.353,210.232,210.77650000000006,210.232,sl,-0.12,-512.89,-1.017,100396.8,full_day,210.353,210.257,2026-02-26 20:25:00,396.79999999999984,1738.24,-1341.44
9,2026-02-27 02:10:00,2026-02-27 02:25:00,short,210.37,210.43,210.16,210.16,tp,0.21,1740.21,3.467,102137.01,full_day,210.405,210.37,2026-02-27 01:45:00,2137.0099999999998,2137.0099999999998,0.0
10,2026-02-27 05:04:00,2026-02-27 09:27:00,short,210.139,210.243,209.77500000000006,210.243,sl,-0.11,-520.51,-1.019,101616.5,full_day,210.218,210.139,2026-02-27 04:40:00,1616.4999999999998,2137.0099999999998,-520.51
11,2026-02-27 09:33:00,2026-02-27 09:45:00,short,210.297,210.395,209.95399999999995,210.395,sl,-0.1,-518.45,-1.02,101098.05,full_day,210.37,210.297,2026-02-27 02:30:00,1098.0499999999997,2137.0099999999998,-1038.96
12,2026-02-27 12:09:00,2026-02-27 12:13:00,long,210.369,210.262,210.74349999999998,210.262,sl,-0.11,-514.94,-1.019,100583.11,full_day,210.369,210.287,2026-02-27 09:55:00,583.1099999999997,2137.0099999999998,-1553.9
13,2026-02-27 15:18:00,2026-02-27 15:25:00,short,210.19,210.232,210.043,210.043,tp,0.14,1736.26,3.452,102319.37,full_day,210.207,210.19,2026-02-27 13:10:00,2319.37,2319.37,0.0
14,2026-02-27 16:31:00,2026-02-27 21:34:00,short,210.099,210.21200000000002,209.7034999999999,210.21200000000002,sl,-0.12,-520.65,-1.018,101798.72,full_day,210.187,210.099,2026-02-27 15:35:00,1798.7199999999998,2319.37,-520.6500000000001
15,2026-03-02 02:42:00,2026-03-02 03:00:00,short,210.008,210.183,209.39550000000008,210.183,sl,-0.18,-514.81,-1.011,101283.91,full_day,210.158,210.008,2026-03-02 02:30:00,1283.9099999999999,2319.37,-1035.46
16,2026-03-02 03:11:00,2026-03-02 04:00:00,short,210.408,210.507,210.0614999999999,210.0614999999999,tp,0.34,1762.24,3.48,103046.14,full_day,210.482,210.408,2026-02-27 23:20:00,3046.1499999999996,3046.1499999999996,0.0
17,2026-03-02 04:05:00,2026-03-02 04:21:00,short,210.169,210.225,209.97300000000007,210.225,sl,-0.06,-533.63,-1.036,102512.51,full_day,210.2,210.169,2026-03-02 04:00:00,2512.5199999999995,3046.1499999999996,-533.6300000000001
18,2026-03-02 06:21:00,2026-03-02 06:54:00,long,210.155,210.088,210.38950000000003,210.38950000000003,tp,0.23,1778.67,3.47,104291.18,full_day,210.155,210.113,2026-03-02 05:55:00,4291.19,4291.19,0.0
19,2026-03-02 07:28:00,2026-03-02 07:36:00,long,210.34,210.297,210.49050000000003,210.49050000000003,tp,0.15,1800.84,3.453,106092.02,full_day,210.34,210.322,2026-03-02 07:25:00,6092.03,6092.03,0.0
20,2026-03-02 08:17:00,2026-03-02 08:23:00,long,210.236,210.143,210.56149999999997,210.143,sl,-0.09,-541.87,-1.022,105550.15,full_day,210.236,210.168,2026-03-02 06:40:00,5550.16,6092.03,-541.8699999999999
21,2026-03-02 10:22:00,2026-03-02 12:00:00,short,209.67,209.969,208.62349999999998,209.969,sl,-0.3,-531.28,-1.007,105018.87,full_day,209.944,209.67,2026-03-02 09:55:00,5018.88,6092.03,-1073.1499999999996
22,2026-03-02 12:24:00,2026-03-02 12:35:00,short,210.105,210.169,209.88099999999991,210.169,sl,-0.07,-541.5,-1.031,104477.37,full_day,210.144,210.105,2026-03-02 08:50:00,4477.38,6092.03,-1614.6499999999996
23,2026-03-02 13:20:00,2026-03-02 13:45:00,short,210.434,210.507,210.17849999999999,210.507,sl,-0.08,-536.7,-1.027,103940.67,full_day,210.482,210.434,2026-03-02 08:10:00,3940.6800000000003,6092.03,-2151.3499999999995
24,2026-03-02 15:59:00,2026-03-02 16:00:00,long,210.813,210.72,211.13849999999996,210.72,sl,-0.09,-530.88,-1.022,103409.79,full_day,210.813,210.745,2026-03-02 15:30:00,3409.8,6092.03,-2682.2299999999996
25,2026-03-02 19:50:00,2026-03-02 19:53:00,short,211.049,211.12800000000001,210.77249999999998,211.12800000000001,sl,-0.08,-530.14,-1.025,102879.65,full_day,211.103,211.049,2026-03-02 19:40:00,2879.6600000000003,6092.03,-3212.3699999999994
26,2026-03-02 20:04:00,2026-03-02 20:41:00,long,211.003,210.91299999999998,211.31799999999998,210.91299999999998,sl,-0.09,-525.83,-1.022,102353.82,full_day,211.003,210.938,2026-03-02 20:00:00,2353.8300000000004,6092.03,-3738.1999999999994
27,2026-03-03 04:04:00,2026-03-03 04:13:00,long,210.871,210.77599999999998,211.2035000000001,210.77599999999998,sl,-0.1,-522.54,-1.021,101831.28,full_day,210.871,210.801,2026-03-03 02:45:00,1831.2900000000004,6092.03,-4260.74
28,2026-03-03 04:41:00,2026-03-03 05:32:00,long,210.787,210.694,211.11250000000007,210.694,sl,-0.1,-520.11,-1.022,101311.17,full_day,210.787,210.719,2026-03-03 04:40:00,1311.1800000000003,6092.03,-4780.849999999999
29,2026-03-03 07:03:00,2026-03-03 07:11:00,short,210.737,210.77700000000002,210.59699999999992,210.59699999999992,tp,0.14,1747.62,3.45,103058.79,full_day,210.752,210.737,2026-03-03 06:45:00,3058.8,6092.03,-3033.2299999999996
30,2026-03-03 11:02:00,2026-03-03 11:08:00,short,209.614,209.711,209.2745,209.711,sl,-0.1,-525.92,-1.021,102532.87,full_day,209.686,209.614,2026-03-03 11:00:00,2532.88,6092.03,-3559.1499999999996
