trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
2,2026-02-26 16:31:00,2026-02-26 16:44:00,long,211.392,211.317,211.65449999999996,211.317,sl,-0.08,-513.33,-1.027,99486.67,new_york,211.392,211.342,2026-02-26 16:20:00,-513.33,-513.33,0.0
3,2026-02-26 16:49:00,2026-02-26 16:54:00,long,211.229,211.159,211.4740000000001,211.159,sl,-0.07,-511.65,-1.029,98975.02,new_york,211.229,211.184,2026-02-26 14:50:00,-1024.98,-513.33,-511.65
1,2026-02-26 16:26:00,2026-02-26 17:14:00,short,211.457,211.582,211.0195,211.0195,tp,0.44,1742.0,3.484,100717.02,new_york,211.557,211.457,2026-02-26 15:35:00,717.02,717.02,0.0
4,2026-02-27 15:18:00,2026-02-27 15:25:00,short,210.19,210.232,210.043,210.043,tp,0.14,1738.57,3.452,102455.59,new_york,210.207,210.19,2026-02-27 13:10:00,2455.59,2455.59,0.0
5,2026-02-27 16:31:00,2026-02-27 21:34:00,short,210.099,210.21200000000002,209.7034999999999,210.21200000000002,sl,-0.12,-521.34,-1.018,101934.24,new_york,210.187,210.099,2026-02-27 15:35:00,1934.25,2455.59,-521.3400000000001
6,2026-03-02 15:59:00,2026-03-02 16:00:00,long,210.813,210.72,211.13849999999996,210.72,sl,-0.09,-520.63,-1.022,101413.61,new_york,210.813,210.745,2026-03-02 15:30:00,1413.62,2455.59,-1041.9700000000003
7,2026-03-02 19:50:00,2026-03-02 19:53:00,short,211.049,211.12800000000001,210.77249999999998,211.12800000000001,sl,-0.08,-519.91,-1.025,100893.71,new_york,211.103,211.049,2026-03-02 19:40:00,893.7099999999999,2455.59,-1561.88
8,2026-03-03 15:29:00,2026-03-03 15:38:00,long,210.006,209.846,210.56599999999997,209.846,sl,-0.16,-510.77,-1.013,100382.93,new_york,210.006,209.871,2026-03-03 15:25:00,382.93999999999994,2455.59,-2072.65
9,2026-03-03 16:21:00,2026-03-03 16:44:00,short,210.108,210.205,209.76849999999996,209.76849999999996,tp,0.34,1746.35,3.479,102129.28,new_york,210.18,210.108,2026-03-03 09:05:00,2129.29,2455.59,-326.3000000000002
10,2026-03-03 16:49:00,2026-03-03 16:59:00,long,209.753,209.55599999999998,210.4425,209.55599999999998,sl,-0.2,-515.83,-1.01,101613.45,new_york,209.753,209.581,2026-03-03 14:20:00,1613.46,2455.59,-842.1300000000001
11,2026-03-04 13:51:00,2026-03-04 13:52:00,long,210.21,210.156,210.399,210.156,sl,-0.06,-526.88,-1.037,101086.57,new_york,210.21,210.181,2026-03-04 13:00:00,1086.58,2455.59,-1369.0100000000002
13,2026-03-04 16:52:00,2026-03-04 16:55:00,long,210.184,210.125,210.39049999999997,210.125,sl,-0.06,-522.57,-1.034,100564.0,new_york,210.184,210.15,2026-03-04 16:20:00,564.0099999999999,2455.59,-1891.5800000000004
12,2026-03-04 14:54:00,2026-03-04 18:23:00,long,209.992,209.785,210.71649999999997,209.785,sl,-0.21,-510.32,-1.01,100053.69,new_york,209.992,209.81,2026-03-04 09:30:00,53.689999999999884,2455.59,-2401.9
14,2026-03-05 15:33:00,2026-03-05 16:39:00,long,210.393,210.299,210.72199999999998,210.299,sl,-0.1,-510.91,-1.021,99542.77,new_york,210.393,210.324,2026-03-05 15:15:00,-457.22000000000014,2455.59,-2912.8100000000004
15,2026-03-05 18:27:00,2026-03-05 19:55:00,long,209.81,209.67499999999998,210.28250000000008,210.28250000000008,tp,0.47,1734.63,3.485,101277.4,new_york,209.81,209.7,2026-03-05 13:05:00,1277.4099999999999,2455.59,-1178.1800000000003
16,2026-03-06 16:01:00,2026-03-06 16:28:00,long,210.555,210.498,210.75450000000006,210.75450000000006,tp,0.2,1754.59,3.465,103031.99,new_york,210.555,210.523,2026-03-06 15:25:00,3032.0,3032.0,0.0
17,2026-03-06 16:38:00,2026-03-06 16:46:00,long,210.633,210.492,211.12650000000008,210.492,sl,-0.14,-522.47,-1.014,102509.52,new_york,210.633,210.517,2026-03-06 16:30:00,2509.5299999999997,3032.0,-522.4700000000003
18,2026-03-06 17:05:00,2026-03-06 17:13:00,short,210.657,210.809,210.12500000000006,210.809,sl,-0.15,-519.29,-1.013,101990.23,new_york,210.784,210.657,2026-03-06 16:50:00,1990.2399999999998,3032.0,-1041.7600000000002
19,2026-03-09 16:18:00,2026-03-09 16:25:00,short,211.644,211.776,211.182,211.776,sl,-0.13,-517.68,-1.015,101472.55,new_york,211.751,211.644,2026-03-09 16:15:00,1472.56,3032.0,-1559.44
21,2026-03-09 19:25:00,2026-03-09 21:26:00,short,211.872,212.05700000000002,211.2245,212.05700000000002,sl,-0.19,-512.85,-1.011,100959.7,new_york,212.032,211.872,2026-03-09 18:25:00,959.7099999999999,3032.0,-2072.29
20,2026-03-09 18:36:00,2026-03-10 11:45:00,long,211.635,211.462,212.2405,212.2405,tp,0.6,1769.9,3.488,102729.61,new_york,211.635,211.487,2026-03-09 17:45:00,2729.61,3032.0,-302.3899999999999
22,2026-03-10 13:46:00,2026-03-10 14:04:00,short,212.196,212.293,211.85649999999998,212.293,sl,-0.1,-524.24,-1.021,102205.37,new_york,212.268,212.196,2026-03-10 13:10:00,2205.37,3032.0,-826.6300000000001
23,2026-03-10 18:52:00,2026-03-10 19:02:00,long,212.164,212.04,212.59799999999996,212.04,sl,-0.13,-519.27,-1.016,101686.1,new_york,212.164,212.065,2026-03-10 16:20:00,1686.1,3032.0,-1345.9
24,2026-03-10 19:07:00,2026-03-11 03:54:00,long,212.048,211.924,212.48199999999997,212.48199999999997,tp,0.43,1771.31,3.484,103457.4,new_york,212.048,211.949,2026-03-10 11:45:00,3457.41,3457.41,0.0
26,2026-03-11 14:27:00,2026-03-11 14:42:00,short,212.776,212.86,212.482,212.86,sl,-0.09,-529.6,-1.024,102927.8,new_york,212.835,212.776,2026-03-11 14:20:00,2927.81,3457.41,-529.5999999999999
25,2026-03-11 13:52:00,2026-03-11 14:50:00,short,212.798,212.90200000000002,212.43399999999997,212.90200000000002,sl,-0.11,-527.23,-1.019,102400.57,new_york,212.877,212.798,2026-03-11 05:40:00,2400.58,3457.41,-1056.83
27,2026-03-11 16:41:00,2026-03-11 17:01:00,short,212.624,212.749,212.1865,212.749,sl,-0.13,-520.19,-1.016,101880.37,new_york,212.724,212.624,2026-03-11 16:40:00,1880.3899999999999,3457.41,-1577.02
28,2026-03-11 19:32:00,2026-03-11 19:55:00,short,212.934,213.001,212.69949999999997,213.001,sl,-0.07,-524.61,-1.03,101355.76,new_york,212.976,212.934,2026-03-11 18:50:00,1355.7799999999997,3457.41,-2101.63
29,2026-03-11 19:52:00,2026-03-11 20:24:00,short,212.974,213.092,212.56099999999992,213.092,sl,-0.12,-518.04,-1.017,100837.73,new_york,213.067,212.974,2026-03-11 18:15:00,837.7399999999998,3457.41,-2619.67
30,2026-03-12 14:55:00,2026-03-12 15:18:00,long,212.57,212.505,212.79749999999999,212.505,sl,-0.07,-519.7,-1.031,100318.03,new_york,212.57,212.53,2026-03-12 14:50:00,318.03999999999974,3457.41,-3139.37
31,2026-03-12 16:08:00,2026-03-12 16:41:00,short,212.682,212.73600000000002,212.49299999999988,212.73600000000002,sl,-0.06,-520.17,-1.037,99797.86,new_york,212.711,212.682,2026-03-12 10:55:00,-202.13000000000022,3457.41,-3659.54
32,2026-03-12 18:18:00,2026-03-12 19:21:00,short,212.521,212.637,212.11499999999995,212.637,sl,-0.12,-507.59,-1.017,99290.27,new_york,212.612,212.521,2026-03-12 18:15:00,-709.7200000000003,3457.41,-4167.13
33,2026-03-12 19:39:00,2026-03-13 00:15:00,long,212.561,212.42,213.05450000000008,212.42,sl,-0.14,-503.49,-1.014,98786.77,new_york,212.561,212.445,2026-03-12 19:30:00,-1213.2100000000003,3457.41,-4670.62
34,2026-03-13 14:51:00,2026-03-13 14:57:00,long,211.229,211.161,211.46700000000004,211.161,sl,-0.07,-508.46,-1.029,98278.31,new_york,211.229,211.186,2026-03-13 14:35:00,-1721.6700000000003,3457.41,-5179.08
35,2026-03-13 17:04:00,2026-03-13 17:15:00,long,211.238,211.162,211.50399999999996,211.162,sl,-0.08,-504.32,-1.026,97773.99,new_york,211.238,211.187,2026-03-13 15:30:00,-2225.9900000000002,3457.41,-5683.4
36,2026-03-13 17:34:00,2026-03-13 17:39:00,short,211.351,211.43,211.07449999999997,211.43,sl,-0.08,-501.25,-1.025,97272.74,new_york,211.405,211.351,2026-03-13 17:05:00,-2727.2400000000002,3457.41,-6184.65
37,2026-03-13 17:38:00,2026-03-13 17:56:00,short,211.395,211.441,211.23400000000004,211.23400000000004,tp,0.16,1689.79,3.457,98962.53,new_york,211.416,211.395,2026-03-13 16:40:00,-1037.4500000000003,3457.41,-4494.860000000001
38,2026-03-13 18:26:00,2026-03-13 20:15:00,long,211.173,211.102,211.42149999999998,211.42149999999998,tp,0.25,1717.91,3.472,100680.44,new_york,211.173,211.127,2026-03-13 17:40:00,680.4599999999998,3457.41,-2776.95
39,2026-03-13 19:18:00,2026-03-13 23:06:00,long,211.233,211.123,211.61800000000005,211.123,sl,-0.11,-503.81,-1.018,100176.63,new_york,211.233,211.148,2026-03-13 19:15:00,176.6499999999998,3457.41,-3280.76
40,2026-03-16 16:23:00,2026-03-16 16:38:00,short,211.431,211.495,211.20700000000005,211.495,sl,-0.07,-516.54,-1.031,99660.09,new_york,211.47,211.431,2026-03-16 08:25:00,-339.89000000000016,3457.41,-3797.3
41,2026-03-17 16:37:00,2026-03-17 17:34:00,short,212.054,212.185,211.59550000000002,212.185,sl,-0.13,-505.91,-1.015,99154.18,new_york,212.16,212.054,2026-03-17 16:35:00,-845.8000000000002,3457.41,-4303.21
42,2026-03-17 18:52:00,2026-03-17 19:02:00,long,212.226,212.138,212.534,212.138,sl,-0.09,-507.04,-1.023,98647.15,new_york,212.226,212.163,2026-03-17 18:50:00,-1352.8400000000001,3457.41,-4810.25
43,2026-03-17 19:18:00,2026-03-17 20:46:00,short,212.201,212.279,211.928,212.279,sl,-0.08,-505.88,-1.026,98141.26,new_york,212.254,212.201,2026-03-17 19:10:00,-1858.7200000000003,3457.41,-5316.13
44,2026-03-18 16:04:00,2026-03-18 16:30:00,short,212.387,212.467,212.10699999999997,212.467,sl,-0.08,-502.97,-1.025,97638.29,new_york,212.442,212.387,2026-03-18 15:25:00,-2361.6900000000005,3457.41,-5819.1
45,2026-03-18 19:46:00,2026-03-18 20:38:00,short,212.536,212.67000000000002,212.06699999999995,212.67000000000002,sl,-0.14,-495.48,-1.015,97142.81,new_york,212.645,212.536,2026-03-18 19:35:00,-2857.1700000000005,3457.41,-6314.58
46,2026-03-19 13:55:00,2026-03-19 15:00:00,short,211.353,211.53300000000002,210.72299999999998,211.53300000000002,sl,-0.18,-491.11,-1.011,96651.7,new_york,211.508,211.353,2026-03-19 13:15:00,-3348.2800000000007,3457.41,-6805.6900000000005
47,2026-03-19 14:28:00,2026-03-19 15:00:00,long,211.208,211.09199999999998,211.61400000000003,211.61400000000003,tp,0.4,1691.62,3.483,98343.32,new_york,211.208,211.117,2026-03-19 12:55:00,-1656.6600000000008,3457.41,-5114.070000000001
48,2026-03-19 15:01:00,2026-03-19 15:12:00,short,211.507,211.674,210.9225,211.674,sl,-0.17,-497.61,-1.012,97845.72,new_york,211.649,211.507,2026-03-19 11:10:00,-2154.270000000001,3457.41,-5611.68
49,2026-03-19 18:10:00,2026-03-19 18:56:00,short,211.83,211.95600000000002,211.389,211.389,tp,0.44,1704.53,3.484,99550.25,new_york,211.931,211.83,2026-03-19 10:05:00,-449.7400000000009,3457.41,-3907.1500000000005
51,2026-03-19 19:07:00,2026-03-19 19:35:00,long,211.391,211.277,211.79000000000002,211.277,sl,-0.12,-506.48,-1.018,99043.77,new_york,211.391,211.302,2026-03-19 18:05:00,-956.2200000000009,3457.41,-4413.630000000001
50,2026-03-19 18:32:00,2026-03-19 22:06:00,short,211.683,211.906,210.90249999999995,211.906,sl,-0.23,-493.62,-1.009,98550.15,new_york,211.881,211.683,2026-03-19 18:30:00,-1449.840000000001,3457.41,-4907.250000000001
52,2026-03-20 13:52:00,2026-03-20 14:17:00,long,212.316,212.24699999999999,212.55750000000006,212.24699999999999,sl,-0.07,-507.03,-1.029,98043.12,new_york,212.316,212.272,2026-03-20 10:20:00,-1956.870000000001,3457.41,-5414.280000000001
53,2026-03-20 15:27:00,2026-03-20 15:56:00,long,212.414,212.296,212.82699999999997,212.296,sl,-0.12,-498.52,-1.017,97544.6,new_york,212.414,212.321,2026-03-20 15:15:00,-2455.3900000000012,3457.41,-5912.800000000001
54,2026-03-20 18:55:00,2026-03-20 19:11:00,long,211.789,211.72799999999998,212.0025,212.0025,tp,0.21,1691.04,3.467,99235.64,new_york,211.789,211.753,2026-03-20 18:20:00,-764.3500000000013,3457.41,-4221.760000000001
55,2026-03-20 19:05:00,2026-03-20 19:16:00,short,211.968,212.082,211.56899999999996,212.082,sl,-0.12,-496.28,-1.018,98739.36,new_york,212.057,211.968,2026-03-20 18:55:00,-1260.6300000000012,3457.41,-4718.040000000001
56,2026-03-23 14:09:00,2026-03-23 14:20:00,short,212.41,212.614,211.69599999999997,211.69599999999997,tp,0.71,1723.1,3.49,100462.45,new_york,212.589,212.41,2026-03-23 11:45:00,462.46999999999866,3457.41,-2994.9400000000014
57,2026-03-23 14:21:00,2026-03-23 14:29:00,long,211.724,211.601,212.15449999999996,212.15449999999996,tp,0.43,1749.93,3.484,102212.38,new_york,211.724,211.626,2026-03-23 14:05:00,2212.3999999999987,3457.41,-1245.0100000000011
58,2026-03-24 13:48:00,2026-03-24 13:53:00,short,212.655,212.74,212.35749999999996,212.74,sl,-0.09,-523.09,-1.024,101689.29,new_york,212.715,212.655,2026-03-24 11:35:00,1689.3099999999986,3457.41,-1768.1000000000013
59,2026-03-25 16:40:00,2026-03-25 16:50:00,long,212.87,212.80599999999998,213.09400000000008,212.80599999999998,sl,-0.07,-524.34,-1.031,101164.96,new_york,212.87,212.831,2026-03-25 13:20:00,1164.9699999999984,3457.41,-2292.4400000000014
60,2026-03-25 16:47:00,2026-03-25 17:00:00,long,212.831,212.737,213.15999999999997,212.737,sl,-0.1,-519.26,-1.021,100645.69,new_york,212.831,212.762,2026-03-25 10:55:00,645.7099999999984,3457.41,-2811.7000000000016
