trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
1,2025-12-12 16:10:00,2025-12-12 16:30:00,long,48794.28,48761.11,48910.37499999999,48761.11,sl,-35.17,-530.15,-1.06,99469.85,new_york,48796.73,48786.11,2025-12-12 16:00:00,-530.15,-530.15,0.0
2,2025-12-12 17:00:00,2025-12-12 17:13:00,long,48790.21,48741.91,48959.25999999998,48741.91,sl,-50.3,-517.94,-1.041,98951.91,new_york,48796.11,48766.91,2025-12-12 16:50:00,-1048.0900000000001,-530.15,-517.9400000000002
3,2025-12-15 16:29:00,2025-12-15 16:30:00,long,48673.91,48643.73,48779.54000000001,48643.73,sl,-32.18,-527.55,-1.066,98424.36,new_york,48675.73,48668.73,2025-12-15 16:00:00,-1575.64,-530.15,-1045.4900000000002
4,2025-12-15 16:33:00,2025-12-15 16:35:00,long,48600.71,48570.91,48705.00999999998,48570.91,sl,-31.8,-525.15,-1.067,97899.21,new_york,48600.91,48595.91,2025-12-15 10:45:00,-2100.79,-530.15,-1570.6399999999999
5,2025-12-16 16:29:00,2025-12-16 16:32:00,long,48360.51,48333.33,48455.64,48455.64,tp,93.13,1677.22,3.426,99576.43,new_york,48370.33,48358.33,2025-12-16 13:55:00,-423.56999999999994,-423.56999999999994,0.0
6,2025-12-16 16:44:00,2025-12-16 16:50:00,long,48300.31,48270.11,48406.00999999999,48406.00999999999,tp,103.7,1709.62,3.434,101286.04,new_york,48306.51,48295.11,2025-12-16 12:30:00,1286.05,1286.05,0.0
7,2025-12-16 17:50:00,2025-12-16 19:26:00,long,48232.81,48120.31,48626.56,48120.31,sl,-114.5,-515.43,-1.018,100770.61,new_york,48233.81,48145.31,2025-12-16 17:45:00,770.62,1286.05,-515.43
8,2025-12-18 14:52:00,2025-12-18 15:30:00,long,47963.01,47924.13,48099.09000000002,48099.09000000002,tp,134.08,1737.57,3.449,102508.18,new_york,47963.18,47949.13,2025-12-18 13:10:00,2508.19,2508.19,0.0
9,2025-12-18 16:23:00,2025-12-18 16:48:00,long,48128.81,48070.81,48331.81,48070.81,sl,-60.0,-530.21,-1.034,101977.96,new_york,48131.81,48095.81,2025-12-18 16:20:00,1977.98,2508.19,-530.21
10,2025-12-18 19:13:00,2025-12-18 19:16:00,long,47965.11,47929.81,48088.66000000001,47929.81,sl,-37.3,-538.78,-1.057,101439.18,new_york,47980.81,47954.81,2025-12-18 15:30:00,1439.2,2508.19,-1068.99
