trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
1,2026-02-10 20:22:00+00:00,2026-02-10 22:39:00+00:00,long,25222.33,25144.33,25495.33,25144.33,sl,-80.0,-512.82,-1.026,99487.18,full_day,25222.33,25169.33,2026-02-10 17:10:00+00:00,-512.82,-512.82,0.0
2,2026-02-10 22:50:00+00:00,2026-02-11 02:56:00+00:00,short,25164.73,25209.73,25007.23,25209.73,sl,-47.0,-519.54,-1.044,98967.64,full_day,25184.73,25164.73,2026-02-10 22:40:00+00:00,-1032.3600000000001,-512.82,-519.5400000000001
3,2026-02-11 04:28:00+00:00,2026-02-11 07:47:00+00:00,long,25231.13,25198.45,25345.510000000002,25198.45,sl,-34.68,-525.12,-1.061,98442.51,full_day,25231.13,25223.45,2026-02-11 04:25:00+00:00,-1557.48,-512.82,-1044.6599999999999
4,2026-02-11 05:23:00+00:00,2026-02-11 08:23:00+00:00,long,25222.05,25192.28,25326.245000000003,25192.28,sl,-31.77,-528.08,-1.067,97914.43,full_day,25222.05,25217.28,2026-02-11 03:45:00+00:00,-2085.56,-512.82,-1572.7399999999998
5,2026-02-11 11:06:00+00:00,2026-02-11 15:30:00+00:00,short,25187.95,25225.55,25056.350000000006,25225.55,sl,-39.6,-515.61,-1.053,97398.82,full_day,25200.55,25187.95,2026-02-11 10:10:00+00:00,-2601.17,-512.82,-2088.35
6,2026-02-11 16:37:00+00:00,2026-02-11 16:57:00+00:00,long,25277.55,25221.35,25474.25,25221.35,sl,-58.2,-504.32,-1.036,96894.49,full_day,25277.55,25246.35,2026-02-11 16:00:00+00:00,-3105.4900000000002,-512.82,-2592.67
7,2026-02-11 17:14:00+00:00,2026-02-11 17:20:00+00:00,long,25077.35,25039.25,25210.699999999993,25039.25,sl,-40.1,-509.9,-1.052,96384.59,full_day,25077.35,25064.25,2026-02-11 12:30:00+00:00,-3615.3900000000003,-512.82,-3102.57
8,2026-02-11 20:55:00+00:00,2026-02-11 21:25:00+00:00,short,25218.73,25265.63,25054.579999999994,25265.63,sl,-48.9,-502.47,-1.043,95882.11,full_day,25240.63,25218.73,2026-02-11 20:15:00+00:00,-4117.860000000001,-512.82,-3605.0400000000004
9,2026-02-11 21:46:00+00:00,2026-02-12 01:30:00+00:00,long,25206.38,25149.53,25405.35500000001,25149.53,sl,-58.85,-496.28,-1.035,95385.84,full_day,25206.38,25174.53,2026-02-11 21:30:00+00:00,-4614.14,-512.82,-4101.320000000001
11,2026-02-12 14:29:00+00:00,2026-02-12 15:15:00+00:00,long,25284.75,25241.95,25434.549999999996,25241.95,sl,-44.8,-499.22,-1.047,94886.62,full_day,25284.75,25266.95,2026-02-12 14:25:00+00:00,-5113.360000000001,-512.82,-4600.540000000001
