trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
185,2026-03-26 23:11:00,2026-03-27 00:49:00,long,212.805,212.708,213.14450000000005,212.708,sl,-0.1,-510.63,-1.021,99552.2,full_day,212.805,212.733,2026-03-26 16:05:00,-447.82000000000073,6092.03,-6539.85
184,2026-03-26 20:36:00,2026-03-27 05:39:00,short,213.028,213.181,212.49249999999992,212.866,end_of_data,0.16,514.25,1.046,100066.45,full_day,213.156,213.028,2026-03-26 19:20:00,66.42999999999927,6092.03,-6025.6
183,2026-03-26 19:01:00,2026-03-26 23:00:00,short,213.133,213.243,212.74800000000005,212.74800000000005,tp,0.38,1712.2,3.482,100062.83,full_day,213.218,213.133,2026-03-26 18:45:00,62.80999999999926,6092.03,-6029.22
182,2026-03-26 18:32:00,2026-03-26 18:41:00,long,213.104,213.00799999999998,213.4400000000001,213.00799999999998,sl,-0.1,-504.57,-1.021,98350.64,full_day,213.104,213.033,2026-03-26 17:20:00,-1649.3900000000008,6092.03,-7741.42
181,2026-03-25 19:03:00,2026-03-26 17:17:00,long,212.779,212.656,213.20949999999996,213.20949999999996,tp,0.43,1663.68,3.484,98855.21,full_day,212.779,212.681,2026-03-25 19:00:00,-1144.8200000000008,6092.03,-7236.85
180,2026-03-25 16:40:00,2026-03-25 16:50:00,long,212.87,212.80599999999998,213.09400000000008,212.80599999999998,sl,-0.07,-495.03,-1.031,95511.32,full_day,212.87,212.831,2026-03-25 13:20:00,-4488.710000000001,6092.03,-10580.740000000002
179,2026-03-25 12:24:00,2026-03-25 14:08:00,long,212.831,212.737,213.15999999999997,213.15999999999997,tp,0.33,1641.35,3.479,96006.35,full_day,212.831,212.762,2026-03-25 10:55:00,-3993.6800000000007,6092.03,-10085.710000000001
178,2026-03-25 08:38:00,2026-03-25 09:22:00,short,212.764,212.828,212.54000000000002,212.828,sl,-0.07,-489.09,-1.031,94365.0,full_day,212.803,212.764,2026-03-25 08:25:00,-5635.030000000001,6092.03,-11727.060000000001
177,2026-03-25 06:10:00,2026-03-25 08:23:00,long,212.774,212.703,213.02249999999998,212.703,sl,-0.07,-490.15,-1.028,94854.1,full_day,212.774,212.728,2026-03-25 01:20:00,-5145.9400000000005,6092.03,-11237.970000000001
176,2026-03-25 05:06:00,2026-03-25 05:12:00,long,212.834,212.796,212.96700000000004,212.796,sl,-0.04,-504.47,-1.053,95344.25,full_day,212.834,212.821,2026-03-25 02:00:00,-4655.790000000001,6092.03,-10747.82
175,2026-03-25 01:04:00,2026-03-25 01:46:00,short,212.791,212.898,212.41649999999998,212.898,sl,-0.11,-490.7,-1.019,95848.71,full_day,212.873,212.791,2026-03-25 00:20:00,-4151.320000000001,6092.03,-10243.35
174,2026-03-25 00:17:00,2026-03-26 17:17:00,long,212.619,212.451,213.20700000000002,213.20700000000002,tp,0.59,1680.21,3.488,97191.53,full_day,212.619,212.476,2026-03-24 20:30:00,-2808.500000000001,6092.03,-8900.53
173,2026-03-24 22:09:00,2026-03-25 00:15:00,long,212.69,212.624,212.921,212.624,sl,-0.07,-501.43,-1.03,96339.41,full_day,212.69,212.649,2026-03-24 21:40:00,-3660.6200000000003,6092.03,-9752.65
172,2026-03-24 21:43:00,2026-03-24 23:19:00,short,212.717,212.826,212.33550000000008,212.826,sl,-0.11,-495.61,-1.018,96840.84,full_day,212.801,212.717,2026-03-24 21:20:00,-3159.1900000000005,6092.03,-9251.220000000001
171,2026-03-24 13:12:00,2026-03-24 13:45:00,short,212.655,212.74,212.35749999999996,212.74,sl,-0.09,-500.7,-1.024,97336.46,full_day,212.715,212.655,2026-03-24 11:35:00,-2663.5800000000004,6092.03,-8755.61
