Ticket,Abrir,Tipo,Volumen,Símbolo,Precio,SL,TP,Cierre,Precio.1,Swap,Comisiones,Beneficio,Pips,Duración de la operación en segundos
95433699,2026-04-01 15:39:02,buy,1.04,US30.cash,46561.49,46513.11,46729.11,2026-04-01 15:44:57,46751.11,0.0,0.0,197.2,189.6,355
95438531,2026-04-01 16:07:39,buy,0.81,US30.cash,46496.49,46434.11,46710.86,2026-04-01 16:30:44,46718.8,0.0,0.0,180.07,222.3,1385
95469163,2026-04-01 20:18:19,sell,0.1,US30.cash,46761.8,46824.09,46561.14,2026-04-01 21:24:06,46560.3,0.0,0.0,20.15,201.5,3947
95470444,2026-04-01 20:37:42,sell,0.8,US30.cash,46752.75,46824.09,46561.07,2026-04-01 21:24:06,46560.3,0.0,0.0,153.96,192.5,2784
95474065,2026-04-01 21:21:00,buy,1.39,US30.cash,46590.3,46553.8,46715.8,2026-04-01 21:24:07,46550.8,0.0,0.0,-54.91,-39.5,187
95478957,2026-04-01 22:33:33,sell,0.85,US30.cash,46626.3,46694.59,46451.3,2026-04-01 22:41:33,46696.3,0.0,0.0,-59.5,-70.0,480
95561699,2026-04-02 17:00:01,sell,1.33,US30.cash,46108.4,46147.71,45978.96,2026-04-02 17:21:54,46159.9,0.0,0.0,-68.5,-51.5,1313
95565328,2026-04-02 17:22:39,sell,1.04,US30.cash,46138.4,46187.71,45971.71,2026-04-02 17:27:37,46188.9,0.0,0.0,-52.52,-50.5,298
95583005,2026-04-02 19:48:09,sell,1.09,US30.cash,46421.9,46469.9,46262.9,2026-04-02 21:53:00,46470.6,0.0,0.0,-53.08,-48.7,7491
95588177,2026-04-02 21:10:14,buy,0.39,US30.cash,46412.65,46286.45,46857.73,2026-04-06 01:05:02,46219.28,-11.48,0.0,-75.41,-193.4,273288
95603477,2026-04-03 14:01:21,sell,1.17,US30.cash,46396.15,46439.41,46246.77,2026-04-03 14:32:30,46439.79,0.0,0.0,-51.06,-43.6,1869
95604318,2026-04-03 14:35:49,sell,1.56,US30.cash,46436.6,46468.6,46324.6,2026-04-03 15:03:44,46468.79,0.0,0.0,-50.22,-32.2,1675
95606994,2026-04-03 15:39:47,buy,0.89,US30.cash,46395.29,46339.11,46591.29,2026-04-06 01:05:02,46219.28,-17.52,0.0,-156.65,-176.0,206715
