Ticket,Abrir,Tipo
159176706,2026-06-16 12:44:35,buy
159156229,2026-06-16 11:39:32,buy
158891455,2026-06-15 16:45:00,buy
158853147,2026-06-15 15:45:36,sell
158775541,2026-06-15 11:20:48,buy
158849392,2026-06-15 15:33:01,sell
158809673,2026-06-15 13:16:21,sell
151330820,2026-07-17 14:00:00,sell
151299785,2026-07-17 11:41:01,buy
151275605,2026-07-17 10:18:10,sell
150924856,2026-07-16 13:41:08,sell
150499082,2026-07-15 10:52:14,buy
150554273,2026-07-15 14:31:40,buy
150507777,2026-07-15 11:17:07,sell
150220534,2026-07-14 15:35:03,sell
150114644,2026-07-14 10:32:05,buy
150159096,2026-07-14 12:50:06,sell
149710989,2026-07-13 10:34:19,buy
149303900,2026-07-10 11:51:41,buy
149020074,2026-07-09 16:12:56,sell
149038738,2026-07-09 16:34:01,buy
149033243,2026-07-09 16:28:04,sell
148899303,2026-07-09 10:27:42,buy
148899965,2026-07-09 10:27:41,buy
148593688,2026-07-08 16:00:07,buy
148558253,2026-07-08 14:34:29,sell
148539624,2026-07-08 13:23:28,sell
148461803,2026-07-08 11:11:01,sell
148164306,2026-07-07 16:42:15,buy
148068614,2026-07-07 13:55:31,buy
148049712,2026-07-07 12:42:14,sell
147998352,2026-07-07 10:19:34,sell
147654381,2026-07-06 13:17:06,sell
147627513,2026-07-06 11:56:51,buy
147354828,2026-07-03 16:32:01,sell
147301282,2026-07-03 12:53:05,buy
147264079,2026-07-03 10:33:03,buy
146937849,2026-07-02 15:02:19,buy
146893432,2026-07-02 12:46:56,sell
146880075,2026-07-02 11:32:17,sell
146861611,2026-07-02 11:00:07,sell
146534533,2026-07-01 16:02:12,sell
146430275,2026-07-01 11:38:10,sell
146437773,2026-07-01 12:08:36,buy
146112791,2026-06-30 16:11:01,buy
146081601,2026-06-30 15:06:06,buy
146048752,2026-06-30 13:16:32,buy
145569687,2026-06-29 11:03:46,sell
145562572,2026-06-29 10:42:05,sell
145221798,2026-06-26 15:44:19,buy
145213676,2026-06-26 15:22:11,buy
144691736,2026-06-25 11:35:31,buy
144750737,2026-06-25 15:24:13,buy
144664624,2026-06-25 10:24:03,sell
144378001,2026-06-24 16:36:10,sell
144359913,2026-06-24 16:15:04,buy
144339621,2026-06-24 15:53:05,buy
144295094,2026-06-24 14:31:04,sell
143433214,2026-06-22 13:26:41,sell
143153788,2026-06-19 16:00:09,sell
143130345,2026-06-19 14:49:12,sell
143138252,2026-06-19 15:23:43,sell
143065147,2026-06-19 10:40:33,sell
142809899,2026-06-18 16:35:18,sell
142818919,2026-06-18 16:37:03,buy
142799232,2026-06-18 16:05:49,buy
142806875,2026-06-18 16:24:50,sell
142783369,2026-06-18 15:39:39,sell
142720662,2026-06-18 12:18:03,sell
142686835,2026-06-18 11:00:11,sell
142274630,2026-06-17 12:22:04,sell
142293832,2026-06-17 13:40:07,sell
