Ticket,Abrir,Tipo,Volumen,Simbolo,Precio,SL,TP,Cierre,PrecioCierre,Swap,Comisiones,Beneficio,Pips,DuracionSeg
154741486,2026-06-01 17:02:18,sell,0.51,US30.cash,50984.50000000,51082.31,50741.06000000,2026-06-01 21:55:31,51083.10000000,0,0,-50.29000000,-98.6,17593
154686499,2026-06-01 16:10:59,sell,0.57,US30.cash,51137.81000000,51226.31,50918.66000000,2026-06-01 16:27:38,50918.19000000,0,0,125.18000000,219.6,999
154671943,2026-06-01 15:32:39,buy,0.79,US30.cash,51160.59000000,51095,51315.33000000,2026-06-01 16:11:06,51092.31000000,0,0,-53.94000000,-68.3,2307
154584608,2026-06-01 10:56:12,buy,0.86,US30.cash,51049.50000000,50991.5,51194.50000000,2026-06-01 12:35:17,51197.00000000,0,0,126.85000000,147.5,5945
154212351,2026-05-29 10:55:08,buy,0.75,US30.cash,50719.70000000,50653.65,50886.58000000,2026-05-29 16:45:56,50890.30000000,0,0,127.95000000,170.6,21048
154324624,2026-05-29 16:32:13,buy,0.9,US30.cash,50729.30000000,50674.3,50868.55000000,2026-05-29 16:42:13,50869.80000000,0,0,126.45000000,140.5,600
154318059,2026-05-29 16:20:03,buy,1.12,US30.cash,50759.79000000,50713.8,50869.55000000,2026-05-29 16:30:01,50713.80000000,0,0,-51.51000000,-46,598
154075594,2026-05-28 19:01:05,sell,0.7,US30.cash,50687.20000000,50759.2,50508.95000000,2026-05-29 12:03:31,50759.25000000,0.34,0,-50.44000000,-72.1,61346
153925311,2026-05-28 13:53:37,buy,1.09,US30.cash,50574.39000000,50528.01,50689.01000000,2026-05-28 15:21:16,50528.15000000,0,0,-50.40000000,-46.2,5259
153907677,2026-05-28 13:08:05,buy,1.12,US30.cash,50607.20000000,50561.65,50717.58000000,2026-05-28 13:50:37,50561.70000000,0,0,-50.96000000,-45.5,2552
153702545,2026-05-27 18:44:01,buy,0.58,US30.cash,50641.25000000,50555.2,50854.45000000,2026-05-28 06:50:23,50554.91000000,-6.3,0,-50.08000000,-86.3,43582
153267784,2026-05-26 17:03:30,sell,0.36,US30.cash,50636.30000000,50775.3,50288.80000000,2026-05-27 17:15:34,50775.25000000,0.15,0,-50.02000000,-139,87124
153633563,2026-05-27 16:35:01,sell,1.22,US30.cash,50662.20000000,50701.25,50557.58000000,2026-05-27 16:42:11,50557.20000000,0,0,128.10000000,105,430
153624580,2026-05-27 16:23:00,buy,0.75,US30.cash,50481.29000000,50413.11,50647.61000000,2026-05-27 16:33:24,50646.70000000,0,0,124.06000000,165.4,624
153577949,2026-05-27 14:59:01,buy,1.27,US30.cash,50506.20000000,50466.61,50604.86000000,2026-05-27 15:07:55,50466.51000000,0,0,-50.41000000,-39.7,534
153149534,2026-05-26 12:32:37,sell,0.96,US30.cash,50833.85000000,50886.3,50704.30000000,2026-05-26 14:24:18,50886.30000000,0,0,-50.35000000,-52.5,6701
152941869,2026-05-25 16:35:59,sell,0.64,US30.cash,51061.70000000,51140.91,50866.83000000,2026-05-26 03:23:38,50866.59000000,-5.01,0,124.87000000,195.1,38859
152902407,2026-05-25 14:07:42,buy,0.76,US30.cash,50995.10000000,50928.65,51157.73000000,2026-05-26 01:55:55,50925.98000000,-1.94,0,-52.53000000,-69.1,42493
152673424,2026-05-22 18:31:22,sell,0.61,US30.cash,50711.60000000,50794.41,50505.66000000,2026-05-22 20:29:37,50803.60000000,0,0,-56.12000000,-92,7095
152629880,2026-05-22 17:07:01,buy,0.64,US30.cash,50582.60000000,50504.6,50777.60000000,2026-05-22 20:28:16,50782.65000000,0,0,128.03000000,200.1,12075
152321517,2026-05-21 18:44:14,sell,0.39,US30.cash,49882.95000000,50008.9,49559.15000000,2026-05-21 20:11:00,50013.00000000,0,0,-50.72000000,-130.1,5206
152119145,2026-05-21 10:48:55,sell,0.52,US30.cash,49908.90000000,50005.21,49669.88000000,2026-05-21 11:05:02,50008.09000000,0,0,-51.58000000,-99.2,967
151905729,2026-05-20 17:27:59,sell,0.76,US30.cash,49597.70000000,49663.01,49432.01000000,2026-05-20 17:30:54,49662.70000000,0,0,-49.40000000,-65,175
151808870,2026-05-20 14:51:13,buy,1.03,US30.cash,49470.39000000,49421.7,49591.45000000,2026-05-20 15:25:35,49591.61000000,0,0,124.86000000,121.2,2062
151771208,2026-05-20 12:32:04,sell,0.88,US30.cash,49426.20000000,49483.7,49284.20000000,2026-05-20 13:21:53,49486.15000000,0,0,-52.76000000,-60,2989
