ID,Dir,Entry Time (CL),Exit Time (CL),OB Low,OB High,Entry,SL,TP,Exit,PnL USD,R-mult,Exit Reason
141,short,2026-03-02 12:02:00,2026-03-02 13:35:00,48448.31,48504.31,48448.31,48529.31,48164.81,48529.31,-673.57,-1.025,sl
142,long,2026-03-02 12:45:00,2026-03-02 13:20:00,48399.31,48420.31,48420.31,48374.31,48581.31,48374.31,-685.92,-1.043,sl
143,short,2026-03-02 15:00:00,2026-03-02 15:11:00,48798.5,48885.5,48798.5,48910.5,48406.5,48910.5,-662.16,-1.018,sl
144,long,2026-03-03 12:47:00,2026-03-03 13:16:00,47938.71,48016.21,48016.21,47913.71,48374.96,47913.71,-659.86,-1.02,sl
145,short,2026-03-03 15:48:00,2026-03-03 15:56:00,48192.71,48218.21,48192.71,48243.21,48015.96,48243.21,-669.43,-1.04,sl
146,long,2026-03-04 10:51:00,2026-03-04 11:18:00,48512.11,48561.11,48561.11,48487.11,48820.11,48487.11,-657.9,-1.027,sl
147,long,2026-03-04 13:37:00,2026-03-04 13:41:00,48412.61,48446.61,48446.61,48387.61,48653.11,48387.61,-658.9,-1.034,sl
149,long,2026-03-05 12:06:00,2026-03-05 12:56:00,48443.41,48481.91,48481.91,48418.41,48704.16,48418.41,-665.31,-1.031,sl
150,long,2026-03-05 15:45:00,2026-03-05 16:16:00,47895.1,47952.6,47952.6,47870.1,48241.35,47870.1,-657.22,-1.024,sl
151,long,2026-03-06 11:34:00,2026-03-06 11:37:00,47687.01,47707.01,47707.01,47662.01,47864.51,47662.01,-666.75,-1.044,sl
