trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed
1,2024-10-29 11:56:00,2024-10-29 13:20:00,long,42425.84,42375.84,42525.84,42373.84,sl,-52.0,-1.04,9948.0,london,42421.84,42400.84,-52.0
2,2024-10-29 16:59:00,2024-10-29 17:22:00,long,42323.59,42267.34,42436.09,42436.09,tp,100.0,2.0,10048.0,london,42319.59,42292.34,100.0
3,2024-10-29 19:45:00,2024-10-29 20:02:00,short,42303.09,42385.09,42139.09,42387.09,sl,-51.22,-1.024,9996.78,new_york,42360.09,42307.09,-51.2
4,2024-10-29 20:07:00,2024-10-29 20:31:00,long,42386.09,42312.09,42534.09,42310.09,sl,-51.35,-1.027,9945.43,new_york,42382.09,42337.09,-51.349999999999994
5,2024-10-30 10:51:00,2024-10-30 11:35:00,short,42302.3,42340.3,42226.3,42342.3,sl,-52.63,-1.053,9892.8,london,42315.3,42306.3,-52.65
6,2024-10-30 11:37:00,2024-10-30 13:30:00,short,42332.2,42369.7,42257.2,42257.2,tp,100.0,2.0,9992.8,london,42344.7,42336.2,100.0
7,2024-10-30 16:18:00,2024-10-30 16:30:00,long,42221.3,42182.3,42299.3,42180.3,sl,-52.56,-1.051,9940.24,london,42217.3,42207.3,-52.55
8,2024-10-30 17:57:00,2024-10-30 18:40:00,short,42393.55,42460.55,42259.55,42462.55,sl,-51.49,-1.03,9888.75,london,42435.55,42397.55,-51.5
9,2024-10-30 18:48:00,2024-10-30 19:31:00,long,42447.55,42394.55,42553.55,42392.55,sl,-51.89,-1.038,9836.86,london,42443.55,42419.55,-51.9
10,2024-10-31 12:52:00,2024-10-31 16:29:00,long,41968.76,41924.76,42056.76,41922.76,sl,-52.27,-1.045,9784.59,london,41964.76,41949.76,-52.25
11,2024-10-31 16:52:00,2024-10-31 16:57:00,short,41900.26,41978.76,41743.26,41980.76,sl,-51.27,-1.025,9733.32,london,41953.76,41904.26,-51.24999999999999
12,2024-10-31 20:49:00,2024-10-31 22:59:00,long,41899.76,41827.01,42045.26,41825.01,sl,-51.37,-1.027,9681.95,new_york,41895.76,41852.01,-51.349999999999994
13,2024-11-01 10:19:00,2024-11-01 11:04:00,short,41807.63,41844.38,41734.13,41846.38,sl,-52.72,-1.054,9629.23,london,41819.38,41811.63,-52.7
14,2024-11-01 15:25:00,2024-11-01 15:40:00,short,41937.48,41973.23,41865.98,41975.23,sl,-52.8,-1.056,9576.43,london,41948.23,41941.48,-52.800000000000004
15,2024-11-01 16:06:00,2024-11-01 16:38:00,long,41975.23,41930.23,42065.23,42065.23,tp,100.0,2.0,9676.43,london,41971.23,41955.23,100.0
16,2024-11-01 18:18:00,2024-11-01 18:52:00,long,42292.48,42207.48,42462.48,42205.48,sl,-51.18,-1.024,9625.25,london,42288.48,42232.48,-51.2
17,2024-11-01 20:46:00,2024-11-01 21:40:00,short,42047.48,42118.23,41905.98,42120.23,sl,-51.41,-1.028,9573.84,new_york,42093.23,42051.48,-51.4
18,2024-11-01 22:43:00,2024-11-04 01:00:00,short,42070.48,42126.48,41958.48,41958.48,tp,100.0,2.0,9673.84,new_york,42101.48,42074.48,100.0
19,2024-11-04 11:57:00,2024-11-04 14:40:00,long,42068.79,42032.29,42141.79,42030.29,sl,-52.74,-1.055,9621.1,london,42064.79,42057.29,-52.75
20,2024-11-04 16:10:00,2024-11-04 16:36:00,short,42027.39,42069.14,41943.89,41943.89,tp,100.0,2.0,9721.1,london,42044.14,42031.39,100.0
21,2024-11-05 10:18:00,2024-11-05 10:56:00,short,41842.9,41884.4,41759.9,41886.4,sl,-52.41,-1.048,9668.69,london,41859.4,41846.9,-52.400000000000006
22,2024-11-05 13:13:00,2024-11-05 14:20:00,long,41889.9,41844.65,41980.4,41842.65,sl,-52.21,-1.044,9616.48,london,41885.9,41869.65,-52.2
23,2024-11-05 14:33:00,2024-11-05 16:33:00,short,41844.9,41885.4,41763.9,41887.4,sl,-52.47,-1.049,9564.01,london,41860.4,41848.9,-52.449999999999996
24,2024-11-05 16:36:00,2024-11-05 16:49:00,long,41880.9,41844.9,41952.9,41952.9,tp,100.0,2.0,9664.01,london,41876.9,41869.9,100.0
25,2024-11-05 20:22:00,2024-11-05 22:59:00,short,42194.65,42237.65,42108.65,42239.65,sl,-52.33,-1.047,9611.68,new_york,42212.65,42198.65,-52.349999999999994
26,2024-11-06 17:18:00,2024-11-06 17:24:00,short,43582.15,43631.4,43483.65,43633.4,sl,-52.03,-1.041,9559.65,london,43606.4,43586.15,-52.05
27,2024-11-06 17:39:00,2024-11-06 22:16:00,long,43588.15,43481.15,43802.15,43802.15,tp,100.0,2.0,9659.65,london,43584.15,43506.15,100.0
28,2024-11-07 10:21:00,2024-11-07 15:37:00,short,43863.26,43908.76,43772.26,43772.26,tp,100.0,2.0,9759.65,london,43883.76,43867.26,100.0
29,2024-11-07 15:50:00,2024-11-07 22:21:00,short,43802.36,43866.11,43674.86,43868.11,sl,-51.57,-1.031,9708.08,london,43841.11,43806.36,-51.55
30,2024-11-07 22:24:00,2024-11-08 17:20:00,long,43806.11,43734.11,43950.11,43950.11,tp,100.0,2.0,9808.08,new_york,43802.11,43759.11,100.0
31,2024-11-08 19:45:00,2024-11-08 21:37:00,long,44020.94,43969.94,44122.94,44122.94,tp,100.0,2.0,9908.08,new_york,44016.94,43994.94,100.0
32,2024-11-08 23:00:00,2024-11-11 01:00:00,short,44024.94,44074.94,43924.94,44076.94,sl,-52.0,-1.04,9856.08,new_york,44049.94,44028.94,-52.0
33,2024-11-11 11:03:00,2024-11-11 12:29:00,long,44127.35,44090.35,44201.35,44201.35,tp,100.0,2.0,9956.08,london,44123.35,44115.35,100.0
34,2024-11-11 14:46:00,2024-11-11 15:35:00,long,44248.6,44212.35,44321.1,44210.35,sl,-52.76,-1.055,9903.32,london,44244.6,44237.35,-52.75
35,2024-11-12 13:18:00,2024-11-12 14:01:00,long,44319.68,44279.43,44400.18,44277.43,sl,-52.48,-1.05,9850.84,london,44315.68,44304.43,-52.5
36,2024-11-12 16:39:00,2024-11-12 16:48:00,long,44417.68,44374.68,44503.68,44372.68,sl,-52.33,-1.047,9798.51,london,44413.68,44399.68,-52.349999999999994
37,2024-11-12 17:35:00,2024-11-12 18:32:00,short,44235.68,44292.43,44122.18,44122.18,tp,100.0,2.0,9898.51,london,44267.43,44239.68,100.0
38,2024-11-12 20:33:00,2024-11-12 20:47:00,short,44051.93,44102.93,43949.93,44104.93,sl,-51.96,-1.039,9846.55,new_york,44077.93,44055.93,-51.949999999999996
39,2024-11-12 21:28:00,2024-11-12 22:16:00,long,44100.93,44057.93,44186.93,44055.93,sl,-52.33,-1.047,9794.22,new_york,44096.93,44082.93,-52.349999999999994
40,2024-11-13 10:25:00,2024-11-13 12:00:00,long,43848.67,43812.17,43921.67,43921.67,tp,100.0,2.0,9894.22,london,43844.67,43837.17,100.0
41,2024-11-13 12:01:00,2024-11-13 13:58:00,short,43911.07,43953.32,43826.57,43826.57,tp,100.0,2.0,9994.22,london,43928.32,43915.07,100.0
42,2024-11-13 14:09:00,2024-11-13 14:22:00,short,43834.17,43875.17,43752.17,43877.17,sl,-52.44,-1.049,9941.78,london,43850.17,43838.17,-52.449999999999996
43,2024-11-13 14:55:00,2024-11-13 15:30:00,short,43882.17,43924.17,43798.17,43926.17,sl,-52.38,-1.048,9889.4,london,43899.17,43886.17,-52.400000000000006
44,2024-11-13 17:09:00,2024-11-13 17:27:00,long,43939.17,43902.17,44013.17,44013.17,tp,100.0,2.0,9989.4,london,43935.17,43927.17,100.0
45,2024-11-13 18:12:00,2024-11-13 21:36:00,long,44079.42,44013.67,44210.92,44011.67,sl,-51.52,-1.03,9937.88,london,44075.42,44038.67,-51.5
46,2024-11-13 22:22:00,2024-11-14 07:14:00,short,44058.42,44111.42,43952.42,43952.42,tp,100.0,2.0,10037.88,new_york,44086.42,44062.42,100.0
47,2024-11-14 16:43:00,2024-11-14 16:50:00,long,43975.29,43935.29,44055.29,44055.29,tp,100.0,2.0,10137.88,london,43971.29,43960.29,100.0
48,2024-11-15 11:15:00,2024-11-15 12:19:00,long,43617.23,43581.98,43687.73,43579.98,sl,-52.84,-1.057,10085.04,london,43613.23,43606.98,-52.849999999999994
49,2024-11-15 16:08:00,2024-11-15 16:31:00,short,43614.98,43648.98,43546.98,43650.98,sl,-52.94,-1.059,10032.1,london,43623.98,43618.98,-52.949999999999996
50,2024-11-15 17:07:00,2024-11-18 10:06:00,short,43514.98,43587.98,43368.98,43368.98,tp,100.0,2.0,10132.1,london,43562.98,43518.98,100.0
51,2024-11-18 10:49:00,2024-11-18 14:39:00,short,43361.97,43423.97,43237.97,43425.97,sl,-51.61,-1.032,10080.49,london,43398.97,43365.97,-51.6
52,2024-11-18 15:09:00,2024-11-18 15:21:00,long,43395.97,43361.97,43463.97,43359.97,sl,-52.94,-1.059,10027.55,london,43391.97,43386.97,-52.949999999999996
