trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed,month,date
1,2024-10-29 16:54:00,2024-10-29 17:22:00,long,42323.59,42267.34,42436.09,42436.09,tp,100.0,2.0,10100.0,london,42319.59,42292.34,100.0,2024-10,2024-10-29
2,2024-10-29 19:32:00,2024-10-29 20:02:00,short,42303.09,42385.09,42139.09,42387.09,sl,-51.22,-1.024,10048.78,new_york,42360.09,42307.09,-51.2,2024-10,2024-10-29
3,2024-10-29 22:51:00,2024-10-29 23:16:00,short,42272.59,42329.09,42159.59,42331.09,sl,-51.77,-1.035,9997.01,new_york,42304.09,42276.59,-51.74999999999999,2024-10,2024-10-29
4,2024-10-30 03:40:00,2024-10-30 06:21:00,long,42345.09,42299.09,42437.09,42297.09,sl,-52.17,-1.043,9944.84,asia,42341.09,42324.09,-52.15,2024-10,2024-10-30
5,2024-10-30 09:15:00,2024-10-30 13:30:00,long,42286.2,42247.2,42364.2,42245.2,sl,-52.56,-1.051,9892.28,asia,42282.2,42272.2,-52.55,2024-10,2024-10-30
6,2024-10-30 19:41:00,2024-10-30 22:03:00,short,42372.8,42435.55,42247.3,42247.3,tp,100.0,2.0,9992.28,new_york,42410.55,42376.8,100.0,2024-10,2024-10-30
7,2024-10-31 04:11:00,2024-10-31 05:09:00,long,42181.66,42148.66,42247.66,42146.66,sl,-53.03,-1.061,9939.25,asia,42177.66,42173.66,-53.05,2024-10,2024-10-31
8,2024-10-31 05:21:00,2024-10-31 09:41:00,short,42141.66,42179.66,42065.66,42065.66,tp,100.0,2.0,10039.25,asia,42154.66,42145.66,100.0,2024-10,2024-10-31
9,2024-10-31 11:07:00,2024-10-31 16:29:00,short,41994.76,42036.76,41910.76,41910.76,tp,100.0,2.0,10139.25,london,42011.76,41998.76,100.0,2024-10,2024-10-31
10,2024-10-31 19:44:00,2024-10-31 22:59:00,long,41899.76,41827.01,42045.26,41825.01,sl,-51.37,-1.027,10087.88,new_york,41895.76,41852.01,-51.349999999999994,2024-10,2024-10-31
11,2024-11-01 03:15:00,2024-11-01 06:46:00,short,41764.13,41825.63,41641.13,41827.63,sl,-51.63,-1.033,10036.25,asia,41800.63,41768.13,-51.65,2024-11,2024-11-01
12,2024-11-01 10:19:00,2024-11-01 11:04:00,short,41807.63,41844.38,41734.13,41846.38,sl,-52.72,-1.054,9983.53,london,41819.38,41811.63,-52.7,2024-11,2024-11-01
13,2024-11-01 11:13:00,2024-11-01 14:16:00,long,41858.88,41816.13,41944.38,41944.38,tp,100.0,2.0,10083.53,london,41854.88,41841.13,100.0,2024-11,2024-11-01
14,2024-11-01 15:25:00,2024-11-01 15:40:00,short,41937.48,41973.23,41865.98,41975.23,sl,-52.8,-1.056,10030.73,london,41948.23,41941.48,-52.800000000000004,2024-11,2024-11-01
15,2024-11-01 16:33:00,2024-11-01 17:09:00,long,42019.23,41952.23,42153.23,42153.23,tp,100.0,2.0,10130.73,london,42015.23,41977.23,100.0,2024-11,2024-11-01
16,2024-11-01 20:36:00,2024-11-04 02:02:00,short,42083.48,42169.48,41911.48,41911.48,tp,100.0,2.0,10230.73,new_york,42144.48,42087.48,100.0,2024-11,2024-11-04
17,2024-11-04 02:09:00,2024-11-04 04:30:00,short,41921.54,42009.04,41746.54,42011.04,sl,-51.14,-1.023,10179.59,asia,41984.04,41925.54,-51.15,2024-11,2024-11-04
18,2024-11-04 09:19:00,2024-11-04 09:59:00,short,42036.29,42069.29,41970.29,41970.29,tp,100.0,2.0,10279.59,asia,42044.29,42040.29,100.0,2024-11,2024-11-04
19,2024-11-04 14:27:00,2024-11-04 16:22:00,short,42077.64,42126.39,41980.14,41980.14,tp,100.0,2.0,10379.59,london,42101.39,42081.64,100.0,2024-11,2024-11-04
20,2024-11-05 07:33:00,2024-11-05 10:12:00,long,41864.3,41826.3,41940.3,41824.3,sl,-52.63,-1.053,10326.96,asia,41860.3,41851.3,-52.65,2024-11,2024-11-05
21,2024-11-05 15:30:00,2024-11-05 16:30:00,long,41870.9,41830.9,41950.9,41828.9,sl,-52.5,-1.05,10274.46,london,41866.9,41855.9,-52.5,2024-11,2024-11-05
22,2024-11-05 22:53:00,2024-11-05 23:07:00,long,42197.15,42151.9,42287.65,42287.65,tp,100.0,2.0,10374.46,new_york,42193.15,42176.9,100.0,2024-11,2024-11-05
23,2024-11-06 14:13:00,2024-11-06 14:33:00,long,43531.9,43497.9,43599.9,43599.9,tp,100.0,2.0,10474.46,london,43527.9,43522.9,100.0,2024-11,2024-11-06
24,2024-11-06 16:39:00,2024-11-06 16:41:00,long,43574.15,43531.15,43660.15,43529.15,sl,-52.33,-1.047,10422.13,london,43570.15,43556.15,-52.349999999999994,2024-11,2024-11-06
