trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 07:07:00,2024-10-29 08:35:00,short,42352.74,42386.74,42284.74,42386.74,sl,-36.0,-529.41,-1.059,99470.59,asia,conservative,bearish,42361.74,42352.74,2024-10-29 07:00:00
2,2024-10-29 08:36:00,2024-10-29 09:44:00,short,42385.74,42416.74,42323.74,42416.74,sl,-33.0,-529.44,-1.065,98941.15,asia,conservative,bearish,42391.74,42385.74,2024-10-29 06:30:00
3,2024-10-29 11:22:00,2024-10-29 11:30:00,long,42351.99,42321.74,42412.49,42412.49,tp,58.5,956.7,1.934,99897.85,london,conservative,bullish,42351.99,42346.74,2024-10-29 07:15:00
4,2024-10-29 12:43:00,2024-10-29 13:16:00,long,42430.84,42390.34,42511.84,42390.34,sl,-42.5,-524.16,-1.049,99373.7,london,conservative,bullish,42430.84,42415.34,2024-10-29 12:30:00
5,2024-10-29 13:19:00,2024-10-29 14:00:00,long,42389.84,42352.34,42464.84,42352.34,sl,-39.5,-523.37,-1.053,98850.33,london,conservative,bullish,42389.84,42377.34,2024-10-29 11:35:00
6,2024-10-29 14:00:00,2024-10-29 14:17:00,short,42382.84,42425.84,42296.84,42296.84,tp,84.0,965.51,1.953,99815.84,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:25:00
7,2024-10-29 14:44:00,2024-10-29 15:46:00,short,42315.34,42355.84,42234.34,42234.34,tp,79.0,973.51,1.951,100789.36,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:20:00
8,2024-10-29 15:46:00,2024-10-29 16:00:00,short,42291.84,42323.34,42228.84,42228.84,tp,61.0,975.9,1.937,101765.25,london,conservative,bearish,42298.34,42291.84,2024-10-29 15:05:00
9,2024-10-29 16:00:00,2024-10-29 16:31:00,short,42257.84,42293.09,42187.34,42187.34,tp,68.5,988.78,1.943,102754.04,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:45:00
10,2024-10-29 18:39:00,2024-10-29 19:37:00,short,42368.59,42413.09,42279.59,42279.59,tp,87.0,1004.45,1.955,103758.48,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:15:00
11,2024-10-29 19:38:00,2024-10-29 20:02:00,long,42304.09,42260.09,42392.09,42392.09,tp,86.0,1014.0,1.955,104772.49,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 17:00:00
12,2024-10-29 20:24:00,2024-10-29 20:38:00,long,42341.09,42302.09,42419.09,42302.09,sl,-41.0,-550.73,-1.051,104221.76,new_york,conservative,bullish,42341.09,42327.09,2024-10-29 20:00:00
13,2024-10-29 22:58:00,2024-10-29 23:18:00,long,42260.09,42223.84,42332.59,42332.59,tp,70.5,1013.47,1.945,105235.23,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:55:00
14,2024-10-30 02:26:00,2024-10-30 04:37:00,short,42320.2,42358.2,42244.2,42358.2,sl,-40.0,-553.87,-1.053,104681.36,asia,conservative,bearish,42333.2,42320.2,2024-10-30 02:10:00
15,2024-10-30 04:37:00,2024-10-30 06:00:00,long,42338.2,42307.2,42400.2,42307.2,sl,-33.0,-557.17,-1.065,104124.18,asia,conservative,bullish,42338.2,42332.2,2024-10-30 03:30:00
16,2024-10-30 06:30:00,2024-10-30 07:51:00,long,42292.24,42259.24,42358.24,42259.24,sl,-35.0,-552.17,-1.061,103572.01,asia,conservative,bullish,42292.24,42284.24,2024-10-29 23:15:00
17,2024-10-30 07:51:00,2024-10-30 09:40:00,short,42278.2,42310.2,42214.2,42310.2,sl,-34.0,-550.23,-1.062,103021.78,asia,conservative,bearish,42285.2,42278.2,2024-10-30 07:10:00
18,2024-10-30 11:57:00,2024-10-30 12:45:00,long,42308.3,42276.3,42372.3,42276.3,sl,-34.0,-547.3,-1.062,102474.48,london,conservative,bullish,42308.3,42301.3,2024-10-30 11:25:00
19,2024-10-30 12:45:00,2024-10-30 13:30:00,short,42302.55,42334.3,42239.05,42239.05,tp,61.5,992.47,1.937,103466.95,london,conservative,bearish,42309.3,42302.55,2024-10-30 12:05:00
20,2024-10-30 15:01:00,2024-10-30 16:36:00,short,42193.3,42239.3,42101.3,42239.3,sl,-48.0,-539.83,-1.043,102927.12,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:55:00
21,2024-10-30 17:36:00,2024-10-30 18:05:00,short,42420.55,42451.55,42358.55,42358.55,tp,60.0,996.07,1.935,103923.19,london,conservative,bearish,42426.55,42420.55,2024-10-30 17:30:00
22,2024-10-30 18:06:00,2024-10-30 18:40:00,long,42368.55,42323.8,42458.05,42458.05,tp,87.5,1016.01,1.955,104939.2,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:05:00
23,2024-10-30 19:10:00,2024-10-30 19:31:00,long,42444.55,42393.55,42546.55,42393.55,sl,-53.0,-545.27,-1.039,104393.93,new_york,conservative,bullish,42444.55,42418.55,2024-10-30 18:45:00
24,2024-10-30 20:02:00,2024-10-30 22:03:00,long,42337.55,42247.05,42518.55,42247.05,sl,-92.5,-533.5,-1.022,103860.42,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 17:00:00
25,2024-10-30 22:03:00,2024-10-30 22:05:00,short,42333.05,42383.55,42232.05,42232.05,tp,99.0,1018.04,1.96,104878.46,new_york,conservative,bearish,42358.55,42333.05,2024-10-30 20:35:00
26,2024-10-30 22:05:00,2024-10-30 22:06:00,short,42302.55,42338.05,42231.55,42231.55,tp,69.0,1019.24,1.944,105897.7,new_york,conservative,bearish,42313.05,42302.55,2024-10-30 21:35:00
27,2024-10-30 22:34:00,2024-10-30 22:51:00,short,42244.55,42274.55,42184.55,42184.55,tp,58.0,1023.68,1.933,106921.38,new_york,conservative,bearish,42249.55,42244.55,2024-10-30 22:25:00
28,2024-10-31 02:32:00,2024-10-31 09:11:00,short,42165.66,42195.66,42105.66,42105.66,tp,58.0,1033.57,1.933,107954.95,asia,conservative,bearish,42170.66,42165.66,2024-10-31 02:25:00
29,2024-10-31 09:11:00,2024-10-31 09:47:00,short,42117.16,42150.41,42050.66,42050.66,tp,64.5,1047.08,1.94,109002.03,asia,conservative,bearish,42125.41,42117.16,2024-10-31 08:50:00
