trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 07:07:00,2024-10-29 08:35:00,short,42352.74,42386.74,42284.74,42386.74,sl,-36.0,-52.94,-1.059,9947.06,asia,conservative,bearish,42361.74,42352.74,2024-10-29 07:00:00
2,2024-10-29 08:36:00,2024-10-29 09:44:00,short,42385.74,42416.74,42323.74,42416.74,sl,-33.0,-52.94,-1.065,9894.11,asia,conservative,bearish,42391.74,42385.74,2024-10-29 06:30:00
3,2024-10-29 11:22:00,2024-10-29 11:30:00,long,42351.99,42321.74,42412.49,42412.49,tp,58.5,95.67,1.934,9989.79,london,conservative,bullish,42351.99,42346.74,2024-10-29 07:15:00
4,2024-10-29 12:08:00,2024-10-29 14:00:00,short,42421.84,42459.34,42346.84,42346.84,tp,73.0,97.23,1.947,10087.02,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:05:00
5,2024-10-29 14:00:00,2024-10-29 14:17:00,short,42382.84,42425.84,42296.84,42296.84,tp,84.0,98.52,1.953,10185.54,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:25:00
6,2024-10-29 14:25:00,2024-10-29 15:46:00,short,42315.34,42355.84,42234.34,42234.34,tp,79.0,99.34,1.951,10284.88,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:20:00
7,2024-10-29 15:46:00,2024-10-29 16:00:00,short,42291.84,42323.34,42228.84,42228.84,tp,61.0,99.58,1.937,10384.47,london,conservative,bearish,42298.34,42291.84,2024-10-29 15:05:00
8,2024-10-29 16:00:00,2024-10-29 16:31:00,short,42257.84,42293.09,42187.34,42187.34,tp,68.5,100.9,1.943,10485.37,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:45:00
9,2024-10-29 18:17:00,2024-10-29 19:37:00,short,42368.59,42413.09,42279.59,42279.59,tp,87.0,102.5,1.955,10587.86,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:15:00
10,2024-10-29 19:38:00,2024-10-29 20:02:00,long,42304.09,42260.09,42392.09,42392.09,tp,86.0,103.47,1.955,10691.34,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 17:00:00
11,2024-10-29 20:24:00,2024-10-29 20:38:00,long,42341.09,42302.09,42419.09,42302.09,sl,-41.0,-56.2,-1.051,10635.14,new_york,conservative,bullish,42341.09,42327.09,2024-10-29 20:00:00
12,2024-10-29 22:58:00,2024-10-29 23:18:00,long,42260.09,42223.84,42332.59,42332.59,tp,70.5,103.42,1.945,10738.56,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:55:00
13,2024-10-30 02:26:00,2024-10-30 04:37:00,short,42320.2,42358.2,42244.2,42358.2,sl,-40.0,-56.52,-1.053,10682.04,asia,conservative,bearish,42333.2,42320.2,2024-10-30 02:10:00
14,2024-10-30 04:37:00,2024-10-30 06:00:00,long,42338.2,42307.2,42400.2,42307.2,sl,-33.0,-56.86,-1.065,10625.18,asia,conservative,bullish,42338.2,42332.2,2024-10-30 03:30:00
15,2024-10-30 06:30:00,2024-10-30 07:51:00,long,42292.24,42259.24,42358.24,42259.24,sl,-35.0,-56.35,-1.061,10568.84,asia,conservative,bullish,42292.24,42284.24,2024-10-29 23:15:00
16,2024-10-30 07:51:00,2024-10-30 09:40:00,short,42278.2,42310.2,42214.2,42310.2,sl,-34.0,-56.15,-1.062,10512.69,asia,conservative,bearish,42285.2,42278.2,2024-10-30 07:10:00
17,2024-10-30 11:57:00,2024-10-30 12:45:00,long,42308.3,42276.3,42372.3,42276.3,sl,-34.0,-55.85,-1.062,10456.84,london,conservative,bullish,42308.3,42301.3,2024-10-30 11:25:00
18,2024-10-30 12:45:00,2024-10-30 13:30:00,short,42302.55,42334.3,42239.05,42239.05,tp,61.5,101.27,1.937,10558.11,london,conservative,bearish,42309.3,42302.55,2024-10-30 12:05:00
19,2024-10-30 14:57:00,2024-10-30 16:36:00,short,42193.3,42239.3,42101.3,42239.3,sl,-48.0,-55.09,-1.043,10503.03,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:55:00
20,2024-10-30 17:36:00,2024-10-30 18:05:00,short,42420.55,42451.55,42358.55,42358.55,tp,60.0,101.64,1.935,10604.67,london,conservative,bearish,42426.55,42420.55,2024-10-30 17:30:00
21,2024-10-30 18:06:00,2024-10-30 18:40:00,long,42368.55,42323.8,42458.05,42458.05,tp,87.5,103.68,1.955,10708.35,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:05:00
22,2024-10-30 18:48:00,2024-10-30 19:31:00,long,42444.55,42393.55,42546.55,42393.55,sl,-53.0,-55.64,-1.039,10652.71,london,conservative,bullish,42444.55,42418.55,2024-10-30 18:45:00
23,2024-10-30 20:02:00,2024-10-30 22:03:00,long,42337.55,42247.05,42518.55,42247.05,sl,-92.5,-54.44,-1.022,10598.27,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 17:00:00
24,2024-10-30 22:03:00,2024-10-30 22:05:00,short,42333.05,42383.55,42232.05,42232.05,tp,99.0,103.88,1.96,10702.15,new_york,conservative,bearish,42358.55,42333.05,2024-10-30 20:35:00
25,2024-10-30 22:05:00,2024-10-30 22:06:00,short,42302.55,42338.05,42231.55,42231.55,tp,69.0,104.01,1.944,10806.16,new_york,conservative,bearish,42313.05,42302.55,2024-10-30 21:35:00
26,2024-10-30 22:13:00,2024-10-30 23:00:00,short,42262.55,42314.55,42158.55,42158.55,tp,102.0,105.98,1.962,10912.14,new_york,conservative,bearish,42289.55,42262.55,2024-10-30 22:10:00
27,2024-10-30 23:00:00,2024-10-30 23:01:00,short,42244.55,42274.55,42184.55,42184.55,tp,58.0,105.48,1.933,11017.62,new_york,conservative,bearish,42249.55,42244.55,2024-10-30 22:25:00
28,2024-10-31 01:15:00,2024-10-31 09:43:00,short,42150.41,42197.45,42056.330000000016,42056.330000000016,tp,92.08,107.83,1.957,11125.46,asia,conservative,bearish,42172.45,42150.41,2024-10-31 01:10:00
29,2024-10-31 09:43:00,2024-10-31 09:47:00,short,42117.16,42150.41,42050.66,42050.66,tp,64.5,107.91,1.94,11233.37,asia,conservative,bearish,42125.41,42117.16,2024-10-31 08:50:00
30,2024-10-31 10:26:00,2024-10-31 10:40:00,short,42013.76,42044.76,41951.76,42044.76,sl,-33.0,-59.79,-1.065,11173.58,london,conservative,bearish,42019.76,42013.76,2024-10-31 10:20:00
31,2024-10-31 12:48:00,2024-10-31 13:03:00,short,41966.76,41999.76,41900.76,41999.76,sl,-35.0,-59.25,-1.061,11114.32,london,conservative,bearish,41974.76,41966.76,2024-10-31 12:10:00
32,2024-10-31 13:03:00,2024-10-31 15:15:00,long,41962.01,41930.76,42024.51,42024.51,tp,60.5,107.59,1.936,11221.91,london,conservative,bullish,41962.01,41955.76,2024-10-31 12:50:00
33,2024-10-31 15:15:00,2024-10-31 15:58:00,long,41990.76,41958.26,42055.76,41958.26,sl,-34.5,-59.56,-1.062,11162.35,london,conservative,bullish,41990.76,41983.26,2024-10-31 15:00:00
34,2024-10-31 15:58:00,2024-10-31 16:29:00,short,42022.76,42067.76,41932.76,41932.76,tp,88.0,109.14,1.956,11271.49,london,conservative,bearish,42042.76,42022.76,2024-10-31 10:55:00
35,2024-10-31 16:43:00,2024-10-31 16:47:00,short,41986.76,42020.76,41918.76,41918.76,tp,66.0,109.4,1.941,11380.89,london,conservative,bearish,41995.76,41986.76,2024-10-31 15:55:00
36,2024-10-31 17:22:00,2024-10-31 17:55:00,short,41910.01,41975.01,41780.01,41780.01,tp,128.0,112.06,1.969,11492.95,london,conservative,bearish,41950.01,41910.01,2024-10-31 17:15:00
37,2024-10-31 19:05:00,2024-10-31 19:14:00,short,41836.01,41870.01,41768.01,41870.01,sl,-36.0,-60.85,-1.059,11432.1,new_york,conservative,bearish,41845.01,41836.01,2024-10-31 17:50:00
38,2024-10-31 20:33:00,2024-10-31 20:43:00,long,41935.51,41896.26,42014.01,41896.26,sl,-41.25,-60.07,-1.051,11372.03,new_york,conservative,bullish,41935.51,41921.26,2024-10-31 20:10:00
39,2024-10-31 20:49:00,2024-10-31 22:56:00,long,41893.01,41848.51,41982.01,41848.51,sl,-46.5,-59.42,-1.045,11312.61,new_york,conservative,bullish,41893.01,41873.51,2024-10-31 19:50:00
40,2024-11-01 01:01:00,2024-11-01 08:31:00,short,41798.66,41849.16,41697.66,41849.16,sl,-52.5,-58.8,-1.04,11253.81,asia,conservative,bearish,41824.16,41798.66,2024-10-31 23:40:00
41,2024-11-01 10:19:00,2024-11-01 10:52:00,short,41803.23,41835.23,41739.23,41835.23,sl,-34.0,-59.79,-1.062,11194.02,london,conservative,bearish,41810.23,41803.23,2024-11-01 10:15:00
42,2024-11-01 14:28:00,2024-11-01 15:30:00,long,41941.48,41909.23,42005.98,41909.23,sl,-34.25,-59.44,-1.062,11134.58,london,conservative,bullish,41941.48,41934.23,2024-11-01 14:25:00
43,2024-11-01 15:33:00,2024-11-01 15:42:00,short,41943.98,41989.23,41853.48,41989.23,sl,-47.25,-58.13,-1.044,11076.45,london,conservative,bearish,41964.23,41943.98,2024-11-01 15:10:00
44,2024-11-01 16:06:00,2024-11-01 16:30:00,long,41970.23,41939.73,42031.23,41939.73,sl,-32.5,-59.01,-1.066,11017.44,london,conservative,bullish,41970.23,41964.73,2024-11-01 15:50:00
45,2024-11-01 16:58:00,2024-11-01 17:09:00,long,42066.48,42017.23,42164.98,42164.98,tp,96.5,107.94,1.959,11125.37,london,conservative,bullish,42066.48,42042.23,2024-11-01 16:45:00
46,2024-11-01 18:22:00,2024-11-01 18:50:00,long,42272.48,42236.48,42344.48,42236.48,sl,-38.0,-58.72,-1.056,11066.66,london,conservative,bullish,42272.48,42261.48,2024-11-01 18:20:00
47,2024-11-01 18:52:00,2024-11-01 19:43:00,long,42220.48,42160.48,42340.48,42160.48,sl,-62.0,-57.18,-1.033,11009.48,london,conservative,bullish,42220.48,42185.48,2024-11-01 18:05:00
48,2024-11-01 19:43:00,2024-11-01 19:57:00,short,42258.98,42324.48,42127.98,42127.98,tp,129.0,108.41,1.969,11117.89,new_york,conservative,bearish,42299.48,42258.98,2024-11-01 18:55:00
49,2024-11-01 19:58:00,2024-11-01 20:38:00,long,42135.48,42064.48,42277.48,42064.48,sl,-73.0,-57.16,-1.028,11060.74,new_york,conservative,bullish,42135.48,42089.48,2024-11-01 17:15:00
50,2024-11-01 20:38:00,2024-11-01 20:41:00,short,42180.48,42241.48,42058.48,42058.48,tp,120.0,108.79,1.967,11169.53,new_york,conservative,bearish,42216.48,42180.48,2024-11-01 19:50:00
51,2024-11-01 20:56:00,2024-11-01 21:44:00,short,42072.48,42125.48,41966.48,42125.48,sl,-55.0,-57.96,-1.038,11111.58,new_york,conservative,bearish,42100.48,42072.48,2024-11-01 20:45:00
