trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 07:07:00,2024-10-29 08:35:00,short,42352.74,42386.74,42284.74,42386.74,sl,-36.0,-52.94,-1.059,9947.06,asia,conservative,bearish,42361.74,42352.74,2024-10-29 07:00:00
2,2024-10-29 07:34:00,2024-10-29 09:32:00,short,42376.74,42403.74,42322.74,42403.74,sl,-29.0,-53.7,-1.074,9893.36,asia,conservative,bearish,42378.74,42376.74,2024-10-29 06:40:00
3,2024-10-29 08:35:00,2024-10-29 09:54:00,long,42367.74,42340.24,42422.74,42422.74,tp,53.0,95.85,1.927,9989.21,asia,conservative,bullish,42367.74,42365.24,2024-10-29 07:30:00
4,2024-10-29 09:32:00,2024-10-29 10:23:00,long,42385.99,42359.49,42438.99,42438.99,tp,51.0,95.2,1.925,10084.41,asia,conservative,bullish,42385.99,42384.49,2024-10-29 08:45:00
5,2024-10-29 09:54:00,2024-10-29 11:20:00,long,42393.84,42364.74,42452.03999999999,42364.74,sl,-31.1,-53.38,-1.069,10031.03,asia,conservative,bullish,42393.84,42389.74,2024-10-29 09:10:00
6,2024-10-29 10:23:00,2024-10-29 11:09:00,long,42425.09,42397.59,42480.09,42397.59,sl,-29.5,-54.09,-1.073,9976.94,london,conservative,bullish,42425.09,42422.59,2024-10-29 10:10:00
7,2024-10-29 11:22:00,2024-10-29 11:30:00,long,42351.99,42321.74,42412.49,42412.49,tp,58.5,96.47,1.934,10073.41,london,conservative,bullish,42351.99,42346.74,2024-10-29 07:15:00
8,2024-10-29 11:23:00,2024-10-29 11:30:00,long,42359.74,42331.24,42416.74,42416.74,tp,55.0,96.27,1.93,10169.68,london,conservative,bullish,42359.74,42356.24,2024-10-29 07:20:00
9,2024-10-29 12:08:00,2024-10-29 14:00:00,short,42421.84,42459.34,42346.84,42346.84,tp,73.0,98.98,1.947,10268.67,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:05:00
10,2024-10-29 12:31:00,2024-10-29 13:16:00,long,42430.84,42390.34,42511.84,42390.34,sl,-42.5,-53.36,-1.049,10215.31,london,conservative,bullish,42430.84,42415.34,2024-10-29 12:30:00
