trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at,date
1,2024-10-29 10:19:00,2024-10-29 11:09:00,long,42425.09,42397.59,42480.09,42397.59,sl,-29.5,-53.64,-1.073,9946.36,london,conservative,bullish,42425.09,42422.59,2024-10-29 10:05:00,2024-10-29
2,2024-10-29 11:23:00,2024-10-29 11:30:00,long,42359.74,42331.24,42416.74,42416.74,tp,55.0,96.49,1.93,10042.85,london,conservative,bullish,42359.74,42356.24,2024-10-29 07:15:00,2024-10-29
3,2024-10-29 11:26:00,2024-10-29 11:36:00,long,42367.74,42340.24,42422.74,42422.74,tp,53.0,96.36,1.927,10139.22,london,conservative,bullish,42367.74,42365.24,2024-10-29 07:25:00,2024-10-29
4,2024-10-29 12:08:00,2024-10-29 14:00:00,short,42421.84,42459.34,42346.84,42346.84,tp,73.0,97.33,1.947,10236.55,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:00:00,2024-10-29
5,2024-10-29 12:31:00,2024-10-29 13:16:00,long,42430.84,42390.34,42511.84,42390.34,sl,-42.5,-52.47,-1.049,10184.08,london,conservative,bullish,42430.84,42415.34,2024-10-29 12:25:00,2024-10-29
6,2024-10-29 13:19:00,2024-10-29 14:00:00,long,42389.84,42352.34,42464.84,42352.34,sl,-39.5,-52.67,-1.053,10131.42,london,conservative,bullish,42389.84,42377.34,2024-10-29 11:30:00,2024-10-29
7,2024-10-29 14:00:00,2024-10-29 14:17:00,short,42382.84,42425.84,42296.84,42296.84,tp,84.0,97.67,1.953,10229.09,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:20:00,2024-10-29
8,2024-10-29 14:25:00,2024-10-29 15:46:00,short,42315.34,42355.84,42234.34,42234.34,tp,79.0,97.53,1.951,10326.62,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:15:00,2024-10-29
9,2024-10-29 14:54:00,2024-10-29 15:10:00,long,42303.84,42268.84,42373.84,42268.84,sl,-37.0,-52.86,-1.057,10273.76,london,conservative,bullish,42303.84,42293.84,2024-10-29 14:45:00,2024-10-29
10,2024-10-29 15:19:00,2024-10-29 16:00:00,short,42291.84,42323.34,42228.84,42228.84,tp,61.0,96.83,1.937,10370.59,london,conservative,bearish,42298.34,42291.84,2024-10-29 15:00:00,2024-10-29
11,2024-10-29 15:51:00,2024-10-29 16:31:00,short,42257.84,42293.09,42187.34,42187.34,tp,68.5,97.16,1.943,10467.75,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:40:00,2024-10-29
12,2024-10-29 16:17:00,2024-10-29 16:30:00,long,42248.34,42220.84,42303.34,42220.84,sl,-29.5,-53.64,-1.073,10414.12,london,conservative,bullish,42248.34,42245.84,2024-10-29 16:10:00,2024-10-29
13,2024-10-29 18:17:00,2024-10-29 19:37:00,short,42368.59,42413.09,42279.59,42279.59,tp,87.0,97.75,1.955,10511.87,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:10:00,2024-10-29
14,2024-10-29 19:03:00,2024-10-29 20:00:00,short,42340.59,42382.59,42256.59,42382.59,sl,-44.0,-52.38,-1.048,10459.49,new_york,conservative,bearish,42357.59,42340.59,2024-10-29 18:55:00,2024-10-29
15,2024-10-29 19:38:00,2024-10-29 20:02:00,long,42304.09,42260.09,42392.09,42392.09,tp,86.0,97.73,1.955,10557.22,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 16:55:00,2024-10-29
16,2024-10-29 20:24:00,2024-10-29 20:38:00,long,42341.09,42302.09,42419.09,42302.09,sl,-41.0,-52.56,-1.051,10504.65,new_york,conservative,bullish,42341.09,42327.09,2024-10-29 19:55:00,2024-10-29
17,2024-10-29 21:04:00,2024-10-29 22:42:00,short,42350.09,42377.09,42296.09,42296.09,tp,52.0,96.3,1.926,10600.95,new_york,conservative,bearish,42352.09,42350.09,2024-10-29 20:25:00,2024-10-29
18,2024-10-29 22:58:00,2024-10-29 23:18:00,long,42260.09,42223.84,42332.59,42332.59,tp,70.5,97.24,1.945,10698.19,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:50:00,2024-10-29
19,2024-10-30 10:18:00,2024-10-30 12:46:00,short,42324.2,42350.2,42272.2,42272.2,tp,50.0,96.15,1.923,10794.34,london,conservative,bearish,42325.2,42324.2,2024-10-30 05:40:00,2024-10-30
20,2024-10-30 11:35:00,2024-10-30 12:01:00,short,42338.95,42365.2,42286.45,42286.45,tp,50.5,96.19,1.924,10890.53,london,conservative,bearish,42340.2,42338.95,2024-10-30 05:25:00,2024-10-30
21,2024-10-30 12:22:00,2024-10-30 13:30:00,short,42302.55,42334.3,42239.05,42239.05,tp,61.5,96.85,1.937,10987.38,london,conservative,bearish,42309.3,42302.55,2024-10-30 12:00:00,2024-10-30
22,2024-10-30 14:57:00,2024-10-30 16:36:00,short,42193.3,42239.3,42101.3,42239.3,sl,-48.0,-52.17,-1.043,10935.21,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:50:00,2024-10-30
23,2024-10-30 16:29:00,2024-10-30 16:30:00,long,42211.8,42183.05,42269.3,42183.05,sl,-30.75,-53.48,-1.07,10881.73,london,conservative,bullish,42211.8,42208.05,2024-10-30 16:15:00,2024-10-30
24,2024-10-30 17:36:00,2024-10-30 18:05:00,short,42420.55,42451.55,42358.55,42358.55,tp,60.0,96.77,1.935,10978.51,london,conservative,bearish,42426.55,42420.55,2024-10-30 17:25:00,2024-10-30
25,2024-10-30 18:06:00,2024-10-30 18:40:00,long,42368.55,42323.8,42458.05,42458.05,tp,87.5,97.77,1.955,11076.27,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:00:00,2024-10-30
26,2024-10-30 18:48:00,2024-10-30 19:31:00,long,42444.55,42393.55,42546.55,42393.55,sl,-53.0,-51.96,-1.039,11024.31,london,conservative,bullish,42444.55,42418.55,2024-10-30 18:40:00,2024-10-30
27,2024-10-30 19:22:00,2024-10-30 19:41:00,long,42407.55,42376.55,42469.55,42376.55,sl,-33.0,-53.23,-1.065,10971.08,new_york,conservative,bullish,42407.55,42401.55,2024-10-30 18:35:00,2024-10-30
28,2024-10-30 20:02:00,2024-10-30 22:03:00,long,42337.55,42247.05,42518.55,42247.05,sl,-92.5,-51.1,-1.022,10919.98,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 16:55:00,2024-10-30
29,2024-10-30 20:08:00,2024-10-30 20:34:00,short,42351.55,42387.05,42280.55,42280.55,tp,69.0,97.18,1.944,11017.16,new_york,conservative,bearish,42362.05,42351.55,2024-10-30 19:55:00,2024-10-30
30,2024-10-30 21:03:00,2024-10-30 22:47:00,short,42298.05,42352.8,42188.55,42188.55,tp,107.5,98.17,1.963,11115.34,new_york,conservative,bearish,42327.8,42298.05,2024-10-30 20:35:00,2024-10-30
31,2024-10-30 22:03:00,2024-10-30 22:05:00,short,42333.05,42383.55,42232.05,42232.05,tp,99.0,98.02,1.96,11213.36,new_york,conservative,bearish,42358.55,42333.05,2024-10-30 20:30:00,2024-10-30
32,2024-10-30 22:05:00,2024-10-30 22:06:00,short,42302.55,42338.05,42231.55,42231.55,tp,69.0,97.18,1.944,11310.54,new_york,conservative,bearish,42313.05,42302.55,2024-10-30 21:30:00,2024-10-30
33,2024-10-30 22:13:00,2024-10-30 23:00:00,short,42262.55,42314.55,42158.55,42158.55,tp,102.0,98.08,1.962,11408.62,new_york,conservative,bearish,42289.55,42262.55,2024-10-30 22:05:00,2024-10-30
34,2024-10-30 22:47:00,2024-10-30 22:51:00,short,42244.55,42274.55,42184.55,42184.55,tp,58.0,96.67,1.933,11505.28,new_york,conservative,bearish,42249.55,42244.55,2024-10-30 22:20:00,2024-10-30
35,2024-10-31 10:26:00,2024-10-31 10:40:00,short,42013.76,42044.76,41951.76,42044.76,sl,-33.0,-53.23,-1.065,11452.06,london,conservative,bearish,42019.76,42013.76,2024-10-31 10:15:00,2024-10-31
36,2024-10-31 10:38:00,2024-10-31 11:03:00,short,42039.26,42068.76,41980.26,41980.26,tp,57.0,96.61,1.932,11548.67,london,conservative,bearish,42043.76,42039.26,2024-10-31 10:00:00,2024-10-31
37,2024-10-31 10:45:00,2024-10-31 11:02:00,short,42043.76,42072.51,41986.26,41986.26,tp,55.5,96.52,1.93,11645.19,london,conservative,bearish,42047.51,42043.76,2024-10-31 09:55:00,2024-10-31
38,2024-10-31 11:40:00,2024-10-31 12:26:00,short,41994.76,42023.26,41937.76,41937.76,tp,55.0,96.49,1.93,11741.68,london,conservative,bearish,41998.26,41994.76,2024-10-31 11:20:00,2024-10-31
39,2024-10-31 12:48:00,2024-10-31 13:03:00,short,41966.76,41999.76,41900.76,41999.76,sl,-35.0,-53.03,-1.061,11688.65,london,conservative,bearish,41974.76,41966.76,2024-10-31 12:05:00,2024-10-31
40,2024-10-31 12:51:00,2024-10-31 15:15:00,long,41962.01,41930.76,42024.51,42024.51,tp,60.5,96.8,1.936,11785.45,london,conservative,bullish,41962.01,41955.76,2024-10-31 12:45:00,2024-10-31
41,2024-10-31 13:03:00,2024-10-31 16:01:00,long,41986.76,41951.26,42057.76,41951.26,sl,-37.5,-52.82,-1.056,11732.63,london,conservative,bullish,41986.76,41976.26,2024-10-31 13:00:00,2024-10-31
42,2024-10-31 15:15:00,2024-10-31 15:58:00,long,41990.76,41958.26,42055.76,41958.26,sl,-34.5,-53.08,-1.062,11679.56,london,conservative,bullish,41990.76,41983.26,2024-10-31 14:55:00,2024-10-31
43,2024-10-31 15:58:00,2024-10-31 16:29:00,short,42022.76,42067.76,41932.76,41932.76,tp,88.0,97.78,1.956,11777.33,london,conservative,bearish,42042.76,42022.76,2024-10-31 10:50:00,2024-10-31
44,2024-10-31 16:02:00,2024-10-31 16:29:00,long,41948.26,41919.76,42005.26,41919.76,sl,-30.5,-53.51,-1.07,11723.82,london,conservative,bullish,41948.26,41944.76,2024-10-31 12:40:00,2024-10-31
45,2024-10-31 16:43:00,2024-10-31 16:47:00,short,41986.76,42020.76,41918.76,41918.76,tp,66.0,97.06,1.941,11820.88,london,conservative,bearish,41995.76,41986.76,2024-10-31 15:50:00,2024-10-31
46,2024-10-31 17:22:00,2024-10-31 17:55:00,short,41910.01,41975.01,41780.01,41780.01,tp,128.0,98.46,1.969,11919.35,london,conservative,bearish,41950.01,41910.01,2024-10-31 17:10:00,2024-10-31
47,2024-10-31 19:05:00,2024-10-31 19:14:00,short,41836.01,41870.01,41768.01,41870.01,sl,-36.0,-52.94,-1.059,11866.4,new_york,conservative,bearish,41845.01,41836.01,2024-10-31 17:45:00,2024-10-31
48,2024-10-31 19:58:00,2024-10-31 20:02:00,long,41905.76,41879.01,41959.26,41959.26,tp,51.5,96.26,1.925,11962.67,new_york,conservative,bullish,41905.76,41904.01,2024-10-31 19:50:00,2024-10-31
49,2024-10-31 20:33:00,2024-10-31 20:43:00,long,41935.51,41896.26,42014.01,41896.26,sl,-41.25,-52.55,-1.051,11910.12,new_york,conservative,bullish,41935.51,41921.26,2024-10-31 20:05:00,2024-10-31
50,2024-10-31 20:49:00,2024-10-31 22:56:00,long,41893.01,41848.51,41982.01,41848.51,sl,-46.5,-52.25,-1.045,11857.87,new_york,conservative,bullish,41893.01,41873.51,2024-10-31 19:45:00,2024-10-31
51,2024-10-31 21:51:00,2024-10-31 21:57:00,long,41900.01,41874.51,41951.01,41951.01,tp,49.0,96.08,1.922,11953.95,new_york,conservative,bullish,41900.01,41899.51,2024-10-31 21:45:00,2024-10-31
52,2024-10-31 21:58:00,2024-10-31 22:32:00,short,41946.51,41979.01,41881.51,41881.51,tp,63.0,96.92,1.938,12050.87,new_york,conservative,bearish,41954.01,41946.51,2024-10-31 20:35:00,2024-10-31
53,2024-10-31 22:44:00,2024-10-31 22:49:00,short,41897.01,41949.01,41793.01,41949.01,sl,-54.0,-51.92,-1.038,11998.95,new_york,conservative,bearish,41924.01,41897.01,2024-10-31 22:35:00,2024-10-31
54,2024-11-01 10:19:00,2024-11-01 10:52:00,short,41803.23,41835.23,41739.23,41835.23,sl,-34.0,-53.12,-1.062,11945.82,london,conservative,bearish,41810.23,41803.23,2024-11-01 10:10:00,2024-11-01
55,2024-11-01 11:01:00,2024-11-01 11:38:00,long,41820.23,41793.23,41874.23,41874.23,tp,52.0,96.3,1.926,12042.12,london,conservative,bullish,41820.23,41818.23,2024-11-01 10:55:00,2024-11-01
56,2024-11-01 13:36:00,2024-11-01 14:16:00,long,41895.23,41869.73,41946.23,41946.23,tp,49.0,96.08,1.922,12138.2,london,conservative,bullish,41895.23,41894.73,2024-11-01 13:10:00,2024-11-01
57,2024-11-01 14:28:00,2024-11-01 15:30:00,long,41941.48,41909.23,42005.98,41909.23,sl,-34.25,-53.1,-1.062,12085.1,london,conservative,bullish,41941.48,41934.23,2024-11-01 14:20:00,2024-11-01
58,2024-11-01 14:49:00,2024-11-01 15:17:00,long,41952.23,41923.73,42009.23,41923.73,sl,-30.5,-53.51,-1.07,12031.59,london,conservative,bullish,41952.23,41948.73,2024-11-01 14:35:00,2024-11-01
59,2024-11-01 15:33:00,2024-11-01 15:42:00,short,41943.98,41989.23,41853.48,41989.23,sl,-47.25,-52.21,-1.044,11979.38,london,conservative,bearish,41964.23,41943.98,2024-11-01 15:05:00,2024-11-01
60,2024-11-01 16:06:00,2024-11-01 16:30:00,long,41970.23,41939.73,42031.23,41939.73,sl,-32.5,-53.28,-1.066,11926.1,london,conservative,bullish,41970.23,41964.73,2024-11-01 15:45:00,2024-11-01
61,2024-11-01 16:29:00,2024-11-01 16:33:00,short,41976.23,42004.23,41920.23,42004.23,sl,-30.0,-53.57,-1.071,11872.53,london,conservative,bearish,41979.23,41976.23,2024-11-01 16:10:00,2024-11-01
62,2024-11-01 16:58:00,2024-11-01 17:09:00,long,42066.48,42017.23,42164.98,42164.98,tp,96.5,97.97,1.959,11970.5,london,conservative,bullish,42066.48,42042.23,2024-11-01 16:40:00,2024-11-01
63,2024-11-01 18:22:00,2024-11-01 18:50:00,long,42272.48,42236.48,42344.48,42236.48,sl,-38.0,-52.78,-1.056,11917.72,london,conservative,bullish,42272.48,42261.48,2024-11-01 18:15:00,2024-11-01
64,2024-11-01 18:52:00,2024-11-01 19:43:00,long,42220.48,42160.48,42340.48,42160.48,sl,-62.0,-51.67,-1.033,11866.05,london,conservative,bullish,42220.48,42185.48,2024-11-01 18:00:00,2024-11-01
65,2024-11-01 19:04:00,2024-11-01 19:43:00,short,42236.73,42276.98,42156.23,42156.23,tp,78.5,97.52,1.95,11963.57,new_york,conservative,bearish,42251.98,42236.73,2024-11-01 18:55:00,2024-11-01
66,2024-11-01 19:43:00,2024-11-01 19:57:00,short,42258.98,42324.48,42127.98,42127.98,tp,129.0,98.47,1.969,12062.04,new_york,conservative,bearish,42299.48,42258.98,2024-11-01 18:50:00,2024-11-01
67,2024-11-01 19:58:00,2024-11-01 20:38:00,long,42135.48,42064.48,42277.48,42064.48,sl,-73.0,-51.41,-1.028,12010.63,new_york,conservative,bullish,42135.48,42089.48,2024-11-01 17:10:00,2024-11-01
68,2024-11-01 20:21:00,2024-11-01 20:41:00,short,42180.48,42241.48,42058.48,42058.48,tp,120.0,98.36,1.967,12109.0,new_york,conservative,bearish,42216.48,42180.48,2024-11-01 19:45:00,2024-11-01
69,2024-11-01 20:56:00,2024-11-01 21:44:00,short,42072.48,42125.48,41966.48,42125.48,sl,-55.0,-51.89,-1.038,12057.11,new_york,conservative,bearish,42100.48,42072.48,2024-11-01 20:40:00,2024-11-01
70,2024-11-01 21:12:00,2024-11-01 21:44:00,long,42020.98,41970.23,42122.48,42122.48,tp,99.5,98.03,1.961,12155.14,new_york,conservative,bullish,42020.98,41995.23,2024-11-01 16:35:00,2024-11-01
71,2024-11-01 21:44:00,2024-11-04 01:01:00,short,42114.98,42204.23,41936.48,41936.48,tp,176.5,98.88,1.978,12254.02,new_york,conservative,bearish,42179.23,42114.98,2024-11-01 20:35:00,2024-11-04
72,2024-11-01 22:43:00,2024-11-04 01:01:00,short,42064.48,42130.73,41931.98,41931.98,tp,130.5,98.49,1.97,12352.51,new_york,conservative,bearish,42105.73,42064.48,2024-11-01 22:30:00,2024-11-04
73,2024-11-04 10:17:00,2024-11-04 11:48:00,short,42044.39,42070.64,41991.89,42070.64,sl,-28.25,-53.81,-1.076,12298.7,london,conservative,bearish,42045.64,42044.39,2024-11-04 09:15:00,2024-11-04
74,2024-11-04 10:32:00,2024-11-04 10:36:00,long,42029.89,41995.39,42098.89,41995.39,sl,-36.5,-52.9,-1.058,12245.8,london,conservative,bullish,42029.89,42020.39,2024-11-04 10:15:00,2024-11-04
