trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 07:07:00,2024-10-29 08:35:00,short,42352.74,42386.74,42284.74,42386.74,sl,-36.0,-529.41,-1.059,99470.59,asia,conservative,bearish,42361.74,42352.74,2024-10-29 07:00:00
2,2024-10-29 08:35:00,2024-10-29 09:54:00,long,42367.74,42340.24,42422.74,42422.74,tp,53.0,958.53,1.927,100429.12,asia,conservative,bullish,42367.74,42365.24,2024-10-29 07:30:00
3,2024-10-29 09:54:00,2024-10-29 10:23:00,long,42385.99,42359.49,42438.99,42438.99,tp,51.0,966.39,1.925,101395.52,asia,conservative,bullish,42385.99,42384.49,2024-10-29 08:45:00
4,2024-10-29 10:23:00,2024-10-29 11:20:00,long,42393.84,42364.74,42452.03999999999,42364.74,sl,-31.1,-541.82,-1.069,100853.7,asia,conservative,bullish,42393.84,42389.74,2024-10-29 09:10:00
5,2024-10-29 11:22:00,2024-10-29 11:30:00,long,42351.99,42321.74,42412.49,42412.49,tp,58.5,975.2,1.934,101828.89,london,conservative,bullish,42351.99,42346.74,2024-10-29 07:15:00
6,2024-10-29 11:30:00,2024-10-29 11:34:00,long,42359.74,42331.24,42416.74,42416.74,tp,55.0,982.56,1.93,102811.45,london,conservative,bullish,42359.74,42356.24,2024-10-29 07:20:00
7,2024-10-29 12:08:00,2024-10-29 14:00:00,short,42421.84,42459.34,42346.84,42346.84,tp,73.0,1000.7,1.947,103812.15,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:05:00
8,2024-10-29 14:00:00,2024-10-29 14:17:00,short,42382.84,42425.84,42296.84,42296.84,tp,84.0,1013.98,1.953,104826.13,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:25:00
9,2024-10-29 14:25:00,2024-10-29 15:46:00,short,42315.34,42355.84,42234.34,42234.34,tp,79.0,1022.38,1.951,105848.51,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:20:00
10,2024-10-29 15:46:00,2024-10-29 16:00:00,short,42291.84,42323.34,42228.84,42228.84,tp,61.0,1024.88,1.937,106873.39,london,conservative,bearish,42298.34,42291.84,2024-10-29 15:05:00
11,2024-10-29 16:00:00,2024-10-29 16:31:00,short,42257.84,42293.09,42187.34,42187.34,tp,68.5,1038.42,1.943,107911.8,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:45:00
12,2024-10-29 18:17:00,2024-10-29 19:37:00,short,42368.59,42413.09,42279.59,42279.59,tp,87.0,1054.87,1.955,108966.67,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:15:00
13,2024-10-29 19:38:00,2024-10-29 20:02:00,long,42304.09,42260.09,42392.09,42392.09,tp,86.0,1064.9,1.955,110031.57,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 17:00:00
14,2024-10-29 20:24:00,2024-10-29 20:38:00,long,42341.09,42302.09,42419.09,42302.09,sl,-41.0,-578.37,-1.051,109453.2,new_york,conservative,bullish,42341.09,42327.09,2024-10-29 20:00:00
15,2024-10-29 21:04:00,2024-10-29 22:42:00,short,42350.09,42377.09,42296.09,42296.09,tp,52.0,1053.99,1.926,110507.2,new_york,conservative,bearish,42352.09,42350.09,2024-10-29 20:30:00
16,2024-10-29 22:58:00,2024-10-29 23:18:00,long,42260.09,42223.84,42332.59,42332.59,tp,70.5,1074.59,1.945,111581.78,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:55:00
17,2024-10-30 02:26:00,2024-10-30 04:37:00,short,42320.2,42358.2,42244.2,42358.2,sl,-40.0,-587.27,-1.053,110994.51,asia,conservative,bearish,42333.2,42320.2,2024-10-30 02:10:00
18,2024-10-30 04:37:00,2024-10-30 06:00:00,long,42338.2,42307.2,42400.2,42307.2,sl,-33.0,-590.78,-1.065,110403.73,asia,conservative,bullish,42338.2,42332.2,2024-10-30 03:30:00
19,2024-10-30 06:00:00,2024-10-30 07:04:00,short,42324.2,42350.2,42272.2,42272.2,tp,50.0,1061.57,1.923,111465.31,asia,conservative,bearish,42325.2,42324.2,2024-10-30 05:45:00
20,2024-10-30 07:16:00,2024-10-30 09:40:00,short,42278.2,42310.2,42214.2,42310.2,sl,-34.0,-592.16,-1.062,110873.15,asia,conservative,bearish,42285.2,42278.2,2024-10-30 07:10:00
21,2024-10-30 11:35:00,2024-10-30 12:01:00,short,42338.95,42365.2,42286.45,42286.45,tp,50.5,1066.49,1.924,111939.64,london,conservative,bearish,42340.2,42338.95,2024-10-30 05:30:00
22,2024-10-30 12:22:00,2024-10-30 13:30:00,short,42302.55,42334.3,42239.05,42239.05,tp,61.5,1084.14,1.937,113023.78,london,conservative,bearish,42309.3,42302.55,2024-10-30 12:05:00
23,2024-10-30 14:57:00,2024-10-30 16:36:00,short,42193.3,42239.3,42101.3,42239.3,sl,-48.0,-589.69,-1.043,112434.09,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:55:00
24,2024-10-30 16:36:00,2024-10-30 16:49:00,long,42211.8,42183.05,42269.3,42269.3,tp,55.5,1085.23,1.93,113519.33,london,conservative,bullish,42211.8,42208.05,2024-10-30 16:20:00
25,2024-10-30 17:36:00,2024-10-30 18:05:00,short,42420.55,42451.55,42358.55,42358.55,tp,60.0,1098.57,1.935,114617.9,london,conservative,bearish,42426.55,42420.55,2024-10-30 17:30:00
26,2024-10-30 18:06:00,2024-10-30 18:40:00,long,42368.55,42323.8,42458.05,42458.05,tp,87.5,1120.57,1.955,115738.47,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:05:00
27,2024-10-30 18:48:00,2024-10-30 19:31:00,long,42444.55,42393.55,42546.55,42393.55,sl,-53.0,-601.39,-1.039,115137.08,london,conservative,bullish,42444.55,42418.55,2024-10-30 18:45:00
28,2024-10-30 20:02:00,2024-10-30 22:03:00,long,42337.55,42247.05,42518.55,42247.05,sl,-92.5,-588.41,-1.022,114548.67,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 17:00:00
29,2024-10-30 22:03:00,2024-10-30 22:05:00,short,42333.05,42383.55,42232.05,42232.05,tp,99.0,1122.8,1.96,115671.48,new_york,conservative,bearish,42358.55,42333.05,2024-10-30 20:35:00
30,2024-10-30 22:05:00,2024-10-30 22:06:00,short,42302.55,42338.05,42231.55,42231.55,tp,69.0,1124.13,1.944,116795.61,new_york,conservative,bearish,42313.05,42302.55,2024-10-30 21:35:00
31,2024-10-30 22:13:00,2024-10-30 23:00:00,short,42262.55,42314.55,42158.55,42158.55,tp,102.0,1145.5,1.962,117941.1,new_york,conservative,bearish,42289.55,42262.55,2024-10-30 22:10:00
32,2024-10-30 23:00:00,2024-10-30 23:01:00,short,42244.55,42274.55,42184.55,42184.55,tp,58.0,1140.1,1.933,119081.2,new_york,conservative,bearish,42249.55,42244.55,2024-10-30 22:25:00
33,2024-10-31 01:15:00,2024-10-31 09:43:00,short,42150.41,42197.45,42056.330000000016,42056.330000000016,tp,92.08,1165.5,1.957,120246.7,asia,conservative,bearish,42172.45,42150.41,2024-10-31 01:10:00
34,2024-10-31 09:43:00,2024-10-31 09:44:00,short,42150.66,42177.41,42097.16,42097.16,tp,51.5,1157.51,1.925,121404.21,asia,conservative,bearish,42152.41,42150.66,2024-10-31 05:55:00
35,2024-10-31 09:44:00,2024-10-31 09:45:00,short,42142.66,42168.91,42090.16,42090.16,tp,50.5,1167.79,1.924,122572.01,asia,conservative,bearish,42143.91,42142.66,2024-10-31 06:15:00
36,2024-10-31 09:45:00,2024-10-31 09:46:00,short,42127.66,42154.66,42073.66,42073.66,tp,52.0,1180.32,1.926,123752.33,asia,conservative,bearish,42129.66,42127.66,2024-10-31 07:50:00
37,2024-10-31 09:46:00,2024-10-31 09:47:00,short,42117.16,42150.41,42050.66,42050.66,tp,64.5,1200.3,1.94,124952.63,asia,conservative,bearish,42125.41,42117.16,2024-10-31 08:50:00
38,2024-10-31 09:47:00,2024-10-31 09:48:00,short,42106.51,42132.76,42054.01,42054.01,tp,50.5,1201.93,1.924,126154.56,asia,conservative,bearish,42107.76,42106.51,2024-10-31 09:20:00
39,2024-10-31 10:26:00,2024-10-31 10:40:00,short,42013.76,42044.76,41951.76,42044.76,sl,-33.0,-671.47,-1.065,125483.09,london,conservative,bearish,42019.76,42013.76,2024-10-31 10:20:00
40,2024-10-31 10:45:00,2024-10-31 11:02:00,short,42043.76,42072.51,41986.26,41986.26,tp,55.5,1211.18,1.93,126694.28,london,conservative,bearish,42047.51,42043.76,2024-10-31 10:00:00
41,2024-10-31 11:40:00,2024-10-31 12:26:00,short,41994.76,42023.26,41937.76,41937.76,tp,55.0,1222.49,1.93,127916.76,london,conservative,bearish,41998.26,41994.76,2024-10-31 11:25:00
42,2024-10-31 12:48:00,2024-10-31 13:03:00,short,41966.76,41999.76,41900.76,41999.76,sl,-35.0,-678.35,-1.061,127238.42,london,conservative,bearish,41974.76,41966.76,2024-10-31 12:10:00
43,2024-10-31 13:03:00,2024-10-31 15:15:00,long,41962.01,41930.76,42024.51,42024.51,tp,60.5,1231.67,1.936,128470.09,london,conservative,bullish,41962.01,41955.76,2024-10-31 12:50:00
44,2024-10-31 15:15:00,2024-10-31 15:58:00,long,41990.76,41958.26,42055.76,41958.26,sl,-34.5,-681.88,-1.062,127788.21,london,conservative,bullish,41990.76,41983.26,2024-10-31 15:00:00
45,2024-10-31 15:58:00,2024-10-31 16:29:00,short,42022.76,42067.76,41932.76,41932.76,tp,88.0,1249.48,1.956,129037.69,london,conservative,bearish,42042.76,42022.76,2024-10-31 10:55:00
46,2024-10-31 16:43:00,2024-10-31 16:47:00,short,41986.76,42020.76,41918.76,41918.76,tp,66.0,1252.42,1.941,130290.12,london,conservative,bearish,41995.76,41986.76,2024-10-31 15:55:00
47,2024-10-31 17:22:00,2024-10-31 17:55:00,short,41910.01,41975.01,41780.01,41780.01,tp,128.0,1282.86,1.969,131572.97,london,conservative,bearish,41950.01,41910.01,2024-10-31 17:15:00
48,2024-10-31 19:05:00,2024-10-31 19:14:00,short,41836.01,41870.01,41768.01,41870.01,sl,-36.0,-696.56,-1.059,130876.41,new_york,conservative,bearish,41845.01,41836.01,2024-10-31 17:50:00
49,2024-10-31 19:58:00,2024-10-31 20:02:00,long,41905.76,41879.01,41959.26,41959.26,tp,51.5,1259.84,1.925,132136.25,new_york,conservative,bullish,41905.76,41904.01,2024-10-31 19:55:00
50,2024-10-31 20:33:00,2024-10-31 20:43:00,long,41935.51,41896.26,42014.01,41896.26,sl,-41.25,-694.35,-1.051,131441.9,new_york,conservative,bullish,41935.51,41921.26,2024-10-31 20:10:00
51,2024-10-31 20:49:00,2024-10-31 22:56:00,long,41893.01,41848.51,41982.01,41848.51,sl,-46.5,-686.75,-1.045,130755.15,new_york,conservative,bullish,41893.01,41873.51,2024-10-31 19:50:00
52,2024-11-01 01:01:00,2024-11-01 08:31:00,short,41798.66,41849.16,41697.66,41849.16,sl,-52.5,-679.67,-1.04,130075.49,asia,conservative,bearish,41824.16,41798.66,2024-10-31 23:40:00
53,2024-11-01 08:31:00,2024-11-01 10:09:00,long,41824.13,41798.88,41874.63,41798.88,sl,-27.25,-701.89,-1.079,129373.59,asia,conservative,bullish,41824.13,41823.88,2024-11-01 06:55:00
54,2024-11-01 10:19:00,2024-11-01 10:52:00,short,41803.23,41835.23,41739.23,41835.23,sl,-34.0,-687.3,-1.062,128686.3,london,conservative,bearish,41810.23,41803.23,2024-11-01 10:15:00
55,2024-11-01 11:01:00,2024-11-01 11:38:00,long,41820.23,41793.23,41874.23,41874.23,tp,52.0,1239.2,1.926,129925.5,london,conservative,bullish,41820.23,41818.23,2024-11-01 11:00:00
56,2024-11-01 13:36:00,2024-11-01 14:16:00,long,41895.23,41869.73,41946.23,41946.23,tp,49.0,1248.3,1.922,131173.8,london,conservative,bullish,41895.23,41894.73,2024-11-01 13:15:00
57,2024-11-01 14:28:00,2024-11-01 15:30:00,long,41941.48,41909.23,42005.98,41909.23,sl,-34.25,-696.54,-1.062,130477.26,london,conservative,bullish,41941.48,41934.23,2024-11-01 14:25:00
58,2024-11-01 15:33:00,2024-11-01 15:42:00,short,41943.98,41989.23,41853.48,41989.23,sl,-47.25,-681.22,-1.044,129796.04,london,conservative,bearish,41964.23,41943.98,2024-11-01 15:10:00
59,2024-11-01 16:06:00,2024-11-01 16:30:00,long,41970.23,41939.73,42031.23,41939.73,sl,-32.5,-691.54,-1.066,129104.5,london,conservative,bullish,41970.23,41964.73,2024-11-01 15:50:00
60,2024-11-01 16:58:00,2024-11-01 17:09:00,long,42066.48,42017.23,42164.98,42164.98,tp,96.5,1264.83,1.959,130369.33,london,conservative,bullish,42066.48,42042.23,2024-11-01 16:45:00
61,2024-11-01 18:22:00,2024-11-01 18:50:00,long,42272.48,42236.48,42344.48,42236.48,sl,-38.0,-688.06,-1.056,129681.27,london,conservative,bullish,42272.48,42261.48,2024-11-01 18:20:00
62,2024-11-01 18:52:00,2024-11-01 19:43:00,long,42220.48,42160.48,42340.48,42160.48,sl,-62.0,-670.02,-1.033,129011.25,london,conservative,bullish,42220.48,42185.48,2024-11-01 18:05:00
63,2024-11-01 19:43:00,2024-11-01 19:57:00,short,42258.98,42324.48,42127.98,42127.98,tp,129.0,1270.42,1.969,130281.67,new_york,conservative,bearish,42299.48,42258.98,2024-11-01 18:55:00
64,2024-11-01 19:58:00,2024-11-01 20:38:00,long,42135.48,42064.48,42277.48,42064.48,sl,-73.0,-669.76,-1.028,129611.91,new_york,conservative,bullish,42135.48,42089.48,2024-11-01 17:15:00
65,2024-11-01 20:38:00,2024-11-01 20:41:00,short,42180.48,42241.48,42058.48,42058.48,tp,120.0,1274.87,1.967,130886.78,new_york,conservative,bearish,42216.48,42180.48,2024-11-01 19:50:00
66,2024-11-01 20:56:00,2024-11-01 21:44:00,short,42072.48,42125.48,41966.48,42125.48,sl,-55.0,-679.13,-1.038,130207.65,new_york,conservative,bearish,42100.48,42072.48,2024-11-01 20:45:00
67,2024-11-01 21:44:00,2024-11-01 21:45:00,long,42020.98,41970.23,42122.48,42122.48,tp,99.5,1276.42,1.961,131484.07,new_york,conservative,bullish,42020.98,41995.23,2024-11-01 16:40:00
68,2024-11-01 21:47:00,2024-11-04 01:01:00,short,42114.98,42204.23,41936.48,41936.48,tp,176.5,1300.11,1.978,132784.18,new_york,conservative,bearish,42179.23,42114.98,2024-11-01 20:40:00
69,2024-11-04 01:01:00,2024-11-04 02:01:00,short,42064.48,42130.73,41931.98,41931.98,tp,130.5,1307.8,1.97,134091.98,new_york,conservative,bearish,42105.73,42064.48,2024-11-01 22:35:00
70,2024-11-04 02:01:00,2024-11-04 08:31:00,short,41968.79,42066.13,41774.11000000001,42066.13,sl,-99.34,-684.24,-1.021,133407.74,asia,conservative,bearish,42041.13,41968.79,2024-11-04 01:10:00
