trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 10:17:00,2024-10-29 11:09:00,long,42424.09,42397.59,42477.09,42397.59,sl,-28.5,-537.74,-1.075,99462.26,london,conservative,bullish,42425.09,42422.59,2024-10-29 10:05:00
2,2024-10-29 10:49:00,2024-10-29 11:20:00,short,42421.84,42451.84,42361.84,42361.84,tp,58.0,966.67,1.933,100428.93,london,conservative,bearish,42426.84,42421.84,2024-10-29 10:45:00
3,2024-10-29 11:22:00,2024-10-29 11:30:00,long,42358.09,42331.24,42411.78999999999,42411.78999999999,tp,51.7,966.89,1.926,101395.82,london,conservative,bullish,42359.74,42356.24,2024-10-29 07:15:00
4,2024-10-29 11:25:00,2024-10-29 11:30:00,long,42365.84,42340.24,42417.03999999999,42417.03999999999,tp,49.2,965.06,1.922,102360.88,london,conservative,bullish,42367.74,42365.24,2024-10-29 07:25:00
5,2024-10-29 11:39:00,2024-10-29 13:20:00,short,42431.34,42459.59,42374.84,42374.84,tp,54.5,987.37,1.929,103348.25,london,conservative,bearish,42434.59,42428.84,2024-10-29 10:40:00
6,2024-10-29 12:07:00,2024-10-29 14:00:00,short,42424.84,42459.34,42355.84,42355.84,tp,67.0,993.94,1.942,104342.19,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:00:00
7,2024-10-29 13:29:00,2024-10-29 14:15:00,short,42383.84,42425.84,42299.84,42299.84,tp,82.0,1008.88,1.952,105351.07,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:20:00
8,2024-10-29 14:24:00,2024-10-29 15:43:00,short,42315.84,42355.84,42235.84,42235.84,tp,78.0,1027.17,1.95,106378.24,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:15:00
9,2024-10-29 14:53:00,2024-10-29 15:10:00,long,42303.84,42268.84,42373.84,42268.84,sl,-37.0,-556.86,-1.057,105821.38,london,conservative,bullish,42303.84,42293.84,2024-10-29 14:45:00
10,2024-10-29 15:15:00,2024-10-29 15:42:00,short,42296.09,42323.34,42241.59,42241.59,tp,52.5,1009.49,1.927,106830.87,london,conservative,bearish,42298.34,42291.84,2024-10-29 15:00:00
11,2024-10-29 15:50:00,2024-10-29 16:31:00,short,42261.84,42293.09,42199.34,42199.34,tp,60.5,1034.12,1.936,107864.99,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:40:00
12,2024-10-29 16:16:00,2024-10-29 16:30:00,long,42245.84,42220.84,42295.84,42220.84,sl,-27.0,-576.89,-1.08,107288.1,london,conservative,bullish,42248.34,42245.84,2024-10-29 16:10:00
13,2024-10-29 18:16:00,2024-10-29 19:37:00,short,42368.59,42413.09,42279.59,42279.59,tp,87.0,1048.77,1.955,108336.88,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:10:00
14,2024-10-29 19:02:00,2024-10-29 20:00:00,short,42346.84,42382.59,42275.34,42382.59,sl,-37.75,-566.45,-1.056,107770.42,new_york,conservative,bearish,42357.59,42340.59,2024-10-29 18:55:00
15,2024-10-29 19:37:00,2024-10-29 19:52:00,long,42293.09,42260.09,42359.09,42359.09,tp,64.0,1050.54,1.939,108820.96,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 16:55:00
16,2024-10-29 20:21:00,2024-10-29 20:38:00,long,42331.09,42302.09,42389.09,42302.09,sl,-31.0,-581.63,-1.069,108239.33,new_york,conservative,bullish,42341.09,42327.09,2024-10-29 19:55:00
17,2024-10-29 21:03:00,2024-10-29 22:42:00,short,42352.09,42377.09,42302.09,42302.09,tp,48.0,1039.1,1.92,109278.43,new_york,conservative,bearish,42352.09,42350.09,2024-10-29 20:25:00
18,2024-10-29 22:57:00,2024-10-29 23:18:00,long,42260.09,42223.84,42332.59,42332.59,tp,70.5,1062.64,1.945,110341.07,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:50:00
19,2024-10-30 10:17:00,2024-10-30 12:45:00,short,42324.55,42350.2,42273.250000000015,42273.250000000015,tp,49.3,1060.39,1.922,111401.46,london,conservative,bearish,42325.2,42324.2,2024-10-30 05:40:00
20,2024-10-30 11:34:00,2024-10-30 12:01:00,short,42339.05,42365.2,42286.750000000015,42286.750000000015,tp,50.3,1061.22,1.924,112462.68,london,conservative,bearish,42340.2,42338.95,2024-10-30 05:25:00
21,2024-10-30 12:21:00,2024-10-30 13:30:00,short,42304.3,42334.3,42244.3,42244.3,tp,58.0,1076.89,1.933,113539.57,london,conservative,bearish,42309.3,42302.55,2024-10-30 12:00:00
22,2024-10-30 14:56:00,2024-10-30 16:36:00,short,42193.3,42239.3,42101.3,42239.3,sl,-48.0,-592.38,-1.043,112947.19,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:50:00
23,2024-10-30 15:44:00,2024-10-30 16:31:00,long,42200.3,42167.55,42265.8,42167.55,sl,-34.75,-602.37,-1.061,112344.82,london,conservative,bullish,42200.3,42192.55,2024-10-30 15:35:00
24,2024-10-30 16:35:00,2024-10-30 16:49:00,long,42211.55,42183.05,42268.55,42268.55,tp,55.0,1089.74,1.93,113434.57,london,conservative,bullish,42211.8,42208.05,2024-10-30 16:15:00
25,2024-10-30 17:35:00,2024-10-30 18:05:00,short,42420.55,42451.55,42358.55,42358.55,tp,60.0,1097.75,1.935,114532.32,london,conservative,bearish,42426.55,42420.55,2024-10-30 17:25:00
26,2024-10-30 18:05:00,2024-10-30 18:39:00,long,42363.8,42323.8,42443.8,42443.8,tp,78.0,1116.69,1.95,115649.01,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:00:00
27,2024-10-30 18:47:00,2024-10-30 19:31:00,long,42437.55,42393.55,42525.55,42393.55,sl,-46.0,-604.53,-1.045,115044.48,london,conservative,bullish,42444.55,42418.55,2024-10-30 18:40:00
28,2024-10-30 19:21:00,2024-10-30 19:41:00,long,42407.55,42376.55,42469.55,42376.55,sl,-33.0,-615.55,-1.065,114428.93,new_york,conservative,bullish,42407.55,42401.55,2024-10-30 18:35:00
29,2024-10-30 19:59:00,2024-10-30 22:03:00,long,42327.55,42247.05,42488.55,42247.05,sl,-82.5,-586.36,-1.025,113842.57,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 16:55:00
30,2024-10-30 20:05:00,2024-10-30 20:34:00,short,42356.05,42387.05,42294.05,42294.05,tp,60.0,1107.38,1.935,114949.95,new_york,conservative,bearish,42362.05,42351.55,2024-10-30 19:55:00
31,2024-10-30 21:02:00,2024-10-30 22:47:00,short,42298.55,42352.8,42190.05,42190.05,tp,106.5,1134.07,1.963,116084.01,new_york,conservative,bearish,42327.8,42298.05,2024-10-30 20:35:00
32,2024-10-30 22:12:00,2024-10-30 22:57:00,short,42263.55,42314.55,42161.55,42161.55,tp,100.0,1126.96,1.961,117210.97,new_york,conservative,bearish,42289.55,42262.55,2024-10-30 22:05:00
33,2024-10-31 10:25:00,2024-10-31 10:40:00,short,42017.76,42044.76,41963.76,42044.76,sl,-29.0,-629.47,-1.074,116581.51,london,conservative,bearish,42019.76,42013.76,2024-10-31 10:15:00
34,2024-10-31 10:37:00,2024-10-31 11:03:00,short,42039.76,42068.76,41981.76,41981.76,tp,56.0,1131.69,1.931,117713.2,london,conservative,bearish,42043.76,42039.26,2024-10-31 10:00:00
35,2024-10-31 10:44:00,2024-10-31 11:02:00,short,42045.76,42072.51,41992.26,41992.26,tp,51.5,1122.23,1.925,118835.43,london,conservative,bearish,42047.51,42043.76,2024-10-31 09:55:00
36,2024-10-31 11:39:00,2024-10-31 12:22:00,short,41995.51,42023.26,41940.01,41940.01,tp,53.5,1145.53,1.928,119980.96,london,conservative,bearish,41998.26,41994.76,2024-10-31 11:20:00
37,2024-10-31 12:42:00,2024-10-31 13:03:00,short,41969.76,41999.76,41909.76,41999.76,sl,-32.0,-639.9,-1.067,119341.06,london,conservative,bearish,41974.76,41966.76,2024-10-31 12:05:00
38,2024-10-31 12:50:00,2024-10-31 15:12:00,long,41959.01,41930.76,42015.51,42015.51,tp,54.5,1157.34,1.929,120498.4,london,conservative,bullish,41962.01,41955.76,2024-10-31 12:45:00
39,2024-10-31 13:13:00,2024-10-31 16:01:00,long,41985.76,41951.26,42054.76,41951.26,sl,-36.5,-631.3,-1.058,119867.11,london,conservative,bullish,41986.76,41976.26,2024-10-31 13:00:00
40,2024-10-31 15:25:00,2024-10-31 16:29:00,short,42022.76,42067.76,41932.76,41932.76,tp,88.0,1178.21,1.956,121045.31,london,conservative,bearish,42042.76,42022.76,2024-10-31 10:50:00
41,2024-10-31 16:01:00,2024-10-31 16:29:00,long,41947.76,41919.76,42003.76,41919.76,sl,-30.0,-642.15,-1.071,120403.17,london,conservative,bullish,41948.26,41944.76,2024-10-31 12:40:00
42,2024-10-31 16:42:00,2024-10-31 16:46:00,short,41994.51,42020.76,41942.01,41942.01,tp,50.5,1158.16,1.924,121561.33,london,conservative,bearish,41995.76,41986.76,2024-10-31 15:50:00
43,2024-10-31 17:16:00,2024-10-31 17:46:00,short,41920.01,41975.01,41810.01,41810.01,tp,108.0,1193.51,1.964,122754.84,london,conservative,bearish,41950.01,41910.01,2024-10-31 17:10:00
44,2024-10-31 19:04:00,2024-10-31 19:14:00,short,41837.01,41870.01,41771.01,41870.01,sl,-35.0,-650.97,-1.061,122103.87,new_york,conservative,bearish,41845.01,41836.01,2024-10-31 17:45:00
45,2024-10-31 19:57:00,2024-10-31 20:02:00,long,41904.51,41879.01,41955.51,41955.51,tp,49.0,1173.15,1.922,123277.02,new_york,conservative,bullish,41905.76,41904.01,2024-10-31 19:50:00
46,2024-10-31 20:32:00,2024-10-31 20:43:00,long,41928.01,41896.26,41991.51,41896.26,sl,-33.75,-655.21,-1.063,122621.81,new_york,conservative,bullish,41935.51,41921.26,2024-10-31 20:05:00
47,2024-10-31 20:46:00,2024-10-31 21:56:00,long,41880.01,41848.51,41943.01,41943.01,tp,61.0,1187.29,1.937,123809.1,new_york,conservative,bullish,41893.01,41873.51,2024-10-31 19:45:00
48,2024-10-31 21:24:00,2024-10-31 21:55:00,short,41907.76,41939.01,41845.26,41939.01,sl,-33.25,-652.35,-1.064,123156.75,new_york,conservative,bearish,41914.01,41904.76,2024-10-31 20:45:00
49,2024-10-31 21:57:00,2024-10-31 22:32:00,short,41950.01,41979.01,41892.01,41892.01,tp,56.0,1189.1,1.931,124345.85,new_york,conservative,bearish,41954.01,41946.51,2024-10-31 20:35:00
50,2024-10-31 22:43:00,2024-10-31 22:49:00,short,41909.01,41949.01,41829.01,41949.01,sl,-42.0,-652.82,-1.05,123693.04,new_york,conservative,bearish,41924.01,41897.01,2024-10-31 22:35:00
51,2024-11-01 10:17:00,2024-11-01 10:52:00,short,41805.23,41835.23,41745.23,41835.23,sl,-32.0,-659.7,-1.067,123033.34,london,conservative,bearish,41810.23,41803.23,2024-11-01 10:10:00
52,2024-11-01 11:00:00,2024-11-01 11:14:00,long,41818.23,41793.23,41868.23,41868.23,tp,48.0,1181.12,1.92,124214.46,london,conservative,bullish,41820.23,41818.23,2024-11-01 10:55:00
53,2024-11-01 13:29:00,2024-11-01 14:21:00,long,41903.23,41878.23,41953.23,41953.23,tp,48.0,1192.46,1.92,125406.92,london,conservative,bullish,41905.23,41903.23,2024-11-01 13:20:00
54,2024-11-01 13:35:00,2024-11-01 14:16:00,long,41894.73,41869.73,41944.73,41944.73,tp,48.0,1192.46,1.92,126599.38,london,conservative,bullish,41895.23,41894.73,2024-11-01 13:10:00
55,2024-11-01 14:27:00,2024-11-01 15:30:00,long,41941.23,41909.23,42005.23,41909.23,sl,-34.0,-672.56,-1.062,125926.82,london,conservative,bullish,41941.48,41934.23,2024-11-01 14:20:00
56,2024-11-01 14:48:00,2024-11-01 15:17:00,long,41952.23,41923.73,42009.23,41923.73,sl,-30.5,-677.42,-1.07,125249.4,london,conservative,bullish,41952.23,41948.73,2024-11-01 14:35:00
57,2024-11-01 15:32:00,2024-11-01 15:42:00,short,41961.73,41989.23,41906.73,41989.23,sl,-29.5,-671.79,-1.073,124577.61,london,conservative,bearish,41964.23,41943.98,2024-11-01 15:05:00
58,2024-11-01 16:05:00,2024-11-01 16:30:00,long,41968.23,41939.73,42025.23,41939.73,sl,-30.5,-666.6,-1.07,123911.01,london,conservative,bullish,41970.23,41964.73,2024-11-01 15:45:00
59,2024-11-01 16:28:00,2024-11-01 16:33:00,short,41978.23,42004.23,41926.23,42004.23,sl,-28.0,-670.8,-1.077,123240.21,london,conservative,bearish,41979.23,41976.23,2024-11-01 16:10:00
60,2024-11-01 16:56:00,2024-11-01 17:08:00,long,42061.48,42017.23,42149.98,42149.98,tp,86.5,1204.55,1.955,124444.76,london,conservative,bullish,42066.48,42042.23,2024-11-01 16:40:00
61,2024-11-01 18:21:00,2024-11-01 18:28:00,long,42268.98,42236.48,42333.98,42333.98,tp,63.0,1206.16,1.938,125650.92,london,conservative,bullish,42272.48,42261.48,2024-11-01 18:15:00
62,2024-11-01 18:51:00,2024-11-01 19:43:00,long,42216.48,42160.48,42328.48,42160.48,sl,-58.0,-650.69,-1.036,125000.22,london,conservative,bullish,42220.48,42185.48,2024-11-01 18:00:00
63,2024-11-01 19:03:00,2024-11-01 19:29:00,short,42246.48,42276.98,42185.48,42185.48,tp,59.0,1215.31,1.934,126215.54,new_york,conservative,bearish,42251.98,42236.73,2024-11-01 18:55:00
64,2024-11-01 19:57:00,2024-11-01 20:38:00,long,42130.48,42064.48,42262.48,42064.48,sl,-68.0,-650.2,-1.03,125565.34,new_york,conservative,bullish,42135.48,42089.48,2024-11-01 17:10:00
65,2024-11-01 20:20:00,2024-11-01 20:36:00,short,42185.48,42241.48,42073.48,42073.48,tp,110.0,1239.62,1.964,126804.95,new_york,conservative,bearish,42216.48,42180.48,2024-11-01 19:45:00
66,2024-11-01 20:51:00,2024-11-01 21:44:00,short,42075.48,42125.48,41975.48,42125.48,sl,-52.0,-659.39,-1.04,126145.57,new_york,conservative,bearish,42100.48,42072.48,2024-11-01 20:40:00
67,2024-11-01 21:11:00,2024-11-01 21:40:00,long,42019.48,41970.23,42117.98,42117.98,tp,96.5,1242.3,1.959,127387.87,new_york,conservative,bullish,42020.98,41995.23,2024-11-01 16:35:00
68,2024-11-01 21:40:00,2024-11-04 01:00:00,short,42117.48,42204.23,41943.98,41943.98,tp,171.5,1265.71,1.977,128653.58,new_york,conservative,bearish,42179.23,42114.98,2024-11-01 20:35:00
69,2024-11-01 22:42:00,2024-11-04 01:00:00,short,42075.48,42130.73,41964.98,41964.98,tp,108.5,1250.82,1.964,129904.4,new_york,conservative,bearish,42105.73,42064.48,2024-11-01 22:30:00
70,2024-11-04 10:16:00,2024-11-04 10:36:00,short,42045.39,42070.64,41994.89,41994.89,tp,48.5,1247.6,1.921,131152.0,london,conservative,bearish,42045.64,42044.39,2024-11-04 09:15:00
71,2024-11-04 10:31:00,2024-11-04 10:36:00,long,42025.39,41995.39,42085.39,41995.39,sl,-32.0,-692.82,-1.067,130459.18,london,conservative,bullish,42029.89,42020.39,2024-11-04 10:15:00
72,2024-11-04 10:47:00,2024-11-04 11:44:00,short,42027.39,42055.39,41971.39,42055.39,sl,-30.0,-698.89,-1.071,129760.29,london,conservative,bearish,42030.39,42021.39,2024-11-04 10:35:00
73,2024-11-04 11:12:00,2024-11-04 11:59:00,long,42022.39,41993.39,42080.39,42080.39,tp,56.0,1259.61,1.931,131019.89,london,conservative,bullish,42023.89,42018.39,2024-11-04 11:05:00
74,2024-11-04 11:56:00,2024-11-04 12:35:00,long,42063.39,42033.89,42122.39,42122.39,tp,57.0,1253.62,1.932,132273.51,london,conservative,bullish,42065.14,42058.89,2024-11-04 11:50:00
75,2024-11-04 12:16:00,2024-11-04 14:27:00,long,42094.39,42055.89,42171.39,42055.89,sl,-40.5,-689.13,-1.052,131584.38,london,conservative,bullish,42094.39,42080.89,2024-11-04 12:05:00
76,2024-11-04 12:49:00,2024-11-04 13:28:00,long,42122.39,42096.39,42174.39,42096.39,sl,-28.0,-712.24,-1.077,130872.14,london,conservative,bullish,42122.89,42121.39,2024-11-04 12:40:00
77,2024-11-04 13:55:00,2024-11-04 14:11:00,long,42103.39,42078.39,42153.39,42078.39,sl,-27.0,-710.43,-1.08,130161.71,london,conservative,bullish,42103.64,42103.39,2024-11-04 13:50:00
78,2024-11-04 14:27:00,2024-11-04 16:11:00,long,42054.39,42016.39,42130.39,42016.39,sl,-40.0,-685.06,-1.053,129476.64,london,conservative,bullish,42056.39,42041.39,2024-11-04 11:45:00
79,2024-11-04 14:49:00,2024-11-04 16:21:00,short,42063.64,42103.39,41984.14,41984.14,tp,77.5,1268.87,1.95,130745.52,london,conservative,bearish,42078.39,42060.89,2024-11-04 14:30:00
80,2024-11-04 16:45:00,2024-11-04 16:57:00,short,41946.14,41991.89,41854.64,41991.89,sl,-47.75,-682.31,-1.044,130063.21,london,conservative,bearish,41966.89,41940.89,2024-11-04 16:40:00
81,2024-11-04 18:10:00,2024-11-04 18:19:00,short,41943.64,41969.64,41891.64,41891.64,tp,50.0,1250.61,1.923,131313.82,london,conservative,bearish,41944.64,41935.64,2024-11-04 18:00:00
82,2024-11-04 19:17:00,2024-11-04 19:21:00,short,41744.14,41794.64,41643.14,41794.64,sl,-52.5,-682.57,-1.04,130631.25,new_york,conservative,bearish,41769.64,41736.39,2024-11-04 18:45:00
