trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2024-10-29 11:27:00,2024-10-29 11:38:00,short,42377.34,42430.09,42271.84,42430.09,sl,-54.75,-518.96,-1.038,99481.04,london,conservative,bearish,42405.09,42377.34,2024-10-29 11:20:00
2,2024-10-29 12:08:00,2024-10-29 14:00:00,short,42421.84,42459.34,42346.84,42346.84,tp,73.0,968.28,1.947,100449.32,london,conservative,bearish,42434.34,42421.84,2024-10-29 12:00:00
3,2024-10-29 12:31:00,2024-10-29 13:16:00,long,42430.84,42390.34,42511.84,42390.34,sl,-42.5,-521.97,-1.049,99927.36,london,conservative,bullish,42430.84,42415.34,2024-10-29 12:25:00
4,2024-10-29 13:19:00,2024-10-29 14:00:00,long,42389.84,42352.34,42464.84,42352.34,sl,-39.5,-521.18,-1.053,99406.17,london,conservative,bullish,42389.84,42377.34,2024-10-29 11:30:00
5,2024-10-29 14:00:00,2024-10-29 14:17:00,short,42382.84,42425.84,42296.84,42296.84,tp,84.0,970.94,1.953,100377.12,london,conservative,bearish,42400.84,42382.84,2024-10-29 13:20:00
6,2024-10-29 14:25:00,2024-10-29 15:46:00,short,42315.34,42355.84,42234.34,42234.34,tp,79.0,978.99,1.951,101356.1,london,conservative,bearish,42330.84,42315.34,2024-10-29 14:15:00
7,2024-10-29 14:54:00,2024-10-29 15:10:00,long,42303.84,42268.84,42373.84,42268.84,sl,-37.0,-530.56,-1.057,100825.54,london,conservative,bullish,42303.84,42293.84,2024-10-29 14:45:00
8,2024-10-29 15:51:00,2024-10-29 16:31:00,short,42257.84,42293.09,42187.34,42187.34,tp,68.5,979.65,1.943,101805.19,london,conservative,bearish,42268.09,42257.84,2024-10-29 15:40:00
9,2024-10-29 18:17:00,2024-10-29 19:37:00,short,42368.59,42413.09,42279.59,42279.59,tp,87.0,995.17,1.955,102800.36,london,conservative,bearish,42388.09,42368.59,2024-10-29 18:10:00
10,2024-10-29 19:03:00,2024-10-29 20:00:00,short,42340.59,42382.59,42256.59,42382.59,sl,-44.0,-533.27,-1.048,102267.1,new_york,conservative,bearish,42357.59,42340.59,2024-10-29 18:55:00
11,2024-10-29 19:38:00,2024-10-29 20:02:00,long,42304.09,42260.09,42392.09,42392.09,tp,86.0,1004.64,1.955,103271.74,new_york,conservative,bullish,42304.09,42285.09,2024-10-29 16:55:00
12,2024-10-29 20:24:00,2024-10-29 20:38:00,long,42341.09,42302.09,42419.09,42302.09,sl,-41.0,-542.84,-1.051,102728.9,new_york,conservative,bullish,42341.09,42327.09,2024-10-29 19:55:00
13,2024-10-29 22:58:00,2024-10-29 23:18:00,long,42260.09,42223.84,42332.59,42332.59,tp,70.5,998.95,1.945,103727.85,new_york,conservative,bullish,42260.09,42248.84,2024-10-29 16:50:00
14,2024-10-30 14:57:00,2024-10-30 16:36:00,short,42193.3,42239.3,42101.3,42239.3,sl,-48.0,-541.19,-1.043,103186.66,london,conservative,bearish,42214.3,42193.3,2024-10-30 14:50:00
15,2024-10-30 18:06:00,2024-10-30 18:40:00,long,42368.55,42323.8,42458.05,42458.05,tp,87.5,1008.81,1.955,104195.47,london,conservative,bullish,42368.55,42348.8,2024-10-30 17:00:00
16,2024-10-30 18:48:00,2024-10-30 19:31:00,long,42444.55,42393.55,42546.55,42393.55,sl,-53.0,-541.41,-1.039,103654.06,london,conservative,bullish,42444.55,42418.55,2024-10-30 18:40:00
17,2024-10-30 20:02:00,2024-10-30 22:03:00,long,42337.55,42247.05,42518.55,42247.05,sl,-92.5,-529.72,-1.022,103124.34,new_york,conservative,bullish,42337.55,42272.05,2024-10-30 16:55:00
18,2024-10-30 20:08:00,2024-10-30 20:34:00,short,42351.55,42387.05,42280.55,42280.55,tp,69.0,1007.34,1.944,104131.68,new_york,conservative,bearish,42362.05,42351.55,2024-10-30 19:55:00
19,2024-10-30 21:03:00,2024-10-30 22:47:00,short,42298.05,42352.8,42188.55,42188.55,tp,107.5,1027.5,1.963,105159.18,new_york,conservative,bearish,42327.8,42298.05,2024-10-30 20:35:00
20,2024-10-30 22:03:00,2024-10-30 22:05:00,short,42333.05,42383.55,42232.05,42232.05,tp,99.0,1020.7,1.96,106179.88,new_york,conservative,bearish,42358.55,42333.05,2024-10-30 20:30:00
21,2024-10-30 22:05:00,2024-10-30 22:06:00,short,42302.55,42338.05,42231.55,42231.55,tp,69.0,1021.9,1.944,107201.78,new_york,conservative,bearish,42313.05,42302.55,2024-10-30 21:30:00
22,2024-10-30 22:13:00,2024-10-30 23:00:00,short,42262.55,42314.55,42158.55,42158.55,tp,102.0,1041.32,1.962,108243.1,new_york,conservative,bearish,42289.55,42262.55,2024-10-30 22:05:00
23,2024-10-31 12:54:00,2024-10-31 13:57:00,short,41975.76,42012.01,41903.26,42012.01,sl,-38.25,-571.08,-1.055,107672.03,london,conservative,bearish,41987.01,41975.76,2024-10-31 12:00:00
24,2024-10-31 13:01:00,2024-10-31 16:01:00,long,41986.76,41951.26,42057.76,41951.26,sl,-37.5,-571.71,-1.056,107100.32,london,conservative,bullish,41986.76,41976.26,2024-10-31 13:00:00
25,2024-10-31 15:26:00,2024-10-31 16:29:00,short,42022.76,42067.76,41932.76,41932.76,tp,88.0,1052.79,1.956,108153.11,london,conservative,bearish,42042.76,42022.76,2024-10-31 10:50:00
26,2024-10-31 17:22:00,2024-10-31 17:55:00,short,41910.01,41975.01,41780.01,41780.01,tp,128.0,1064.89,1.969,109218.01,london,conservative,bearish,41950.01,41910.01,2024-10-31 17:10:00
27,2024-10-31 20:33:00,2024-10-31 20:43:00,long,41935.51,41896.26,42014.01,41896.26,sl,-41.25,-573.92,-1.051,108644.09,new_york,conservative,bullish,41935.51,41921.26,2024-10-31 20:05:00
28,2024-10-31 20:49:00,2024-10-31 22:56:00,long,41893.01,41848.51,41982.01,41848.51,sl,-46.5,-567.63,-1.045,108076.46,new_york,conservative,bullish,41893.01,41873.51,2024-10-31 19:45:00
29,2024-10-31 22:44:00,2024-10-31 22:49:00,short,41897.01,41949.01,41793.01,41949.01,sl,-54.0,-564.11,-1.038,107512.34,new_york,conservative,bearish,41924.01,41897.01,2024-10-31 22:35:00
30,2024-11-01 15:33:00,2024-11-01 15:42:00,short,41943.98,41989.23,41853.48,41989.23,sl,-47.25,-561.32,-1.044,106951.02,london,conservative,bearish,41964.23,41943.98,2024-11-01 15:05:00
