trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2025-12-12 14:10:00,2025-12-12 16:30:00,long,48787.28,48750.28,48916.78,48750.28,sl,-39.0,-527.03,-1.054,99472.97,new_york,aggressive,bullish,48787.28,48775.28,2025-12-12 14:10:00
2,2025-12-12 14:11:00,2025-12-12 15:59:00,short,48793.41,48831.23,48661.04000000001,48831.23,sl,-39.82,-526.44,-1.053,98946.53,new_york,aggressive,bearish,48806.23,48793.41,2025-12-12 13:40:00
3,2025-12-12 15:59:00,2025-12-12 16:47:00,short,48829.51,48862.11,48715.41,48862.11,sl,-34.6,-527.88,-1.061,98418.65,new_york,aggressive,bearish,48837.11,48829.51,2025-12-12 11:30:00
4,2025-12-12 16:30:00,2025-12-12 16:46:00,short,48804.23,48841.23,48674.73,48841.23,sl,-39.0,-521.47,-1.054,97897.18,new_york,aggressive,bearish,48816.23,48804.23,2025-12-12 16:10:00
5,2025-12-12 16:47:00,2025-12-12 17:09:00,short,48857.91,48885.61,48760.960000000014,48760.960000000014,tp,94.95,1677.86,3.428,99575.03,new_york,aggressive,bearish,48860.61,48857.91,2025-12-12 11:00:00
6,2025-12-12 17:41:00,2025-12-12 17:52:00,long,48708.11,48682.11,48799.11,48682.11,sl,-28.0,-536.17,-1.077,99038.86,new_york,aggressive,bullish,48708.11,48707.11,2025-12-12 17:40:00
7,2025-12-12 17:55:00,2025-12-15 19:52:00,short,48651.11,48759.11,48273.11,48273.11,tp,376.0,1724.01,3.481,100762.87,new_york,aggressive,bearish,48734.11,48651.11,2025-12-12 17:55:00
8,2025-12-12 18:00:00,2025-12-15 12:14:00,short,48572.41,48678.11,48202.460000000014,48678.11,sl,-107.7,-504.56,-1.019,100258.31,new_york,aggressive,bearish,48653.11,48572.41,2025-12-12 18:00:00
9,2025-12-15 14:10:00,2025-12-15 15:51:00,short,48666.73,48697.23,48559.98,48697.23,sl,-32.5,-524.98,-1.066,99733.33,new_york,aggressive,bearish,48672.23,48666.73,2025-12-15 14:10:00
10,2025-12-15 15:51:00,2025-12-15 16:30:00,long,48688.21,48657.73,48794.889999999985,48657.73,sl,-32.48,-522.2,-1.066,99211.13,new_york,aggressive,bullish,48688.21,48682.73,2025-12-15 15:50:00
11,2025-12-15 16:38:00,2025-12-15 17:03:00,short,48641.21,48696.91,48446.25999999998,48446.25999999998,tp,192.95,1688.52,3.464,100899.65,new_york,aggressive,bearish,48671.91,48641.21,2025-12-15 16:35:00
12,2025-12-15 17:15:00,2025-12-15 17:45:00,short,48421.71,48463.71,48274.71,48463.71,sl,-44.0,-519.49,-1.048,100380.16,new_york,aggressive,bearish,48438.71,48421.71,2025-12-15 17:15:00
13,2025-12-15 18:22:00,2025-12-15 18:34:00,long,48426.78,48401.21,48516.274999999994,48401.21,sl,-27.57,-531.86,-1.078,99848.29,new_york,aggressive,bullish,48426.78,48426.21,2025-12-15 18:20:00
14,2025-12-15 18:35:00,2025-12-16 15:30:00,short,48406.78,48466.78,48196.78,48466.78,sl,-62.0,-506.98,-1.033,99341.32,new_york,aggressive,bearish,48441.78,48406.78,2025-12-15 18:35:00
15,2025-12-15 19:58:00,2025-12-15 20:05:00,short,48328.93,48378.93,48153.93,48378.93,sl,-52.0,-519.21,-1.04,98822.11,new_york,aggressive,bearish,48353.93,48328.93,2025-12-15 19:50:00
16,2025-12-15 20:09:00,2025-12-15 20:23:00,long,48347.93,48321.93,48438.93,48321.93,sl,-28.0,-534.85,-1.077,98287.26,new_york,aggressive,bullish,48347.93,48346.93,2025-12-15 20:05:00
17,2025-12-15 20:29:00,2025-12-15 20:55:00,short,48317.93,48368.93,48139.43,48368.93,sl,-53.0,-513.34,-1.039,97773.92,new_york,aggressive,bearish,48343.93,48317.93,2025-12-15 20:25:00
18,2025-12-15 20:55:00,2025-12-16 03:36:00,long,48354.48,48316.93,48485.90500000001,48316.93,sl,-39.55,-517.58,-1.053,97256.34,new_york,aggressive,bullish,48354.48,48341.93,2025-12-15 20:55:00
19,2025-12-16 13:57:00,2025-12-16 15:31:00,long,48398.31,48368.33,48503.23999999998,48503.23999999998,tp,102.93,1678.25,3.433,98934.59,new_york,aggressive,bullish,48398.31,48393.33,2025-12-16 13:55:00
20,2025-12-16 15:52:00,2025-12-16 16:29:00,long,48382.83,48346.83,48508.83,48346.83,sl,-38.0,-522.15,-1.056,98412.43,new_york,aggressive,bullish,48382.83,48371.83,2025-12-16 13:40:00
21,2025-12-16 16:25:00,2025-12-16 16:30:00,short,48408.01,48435.51,48311.76,48435.51,sl,-29.5,-530.65,-1.073,97881.78,new_york,aggressive,bearish,48410.51,48408.01,2025-12-16 16:25:00
22,2025-12-16 16:29:00,2025-12-16 16:40:00,long,48362.01,48328.71,48478.56000000001,48328.71,sl,-35.3,-521.62,-1.06,97360.17,new_york,aggressive,bullish,48362.01,48353.71,2025-12-16 12:40:00
23,2025-12-16 16:41:00,2025-12-16 16:50:00,long,48295.11,48263.01,48407.45999999999,48407.45999999999,tp,110.35,1673.47,3.438,99033.64,new_york,aggressive,bullish,48295.11,48288.01,2025-12-16 12:05:00
24,2025-12-16 17:20:00,2025-12-16 17:45:00,short,48239.81,48290.31,48063.06,48290.31,sl,-52.5,-514.78,-1.04,98518.86,new_york,aggressive,bearish,48265.31,48239.81,2025-12-16 17:20:00
25,2025-12-16 17:29:00,2025-12-16 17:31:00,short,48204.31,48232.81,48104.56,48232.81,sl,-30.5,-529.92,-1.07,97988.94,new_york,aggressive,bearish,48207.81,48204.31,2025-12-16 17:25:00
26,2025-12-16 19:25:00,2025-12-16 20:03:00,short,48162.88,48223.38,47951.13,47951.13,tp,209.75,1698.61,3.467,99687.55,new_york,aggressive,bearish,48198.38,48162.88,2025-12-16 19:25:00
