trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2025-12-12 14:10:00,2025-12-12 16:30:00,long,48787.28,48750.28,48861.28,48750.28,sl,-39.0,-527.03,-1.054,99472.97,new_york,aggressive,bullish,48787.28,48775.28,2025-12-12 14:10:00
2,2025-12-12 14:15:00,2025-12-12 16:30:00,long,48793.23,48765.28,48849.13000000001,48765.28,sl,-29.95,-535.78,-1.072,98937.19,new_york,aggressive,bullish,48793.23,48790.28,2025-12-12 14:15:00
3,2025-12-12 17:41:00,2025-12-12 17:43:00,long,48708.11,48682.11,48760.11,48760.11,tp,50.0,951.32,1.923,99888.51,new_york,aggressive,bullish,48708.11,48707.11,2025-12-12 17:40:00
4,2025-12-12 19:00:00,2025-12-12 19:06:00,long,48407.41,48377.91,48466.41,48466.41,tp,57.0,965.02,1.932,100853.54,new_york,aggressive,bullish,48407.41,48402.91,2025-12-12 19:00:00
5,2025-12-12 19:05:00,2025-12-12 19:16:00,long,48438.41,48400.41,48514.41,48514.41,tp,74.0,972.6,1.947,101826.14,new_york,aggressive,bullish,48438.41,48425.41,2025-12-12 19:05:00
6,2025-12-12 19:24:00,2025-12-12 19:27:00,long,48518.98,48462.48,48631.98,48462.48,sl,-58.5,-527.15,-1.035,101298.98,new_york,aggressive,bullish,48518.98,48487.48,2025-12-12 19:20:00
7,2025-12-12 19:44:00,2025-12-12 20:12:00,long,48513.48,48475.91,48588.62,48588.62,tp,73.14,986.03,1.947,102285.01,new_york,aggressive,bullish,48513.48,48500.91,2025-12-12 19:40:00
8,2025-12-12 20:15:00,2025-12-12 20:22:00,long,48560.91,48531.48,48619.770000000004,48531.48,sl,-31.43,-546.18,-1.068,101738.83,new_york,aggressive,bullish,48560.91,48556.48,2025-12-12 20:15:00
9,2025-12-12 22:54:00,2025-12-12 23:18:00,long,48440.21,48412.73,48495.16999999999,48495.16999999999,tp,52.96,980.37,1.927,102719.2,new_york,aggressive,bullish,48440.21,48437.73,2025-12-12 22:50:00
10,2025-12-15 14:12:00,2025-12-15 16:10:00,long,48658.11,48630.78,48712.770000000004,48712.770000000004,tp,52.66,989.61,1.927,103708.8,new_york,aggressive,bullish,48658.11,48655.78,2025-12-15 11:55:00
11,2025-12-15 14:27:00,2025-12-15 16:02:00,long,48648.71,48620.73,48704.66999999999,48704.66999999999,tp,53.96,990.48,1.929,104699.28,new_york,aggressive,bullish,48648.71,48645.73,2025-12-15 11:50:00
12,2025-12-15 16:10:00,2025-12-15 16:25:00,long,48709.21,48682.11,48763.409999999996,48682.11,sl,-29.1,-562.13,-1.074,104137.15,new_york,aggressive,bullish,48709.21,48707.11,2025-12-15 16:10:00
13,2025-12-15 16:23:00,2025-12-15 16:30:00,long,48688.21,48657.73,48749.16999999999,48657.73,sl,-32.48,-557.85,-1.066,103579.31,new_york,aggressive,bullish,48688.21,48682.73,2025-12-15 15:50:00
14,2025-12-15 18:22:00,2025-12-15 18:28:00,long,48426.78,48401.21,48477.92,48477.92,tp,49.14,995.28,1.922,104574.59,new_york,aggressive,bullish,48426.78,48426.21,2025-12-15 18:20:00
15,2025-12-15 20:09:00,2025-12-15 20:23:00,long,48347.93,48321.93,48399.93,48321.93,sl,-28.0,-563.09,-1.077,104011.5,new_york,aggressive,bullish,48347.93,48346.93,2025-12-15 20:05:00
