trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2025-12-12 14:11:00,2025-12-12 15:59:00,short,48799.28,48831.23,48687.45499999999,48831.23,sl,-33.95,-531.3,-1.063,99468.7,new_york,conservative,bearish,48806.23,48793.41,2025-12-12 13:40:00
2,2025-12-12 14:31:00,2025-12-12 16:30:00,long,48791.21,48765.28,48881.965,48765.28,sl,-27.93,-538.57,-1.077,98930.14,new_york,conservative,bullish,48793.23,48790.28,2025-12-12 14:15:00
3,2025-12-12 15:59:00,2025-12-12 16:47:00,short,48831.28,48862.11,48723.37499999999,48862.11,sl,-32.83,-529.61,-1.065,98400.53,new_york,conservative,bearish,48837.11,48829.51,2025-12-12 11:30:00
4,2025-12-12 16:31:00,2025-12-12 16:46:00,short,48813.21,48841.23,48715.139999999985,48841.23,sl,-30.02,-529.96,-1.071,97870.57,new_york,conservative,bearish,48816.23,48804.23,2025-12-12 16:10:00
5,2025-12-12 19:51:00,2025-12-12 21:01:00,long,48512.98,48475.91,48642.725000000006,48475.91,sl,-39.07,-515.75,-1.054,97354.82,new_york,conservative,bullish,48513.48,48500.91,2025-12-12 19:40:00
6,2025-12-12 20:12:00,2025-12-15 12:14:00,short,48591.91,48678.11,48290.210000000014,48678.11,sl,-88.2,-500.71,-1.023,96854.11,new_york,conservative,bearish,48653.11,48572.41,2025-12-12 18:00:00
7,2025-12-12 22:32:00,2025-12-12 22:38:00,long,48405.28,48377.91,48501.07499999998,48377.91,sl,-29.37,-522.34,-1.073,96331.77,new_york,conservative,bullish,48407.41,48402.91,2025-12-12 19:00:00
8,2025-12-12 22:46:00,2025-12-12 23:21:00,short,48462.28,48500.23,48329.45499999999,48500.23,sl,-39.95,-509.68,-1.053,95822.09,new_york,conservative,bearish,48475.23,48456.23,2025-12-12 22:30:00
9,2025-12-15 14:16:00,2025-12-15 15:51:00,short,48668.73,48697.23,48568.98,48697.23,sl,-30.5,-512.73,-1.07,95309.36,new_york,conservative,bearish,48672.23,48666.73,2025-12-15 14:10:00
10,2025-12-15 14:23:00,2025-12-15 16:30:00,long,48656.78,48630.78,48747.78,48630.78,sl,-28.0,-515.97,-1.077,94793.39,new_york,conservative,bullish,48658.11,48655.78,2025-12-15 11:55:00
11,2025-12-15 16:00:00,2025-12-15 16:30:00,long,48685.21,48657.73,48781.389999999985,48657.73,sl,-29.48,-511.23,-1.073,94282.16,new_york,conservative,bullish,48688.21,48682.73,2025-12-15 15:50:00
12,2025-12-15 16:42:00,2025-12-15 17:03:00,short,48641.71,48696.91,48448.50999999998,48448.50999999998,tp,191.2,1632.86,3.464,95915.02,new_york,conservative,bearish,48671.91,48641.21,2025-12-15 16:35:00
13,2025-12-15 17:34:00,2025-12-15 17:45:00,short,48422.71,48463.71,48279.21,48463.71,sl,-43.0,-502.97,-1.049,95412.05,new_york,conservative,bearish,48438.71,48421.71,2025-12-15 17:15:00
14,2025-12-15 19:23:00,2025-12-15 19:41:00,short,48352.93,48384.78,48241.455,48384.78,sl,-33.85,-507.02,-1.063,94905.03,new_york,conservative,bearish,48359.78,48342.48,2025-12-15 19:15:00
15,2025-12-15 19:58:00,2025-12-15 20:05:00,short,48332.98,48378.93,48172.15500000001,48378.93,sl,-47.95,-495.18,-1.044,94409.85,new_york,conservative,bearish,48353.93,48328.93,2025-12-15 19:50:00
