trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2025-12-12 14:31:00,2025-12-12 16:30:00,long,48791.21,48765.28,48856.035,48765.28,sl,-27.93,-538.57,-1.077,99461.43,new_york,conservative,bullish,48793.23,48790.28,2025-12-12 14:15:00
2,2025-12-12 14:46:00,2025-12-12 16:30:00,long,48782.21,48750.28,48862.035,48750.28,sl,-33.93,-531.32,-1.063,98930.12,new_york,conservative,bullish,48787.28,48775.28,2025-12-12 14:10:00
3,2025-12-12 19:51:00,2025-12-12 20:17:00,long,48512.98,48475.91,48605.655,48605.655,tp,90.67,1209.94,2.446,100140.06,new_york,conservative,bullish,48513.48,48500.91,2025-12-12 19:40:00
4,2025-12-12 20:12:00,2025-12-12 20:21:00,short,48591.91,48609.71000000001,48547.41,48547.41,tp,42.5,1181.05,2.388,101321.1,new_york,conservative,bearish,48653.11,48572.41,2025-12-12 18:00:00
5,2025-12-12 22:32:00,2025-12-12 22:38:00,long,48405.28,48377.91,48473.70499999999,48377.91,sl,-29.37,-543.62,-1.073,100777.48,new_york,conservative,bullish,48407.41,48402.91,2025-12-12 19:00:00
6,2025-12-12 22:34:00,2025-12-12 22:36:00,long,48427.28,48400.41,48494.45499999999,48400.41,sl,-28.87,-544.31,-1.074,100233.16,new_york,conservative,bullish,48438.41,48425.41,2025-12-12 19:05:00
7,2025-12-12 22:51:00,2025-12-12 23:14:00,short,48471.71,48487.901999999995,48431.23,48487.901999999995,sl,-18.19,-563.07,-1.124,99670.1,new_york,conservative,bearish,48475.23,48456.23,2025-12-12 22:30:00
8,2025-12-15 14:23:00,2025-12-15 16:30:00,long,48656.78,48630.78,48721.78,48630.78,sl,-28.0,-536.69,-1.077,99133.41,new_york,conservative,bullish,48658.11,48655.78,2025-12-15 11:55:00
9,2025-12-15 14:27:00,2025-12-15 16:11:00,long,48648.23,48620.73,48716.98,48716.98,tp,66.75,1209.63,2.427,100343.04,new_york,conservative,bullish,48648.71,48645.73,2025-12-15 11:50:00
10,2025-12-15 16:16:00,2025-12-15 16:25:00,long,48707.73,48682.11,48771.78000000001,48682.11,sl,-27.62,-543.77,-1.078,99799.27,new_york,conservative,bullish,48709.21,48707.11,2025-12-15 16:10:00
11,2025-12-15 19:39:00,2025-12-15 19:40:00,short,48355.93,48371.31,48317.48,48371.31,sl,-17.38,-563.89,-1.13,99235.38,new_york,conservative,bearish,48359.78,48342.48,2025-12-15 19:15:00
12,2025-12-15 19:59:00,2025-12-15 20:03:00,short,48343.93,48359.93,48303.93,48359.93,sl,-18.0,-558.2,-1.125,98677.19,new_york,conservative,bearish,48353.93,48328.93,2025-12-15 19:50:00
13,2025-12-15 20:44:00,2025-12-15 20:50:00,short,48331.93,48347.53,48292.93,48347.53,sl,-17.6,-556.64,-1.128,98120.54,new_york,conservative,bearish,48343.93,48317.93,2025-12-15 20:25:00
