trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1,2025-07-01 09:08:00,2025-07-01 10:16:00,long,3327.78,3322.76,3337.82,3337.82,tp,7.04,70.12,1.402,10070.12,asia,conservative,bullish,3327.78,3325.76,2025-07-01 08:20:00
2,2025-07-01 16:38:00,2025-07-01 18:54:00,short,3349.82,3355.31,3338.8400000000006,3338.8400000000006,tp,7.98,73.19,1.454,10143.31,london,conservative,bearish,3352.31,3349.82,2025-07-01 16:15:00
3,2025-07-01 19:52:00,2025-07-02 03:03:00,long,3341.38,3335.72,3352.7000000000007,3335.72,sl,-8.66,-77.6,-1.53,10065.71,new_york,conservative,bullish,3341.38,3338.72,2025-07-01 19:40:00
4,2025-07-02 03:19:00,2025-07-02 04:13:00,long,3340.77,3335.56,3351.19,3335.56,sl,-8.21,-79.31,-1.576,9986.4,asia,conservative,bullish,3340.77,3338.56,2025-07-02 03:15:00
5,2025-07-02 11:10:00,2025-07-02 15:50:00,long,3335.31,3327.6,3350.73,3350.73,tp,12.42,80.44,1.611,10066.84,london,conservative,bullish,3335.31,3330.6,2025-07-02 10:55:00
6,2025-07-02 15:50:00,2025-07-02 16:47:00,long,3346.77,3338.06,3364.19,3338.06,sl,-11.71,-67.67,-1.344,9999.16,london,conservative,bullish,3346.77,3341.06,2025-07-02 15:25:00
7,2025-07-02 19:10:00,2025-07-02 21:16:00,short,3346.71,3351.84,3336.45,3351.84,sl,-8.13,-79.23,-1.585,9919.93,new_york,conservative,bearish,3348.84,3346.71,2025-07-02 16:05:00
8,2025-07-03 03:12:00,2025-07-03 08:08:00,short,3346.08,3351.92,3334.3999999999996,3351.92,sl,-8.84,-75.08,-1.514,9844.85,asia,conservative,bearish,3348.92,3346.08,2025-07-03 03:10:00
9,2025-07-03 08:16:00,2025-07-03 08:53:00,short,3352.98,3358.33,3342.28,3358.33,sl,-8.35,-76.83,-1.561,9768.03,asia,conservative,bearish,3355.33,3352.98,2025-07-03 02:25:00
10,2025-07-03 09:43:00,2025-07-03 11:21:00,long,3357.46,3351.87,3368.6400000000003,3351.87,sl,-8.59,-75.05,-1.537,9692.97,asia,conservative,bullish,3357.46,3354.87,2025-07-03 09:00:00
