trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,orh,orl,or_range,pnl_fixed,month,date
1,2024-10-29 17:00:00,2024-10-29 23:00:00,long,42380.59,42175.84,42790.09,42270.24,end_of_session,-26.95,-0.539,9973.05,42355.59,42185.84,169.8,-26.950000000000003,2024-10,2024-10-29
2,2024-10-30 17:00:00,2024-10-30 23:00:00,long,42415.55,42148.3,42950.05,42197.8,end_of_session,-40.74,-0.815,9932.31,42385.55,42158.3,227.2,-40.75,2024-10,2024-10-30
3,2024-10-31 17:25:00,2024-10-31 23:00:00,short,41847.01,42012.01,41517.01,41776.26,end_of_session,21.44,0.429,9953.75,42002.01,41859.51,142.5,21.45,2024-10,2024-10-31
4,2024-11-01 17:05:00,2024-11-01 23:00:00,long,42164.98,41923.23,42648.48,42037.98,end_of_session,-26.27,-0.525,9927.48,42116.48,41933.23,183.2,-26.25,2024-11,2024-11-01
5,2024-11-04 18:25:00,2024-11-04 23:00:00,short,41860.64,42052.14,41477.64,41821.64,end_of_session,10.18,0.204,9937.66,42042.14,41867.64,174.5,10.2,2024-11,2024-11-04
6,2024-11-05 17:00:00,2024-11-05 23:00:00,long,42070.65,41772.9,42666.15,42247.15,end_of_session,29.64,0.593,9967.3,42026.9,41782.9,244.0,29.65,2024-11,2024-11-05
7,2024-11-06 17:20:00,2024-11-06 23:00:00,long,43639.65,43396.65,44125.65,43770.65,end_of_session,26.95,0.539,9994.25,43608.65,43406.65,202.0,26.950000000000003,2024-11,2024-11-06
8,2024-11-08 17:10:00,2024-11-08 23:00:00,long,43932.94,43751.44,44295.94,44032.94,end_of_session,27.55,0.551,10021.8,43922.19,43761.44,160.8,27.55,2024-11,2024-11-08
9,2024-11-12 17:00:00,2024-11-12 20:00:00,short,44290.93,44461.18,43950.43,43950.43,tp,100.0,2.0,10121.8,44451.18,44322.43,128.8,100.0,2024-11,2024-11-12
10,2024-11-13 17:00:00,2024-11-13 17:45:00,short,43937.92,44070.42,43672.92,44072.42,sl,-50.75,-1.015,10071.05,44060.42,43960.42,100.0,-50.74999999999999,2024-11,2024-11-13
11,2024-11-14 17:15:00,2024-11-14 23:00:00,short,43900.64,44134.64,43432.64,43806.64,end_of_session,20.09,0.402,10091.14,44124.64,43941.64,183.0,20.1,2024-11,2024-11-14
12,2024-11-15 17:00:00,2024-11-15 23:00:00,short,43506.23,43688.98,43140.73,43474.23,end_of_session,8.76,0.175,10099.9,43678.98,43545.23,133.8,8.75,2024-11,2024-11-15
13,2024-11-18 17:20:00,2024-11-18 17:45:00,short,43346.22,43471.22,43096.22,43473.22,sl,-50.8,-1.016,10049.1,43461.22,43360.97,100.2,-50.8,2024-11,2024-11-18
14,2024-11-19 17:25:00,2024-11-19 23:00:00,long,43132.45,42956.45,43484.45,43297.45,end_of_session,46.88,0.938,10095.98,43113.2,42966.45,146.8,46.9,2024-11,2024-11-19
15,2024-11-20 17:05:00,2024-11-20 22:30:00,short,43147.17,43388.92,42663.67,43390.92,sl,-50.41,-1.008,10045.57,43378.92,43204.67,174.2,-50.4,2024-11,2024-11-20
16,2024-11-21 17:10:00,2024-11-21 23:00:00,long,43609.79,43341.79,44145.79,43890.04,end_of_session,52.29,1.046,10097.86,43595.54,43351.79,243.8,52.300000000000004,2024-11,2024-11-21
17,2024-11-22 19:10:00,2024-11-22 23:00:00,long,44241.02,43908.02,44907.02,44301.02,end_of_session,9.01,0.18,10106.87,44222.02,43918.02,304.0,9.0,2024-11,2024-11-22
18,2024-11-25 18:35:00,2024-11-25 23:00:00,short,44630.54,44856.79,44178.04,44755.79,end_of_session,-27.68,-0.554,10079.19,44846.79,44655.54,191.2,-27.700000000000003,2024-11,2024-11-25
19,2024-11-26 17:00:00,2024-11-26 19:40:00,short,44518.39,44693.39,44168.39,44695.39,sl,-50.57,-1.011,10028.62,44683.39,44551.39,132.0,-50.55,2024-11,2024-11-26
20,2024-11-27 18:20:00,2024-11-27 23:00:00,short,44882.77,45052.77,44542.77,44749.92,end_of_session,39.07,0.781,10067.69,45042.77,44897.77,145.0,39.050000000000004,2024-11,2024-11-27
21,2024-11-29 17:45:00,2024-12-02 01:00:00,long,44933.0,44781.5,45236.0,44974.51,end_of_session,13.7,0.274,10081.39,44927.25,44791.5,135.8,13.700000000000001,2024-12,2024-12-02
22,2024-12-02 17:00:00,2024-12-02 23:00:00,short,44754.36,45066.11,44130.86,44823.61,end_of_session,-11.11,-0.222,10070.28,45056.11,44774.36,281.8,-11.1,2024-12,2024-12-02
23,2024-12-03 17:30:00,2024-12-03 23:00:00,short,44656.56,44921.31,44127.06,44734.31,end_of_session,-14.68,-0.294,10055.6,44911.31,44685.56,225.8,-14.7,2024-12,2024-12-03
24,2024-12-04 17:05:00,2024-12-04 22:10:00,short,44906.71,45061.96,44596.21,45063.96,sl,-50.64,-1.013,10004.96,45051.96,44925.21,126.8,-50.64999999999999,2024-12,2024-12-04
25,2024-12-05 17:35:00,2024-12-05 23:00:00,short,44909.87,45094.62,44540.37,44812.02,end_of_session,26.48,0.53,10031.44,45084.62,44945.37,139.2,26.5,2024-12,2024-12-05
26,2024-12-06 17:00:00,2024-12-06 23:00:00,short,44819.15,44936.65,44584.15,44643.8,end_of_session,74.62,1.492,10106.06,44926.65,44829.15,97.5,74.6,2024-12,2024-12-06
27,2024-12-09 17:40:00,2024-12-09 23:00:00,short,44605.21,44768.21,44279.21,44430.21,end_of_session,53.68,1.074,10159.74,44758.21,44639.21,119.0,53.7,2024-12,2024-12-09
28,2024-12-10 17:30:00,2024-12-10 23:00:00,long,44420.94,44201.94,44858.94,44289.09,end_of_session,-30.1,-0.602,10129.64,44378.44,44211.94,166.5,-30.099999999999998,2024-12,2024-12-10
29,2024-12-11 17:00:00,2024-12-11 23:00:00,short,44203.11,44405.86,43797.61,44176.11,end_of_session,6.66,0.133,10136.3,44395.86,44208.11,187.8,6.65,2024-12,2024-12-11
