trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-16 17:50:00,2025-12-16 18:37:00,long,48232.81,48125.31,48501.56,48125.31,sl,-109.5,-509.3,-1.019,99490.7,new_york,48233.81,48145.31,2025-12-16 17:45:00
2,2025-12-18 15:07:00,2025-12-18 15:26:00,long,47956.81,47929.13,48026.009999999995,48026.009999999995,tp,67.2,1207.69,2.428,100698.39,new_york,47963.18,47949.13,2025-12-18 13:10:00
3,2025-12-18 16:23:00,2025-12-18 16:31:00,long,48128.81,48075.81,48261.31,48261.31,tp,130.5,1239.73,2.462,101938.12,new_york,48131.81,48095.81,2025-12-18 16:20:00
4,2025-12-22 14:45:00,2025-12-22 16:05:00,long,48150.03,48119.03,48227.53,48227.53,tp,75.5,1241.34,2.435,103179.46,new_york,48153.03,48139.03,2025-12-22 14:40:00
5,2025-12-24 16:31:00,2025-12-24 16:47:00,short,48496.71,48525.981999999996,48423.53,48525.981999999996,sl,-31.27,-551.15,-1.068,102628.32,new_york,48454.03,48443.53,2025-12-24 16:30:00
6,2025-12-30 15:29:00,2025-12-30 16:30:00,long,48460.61,48434.81,48525.11000000001,48434.81,sl,-27.8,-552.92,-1.078,102075.4,new_york,48460.7,48454.81,2025-12-30 15:25:00
7,2025-12-31 15:08:00,2025-12-31 16:28:00,long,48333.8,48311.3,48390.05,48390.05,tp,54.25,1230.58,2.411,103305.97,new_york,48336.3,48331.3,2025-12-31 15:05:00
8,2025-12-31 17:35:00,2025-12-31 17:50:00,long,48228.35,48187.35,48330.85,48187.35,sl,-43.0,-541.73,-1.049,102764.24,new_york,48246.3,48207.35,2025-12-31 17:35:00
9,2026-01-05 14:24:00,2026-01-05 14:45:00,long,48391.4,48358.21,48474.37500000001,48358.21,sl,-35.19,-544.78,-1.06,102219.46,new_york,48397.31,48378.21,2026-01-05 08:50:00
10,2026-01-05 14:30:00,2026-01-05 15:07:00,long,48364.31,48341.31,48421.81,48341.31,sl,-25.0,-558.5,-1.087,101660.96,new_york,48366.81,48361.31,2026-01-05 06:50:00
11,2026-01-06 16:24:00,2026-01-06 16:33:00,long,48910.01,48874.2,48999.53500000002,48999.53500000002,tp,87.53,1242.37,2.444,102903.33,new_york,48911.2,48894.2,2026-01-06 14:55:00
