trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-15 15:08:00,2025-12-15 16:05:00,short,48663.23,48711.71,48542.03000000001,48711.71,sl,-50.48,-520.63,-1.041,99479.37,new_york,48691.71,48663.23,2025-12-15 15:05:00
2,2025-12-16 17:51:00,2025-12-16 18:37:00,long,48233.81,48125.31,48505.06,48125.31,sl,-110.5,-506.57,-1.018,98972.81,new_york,48233.81,48145.31,2025-12-16 17:45:00
3,2025-12-18 15:03:00,2025-12-18 15:16:00,short,47977.91,48006.01,47907.66,48006.01,sl,-30.1,-530.09,-1.071,98442.72,new_york,47986.01,47977.91,2025-12-18 15:00:00
4,2025-12-18 15:08:00,2025-12-18 15:30:00,long,47963.18,47929.13,48048.30500000001,48048.30500000001,tp,83.13,1208.09,2.441,99650.81,new_york,47963.18,47949.13,2025-12-18 13:10:00
5,2025-12-18 16:24:00,2025-12-18 16:31:00,long,48131.81,48075.81,48271.81,48271.81,tp,138.0,1227.84,2.464,100878.66,new_york,48131.81,48095.81,2025-12-18 16:20:00
6,2025-12-22 14:46:00,2025-12-22 16:30:00,long,48153.03,48119.03,48238.03,48238.03,tp,83.0,1231.31,2.441,102109.97,new_york,48153.03,48139.03,2025-12-22 14:40:00
7,2025-12-24 19:59:00,2025-12-26 18:50:00,short,48738.03,48788.03,48613.03,48613.03,tp,123.0,1255.95,2.46,103365.92,new_york,48768.03,48738.03,2025-12-24 19:55:00
8,2025-12-26 19:20:00,2025-12-26 22:32:00,short,48621.73,48665.73,48511.73,48665.73,sl,-46.0,-540.32,-1.045,102825.6,new_york,48645.73,48621.73,2025-12-26 19:15:00
9,2025-12-30 14:11:00,2025-12-30 16:32:00,short,48480.2,48509.7,48406.45,48406.45,tp,71.75,1250.46,2.432,104076.06,new_york,48489.7,48480.2,2025-12-30 11:25:00
10,2025-12-30 16:28:00,2025-12-30 16:32:00,short,48473.61,48498.61,48411.11,48411.11,tp,60.5,1244.19,2.42,105320.25,new_york,48478.61,48473.61,2025-12-30 15:05:00
11,2025-12-31 15:14:00,2025-12-31 16:33:00,long,48336.3,48311.3,48398.8,48311.3,sl,-27.0,-568.73,-1.08,104751.52,new_york,48336.3,48331.3,2025-12-31 15:05:00
12,2025-12-31 17:36:00,2025-12-31 17:50:00,long,48246.3,48187.35,48393.67500000002,48187.35,sl,-60.95,-541.53,-1.034,104210.0,new_york,48246.3,48207.35,2025-12-31 17:35:00
13,2026-01-02 14:16:00,2026-01-02 15:50:00,short,48268.5,48299.0,48192.25,48192.25,tp,74.25,1268.46,2.434,105478.45,new_york,48279.0,48268.5,2026-01-02 14:10:00
14,2026-01-05 14:33:00,2026-01-05 15:07:00,long,48366.81,48341.31,48430.56,48341.31,sl,-27.5,-568.76,-1.078,104909.7,new_york,48366.81,48361.31,2026-01-05 06:50:00
15,2026-01-06 16:25:00,2026-01-06 16:37:00,long,48911.2,48874.2,49003.7,49003.7,tp,90.5,1283.02,2.446,106192.71,new_york,48911.2,48894.2,2026-01-06 14:55:00
16,2026-01-08 14:52:00,2026-01-08 15:30:00,short,48820.7,48854.7,48735.7,48854.7,sl,-36.0,-562.2,-1.059,105630.52,new_york,48834.7,48820.7,2026-01-08 14:45:00
17,2026-01-09 14:02:00,2026-01-09 15:01:00,short,49272.3,49308.3,49182.3,49308.3,sl,-38.0,-557.49,-1.056,105073.02,new_york,49288.3,49272.3,2026-01-09 12:50:00
18,2026-01-09 14:12:00,2026-01-09 15:12:00,long,49262.35,49239.3,49319.97499999999,49319.97499999999,tp,55.62,1274.55,2.413,106347.58,new_york,49262.35,49259.3,2026-01-09 13:35:00
19,2026-01-09 16:36:00,2026-01-09 16:43:00,short,49416.11,49450.11,49331.11,49331.11,tp,83.0,1298.07,2.441,107645.64,new_york,49430.11,49416.11,2026-01-09 16:15:00
20,2026-01-12 13:47:00,2026-01-12 14:50:00,short,49138.85,49182.81,49028.95,49182.81,sl,-45.96,-562.72,-1.045,107082.93,new_york,49162.81,49138.85,2026-01-12 12:15:00
21,2026-01-12 16:42:00,2026-01-12 16:53:00,short,49273.85,49312.71,49176.7,49312.71,sl,-40.86,-562.97,-1.051,106519.96,new_york,49292.71,49273.85,2026-01-12 10:25:00
22,2026-01-13 16:11:00,2026-01-13 16:32:00,long,49592.41,49497.91,49828.66,49497.91,sl,-96.5,-543.87,-1.021,105976.09,new_york,49592.41,49517.91,2026-01-13 16:10:00
