trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,risk_pts,reward_pts,rr_ratio
4,2025-12-18 15:07:00,2025-12-18 15:26:00,long,47956.81,47929.13,48026.009999999995,48026.009999999995,tp,67.2,1201.38,2.428,99612.29,new_york,47963.18,47949.13,2025-12-18 13:10:00,27.68000000000029,69.19999999999709,2.4999999999998685
5,2025-12-18 16:23:00,2025-12-18 16:31:00,long,48128.81,48075.81,48261.31,48261.31,tp,130.5,1226.36,2.462,100838.65,new_york,48131.81,48095.81,2025-12-18 16:20:00,53.0,132.5,2.5
6,2025-12-22 14:45:00,2025-12-22 16:05:00,long,48150.03,48119.03,48227.53,48227.53,tp,75.5,1227.95,2.435,102066.6,new_york,48153.03,48139.03,2025-12-22 14:40:00,31.0,77.5,2.5
7,2025-12-24 16:31:00,2025-12-24 16:32:00,short,48496.71,48474.03,48553.41,48474.03,sl,20.68,465.33,0.912,102531.93,new_york,48454.03,48443.53,2025-12-24 16:30:00,22.68000000000029,22.68000000000029,1.0
8,2025-12-24 19:58:00,2025-12-26 13:41:00,short,48745.03,48788.03,48637.53,48637.53,tp,105.5,1257.8,2.453,103789.74,new_york,48768.03,48738.03,2025-12-24 19:55:00,43.0,107.5,2.5
10,2025-12-30 14:10:00,2025-12-30 16:32:00,short,48481.7,48509.7,48411.7,48411.7,tp,68.0,1253.68,2.429,104497.86,new_york,48489.7,48480.2,2025-12-30 11:25:00,28.0,70.0,2.5
12,2025-12-31 15:08:00,2025-12-31 16:28:00,long,48333.8,48311.3,48390.05,48390.05,tp,54.25,1253.07,2.411,105194.69,new_york,48336.3,48331.3,2025-12-31 15:05:00,22.5,56.25,2.5
14,2026-01-02 14:15:00,2026-01-02 15:50:00,short,48269.81,48299.0,48196.83499999999,48196.83499999999,tp,70.98,1272.19,2.431,105915.25,new_york,48279.0,48268.5,2026-01-02 14:10:00,29.19000000000233,72.97500000000582,2.5
17,2026-01-06 16:24:00,2026-01-06 16:33:00,long,48910.01,48874.2,48999.53500000002,48999.53500000002,tp,87.53,1280.47,2.444,106058.6,new_york,48911.2,48894.2,2026-01-06 14:55:00,35.81000000000495,89.52500000001601,2.5000000000001017
19,2026-01-08 16:31:00,2026-01-08 16:32:00,short,48934.7,48919.61,48972.42499999999,48919.61,sl,13.09,457.57,0.867,105954.22,new_york,48899.61,48880.65,2026-01-08 11:25:00,15.089999999996508,15.089999999996508,1.0
21,2026-01-09 14:11:00,2026-01-09 15:12:00,long,49262.3,49239.3,49319.8,49319.8,tp,55.5,1278.36,2.413,106672.97,new_york,49262.35,49259.3,2026-01-09 13:35:00,23.0,57.5,2.5
26,2026-01-12 16:41:00,2026-01-12 16:46:00,short,49291.7,49312.71,49239.17499999999,49239.17499999999,tp,50.53,1255.21,2.405,105646.91,new_york,49292.71,49273.85,2026-01-12 10:25:00,21.010000000002037,52.52500000000873,2.500000000000173
30,2026-01-14 19:15:00,2026-01-14 22:32:00,long,48917.95,48835.95,49122.95,49122.95,tp,203.0,1287.19,2.476,105276.96,new_york,48917.95,48855.95,2026-01-14 19:15:00,82.0,205.0,2.5
32,2026-01-16 19:15:00,2026-01-16 20:05:00,long,49394.15,49370.6,49453.02500000001,49453.02500000001,tp,56.88,1264.69,2.415,105997.46,new_york,49408.1,49390.6,2026-01-16 18:40:00,23.55000000000291,58.875000000007276,2.5
34,2026-01-20 15:17:00,2026-01-20 15:34:00,short,48747.21,48791.71,48635.96,48635.96,tp,109.25,1294.39,2.455,106741.06,new_york,48771.71,48743.71,2026-01-20 15:10:00,44.5,111.25,2.5
37,2026-01-22 15:31:00,2026-01-22 16:18:00,long,49249.41,49211.91,49343.16,49343.16,tp,91.75,1292.29,2.447,106929.16,new_york,49251.51,49231.91,2026-01-22 15:30:00,37.5,93.75,2.5
38,2026-01-22 18:56:00,2026-01-22 19:31:00,long,49492.55,49459.05,49576.3,49576.3,tp,81.75,1304.7,2.44,108233.86,new_york,49493.05,49479.05,2026-01-22 18:50:00,33.5,83.75,2.5
39,2026-01-23 14:43:00,2026-01-23 15:26:00,short,49277.25,49314.71,49183.600000000006,49183.600000000006,tp,91.65,1324.03,2.447,109557.89,new_york,49294.71,49277.01,2026-01-23 14:30:00,37.45999999999913,93.64999999999418,2.4999999999999027
41,2026-01-23 17:25:00,2026-01-23 19:56:00,short,49141.7,49198.51,48999.67499999999,48999.67499999999,tp,140.03,1350.19,2.465,110344.84,new_york,49178.51,49141.51,2026-01-23 16:50:00,56.81000000000495,142.02500000000873,2.499999999999936
46,2026-01-29 16:48:00,2026-01-29 16:55:00,long,49002.7,48965.51,49095.67499999999,49095.67499999999,tp,90.97,1321.89,2.446,109398.08,new_york,49016.51,48985.51,2026-01-29 13:25:00,37.18999999999505,92.97499999999127,2.5000000000000977
47,2026-02-04 16:23:00,2026-02-04 16:27:00,long,49297.21,49277.21,49347.21,49347.21,tp,48.0,1312.78,2.4,110710.86,new_york,49319.21,49297.21,2026-02-04 12:05:00,20.0,50.0,2.5
50,2026-02-06 17:50:00,2026-02-06 18:03:00,long,49679.1,49624.6,49815.35,49815.35,tp,134.25,1349.28,2.463,110899.78,new_york,49712.6,49644.6,2026-02-06 17:45:00,54.5,136.25,2.5
53,2026-02-10 13:45:00,2026-02-10 14:41:00,short,50154.5,50184.5,50079.5,50079.5,tp,73.0,1335.26,2.433,111082.53,new_york,50164.5,50148.5,2026-02-10 13:45:00,30.0,75.0,2.5
56,2026-02-11 15:15:00,2026-02-11 15:30:00,long,50241.4,50196.31,50354.125000000015,50354.125000000015,tp,110.73,1349.41,2.456,111251.76,new_york,50242.71,50216.31,2026-02-11 15:15:00,45.09000000000378,112.7250000000131,2.500000000000081
58,2026-02-13 14:55:00,2026-02-13 15:14:00,short,49375.81,49411.81,49285.81,49285.81,tp,88.0,1352.53,2.444,112013.81,new_york,49391.81,49374.31,2026-02-13 12:45:00,36.0,90.0,2.5
59,2026-02-16 13:45:00,2026-02-16 16:14:00,short,49713.55,49737.6,49653.42500000002,49653.42500000002,tp,58.12,1353.6,2.417,113367.41,new_york,49717.6,49692.1,2026-02-16 13:05:00,24.049999999995634,60.12499999998545,2.4999999999998486
60,2026-02-17 15:51:00,2026-02-17 15:56:00,short,49501.81,49530.41,49430.30999999998,49430.30999999998,tp,69.5,1377.45,2.43,114744.86,new_york,49510.41,49494.31,2026-02-17 12:15:00,28.60000000000582,71.50000000001455,2.5
61,2026-02-17 15:52:00,2026-02-17 15:54:00,short,49496.81,49512.31,49458.06,49458.06,tp,36.75,1343.95,2.371,116088.81,new_york,49492.31,49457.31,2026-02-17 14:30:00,15.5,38.75,2.5
69,2026-02-25 14:31:00,2026-02-25 16:00:00,long,49314.65,49291.41,49372.75,49372.75,tp,56.1,1350.97,2.414,113281.24,new_york,49320.11,49311.41,2026-02-25 14:25:00,23.239999999997963,58.099999999998545,2.5000000000001563
70,2026-02-25 16:40:00,2026-02-25 16:42:00,short,49402.6,49425.91,49344.32499999998,49344.32499999998,tp,56.28,1367.42,2.414,114648.66,new_york,49405.91,49388.41,2026-02-25 16:30:00,23.310000000004948,58.27500000001601,2.500000000000156
