trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2024-11-01 10:10:00,2024-11-01 16:30:00,long,41802.38,41738.38,42026.38,42026.38,tp,222.0,1734.38,3.469,101734.38,london,41802.38,41773.38,2024-11-01 09:00:00
2,2024-11-04 16:45:00,2024-11-04 18:25:00,long,41943.29,41867.29,42209.29,41867.29,sl,-78.0,-522.06,-1.026,101212.32,new_york,41943.29,41902.29,2024-11-04 07:00:00
3,2024-11-05 14:40:00,2024-11-05 16:30:00,long,41830.8,41787.8,41981.3,41787.8,sl,-45.0,-529.6,-1.047,100682.72,new_york,41830.8,41822.8,2024-11-05 11:00:00
4,2024-11-05 17:15:00,2024-11-05 17:35:00,short,42078.39,42169.39,41759.89,42169.39,sl,-93.0,-514.48,-1.022,100168.24,new_york,42134.39,42078.39,2024-11-04 17:00:00
5,2024-11-14 19:35:00,2024-11-14 20:55:00,long,43888.17,43790.17,44231.17,43790.17,sl,-100.0,-511.06,-1.02,99657.18,new_york,43888.17,43825.17,2024-11-13 18:00:00
6,2024-11-20 08:25:00,2024-11-20 16:40:00,long,43416.45,43206.45,44151.45,43206.45,sl,-212.0,-503.03,-1.01,99154.15,london,43416.45,43241.45,2024-11-20 03:00:00
8,2024-11-21 09:35:00,2024-11-21 11:25:00,long,43371.44,43306.44,43598.94,43306.44,sl,-67.0,-511.03,-1.031,98643.12,london,43371.44,43341.44,2024-11-21 08:00:00
9,2024-11-21 14:45:00,2024-11-21 17:55:00,short,43619.98,43711.48,43299.73,43711.48,sl,-93.5,-504.0,-1.022,98139.12,new_york,43676.48,43619.98,2024-11-15 19:00:00
7,2024-11-20 16:40:00,2024-11-25 01:00:00,long,43250.45,42893.7,44499.075,44499.075,tp,1246.62,1732.42,3.494,99871.54,new_york,43250.45,42928.7,2024-11-19 20:00:00
10,2024-11-25 19:30:00,2024-11-25 20:45:00,long,44575.54,44531.54,44729.54,44729.54,tp,152.0,1725.05,3.455,101596.6,new_york,44575.54,44566.54,2024-11-25 15:00:00
