trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2024-11-01 18:00:00,2024-11-06 02:00:00,short,42197.3,42537.55,41006.425,42537.55,sl,-342.25,-502.94,-1.006,99497.06,new_york,42487.55,42197.3,2024-10-31 12:00:00
2,2024-12-05 19:00:00,2024-12-05 23:00:00,long,44931.46,44756.96,45542.21,44756.96,sl,-176.5,-503.19,-1.011,98993.87,new_york,44931.46,44806.96,2024-12-05 08:00:00
4,2024-12-13 20:00:00,2024-12-17 01:00:00,long,43867.67,43679.77,44525.32000000001,43679.77,sl,-189.9,-500.24,-1.011,98493.64,new_york,43867.67,43729.77,2024-11-25 04:00:00
3,2024-12-11 16:00:00,2024-12-17 09:00:00,short,44343.19,44552.44,43610.815,43610.815,tp,730.38,1727.66,3.49,100221.3,new_york,44502.44,44343.19,2024-12-11 12:00:00
5,2025-01-02 16:00:00,2025-01-06 18:00:00,short,42714.54,43028.54,41615.54,43028.54,sl,-316.0,-504.3,-1.006,99717.0,new_york,42978.54,42714.54,2024-12-30 16:00:00
6,2025-01-07 17:00:00,2025-01-10 17:00:00,short,42709.41,42942.41,41893.91,41893.91,tp,813.5,1740.77,3.491,101457.77,new_york,42892.41,42709.41,2025-01-07 08:00:00
7,2025-01-16 10:00:00,2025-01-17 16:00:00,short,43202.32,43350.32,42684.32,43350.32,sl,-150.0,-514.14,-1.014,100943.62,london,43300.32,43202.32,2024-12-27 16:00:00
8,2025-01-31 18:00:00,2025-01-31 21:00:00,long,44840.02,44514.52,45979.27,44514.52,sl,-327.5,-507.82,-1.006,100435.8,new_york,44840.02,44564.52,2025-01-31 08:00:00
9,2025-02-06 09:00:00,2025-02-07 17:00:00,short,44911.26,45064.36,44375.41,44375.41,tp,533.85,1751.07,3.487,102186.87,london,45014.36,44911.26,2025-02-03 04:00:00
10,2025-02-07 19:00:00,2025-02-07 20:00:00,long,44391.68,44314.28,44662.58,44314.28,sl,-79.4,-524.14,-1.026,101662.73,new_york,44391.68,44364.28,2025-02-06 04:00:00
11,2025-02-18 12:00:00,2025-02-18 16:00:00,long,44559.4,44450.9,44939.15,44450.9,sl,-110.5,-517.68,-1.018,101145.05,london,44559.4,44500.9,2025-02-18 00:00:00
12,2025-02-20 13:00:00,2025-02-20 17:00:00,short,44562.8,44646.8,44268.8,44268.8,tp,292.0,1758.0,3.476,102903.05,london,44596.8,44562.8,2025-02-19 20:00:00
13,2025-02-27 18:00:00,2025-02-27 21:00:00,short,43718.4,43808.4,43403.4,43403.4,tp,313.0,1789.37,3.478,104692.42,new_york,43758.4,43718.4,2025-02-27 04:00:00
