trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-15 15:05:00,2025-12-15 16:51:00,short,48667.23,48731.71,48506.03000000001,48506.03000000001,tp,159.2,1234.49,2.469,101234.49,new_york,48691.71,48663.23,2025-12-15 15:05:00
2,2025-12-16 16:41:00,2025-12-16 16:47:00,long,48284.81,48255.11,48359.05999999999,48359.05999999999,tp,72.25,1231.35,2.433,102465.84,new_york,48306.51,48295.11,2025-12-16 12:30:00
3,2025-12-16 17:50:00,2025-12-16 19:27:00,long,48232.81,48105.31,48551.56,48105.31,sl,-129.5,-520.37,-1.016,101945.47,new_york,48233.81,48145.31,2025-12-16 17:45:00
4,2025-12-18 15:01:00,2025-12-18 15:26:00,short,47990.81,48026.01,47902.80999999998,48026.01,sl,-37.2,-538.69,-1.057,101406.78,new_york,47986.01,47977.91,2025-12-18 15:00:00
5,2025-12-18 15:07:00,2025-12-18 15:30:00,long,47956.81,47909.13,48076.009999999995,48076.009999999995,tp,117.2,1252.94,2.458,102659.72,new_york,47963.18,47949.13,2025-12-18 13:10:00
6,2025-12-18 16:23:00,2025-12-18 16:31:00,long,48128.81,48055.81,48311.31,48311.31,tp,180.5,1269.18,2.473,103928.9,new_york,48131.81,48095.81,2025-12-18 16:20:00
7,2025-12-22 14:45:00,2025-12-22 16:30:00,long,48150.03,48099.03,48277.53,48277.53,tp,125.5,1278.73,2.461,105207.64,new_york,48153.03,48139.03,2025-12-22 14:40:00
8,2025-12-24 16:33:00,2025-12-24 16:41:00,short,48473.71,48494.03,48422.91,48494.03,sl,-22.32,-577.81,-1.098,104629.82,new_york,48454.03,48443.53,2025-12-24 16:30:00
9,2025-12-26 19:18:00,2025-12-26 22:40:00,short,48626.73,48685.73,48479.23,48685.73,sl,-61.0,-540.88,-1.034,104088.94,new_york,48645.73,48621.73,2025-12-26 19:15:00
10,2025-12-30 14:10:00,2025-12-30 16:33:00,short,48481.7,48529.7,48361.7,48361.7,tp,118.0,1279.43,2.458,105368.37,new_york,48489.7,48480.2,2025-12-30 11:25:00
11,2025-12-30 15:29:00,2025-12-30 16:31:00,long,48460.61,48414.81,48575.11000000001,48414.81,sl,-47.8,-543.17,-1.044,104825.19,new_york,48460.7,48454.81,2025-12-30 15:25:00
12,2025-12-31 15:08:00,2025-12-31 16:35:00,long,48333.8,48291.3,48440.05,48291.3,sl,-44.5,-548.79,-1.047,104276.4,new_york,48336.3,48331.3,2025-12-31 15:05:00
13,2025-12-31 17:35:00,2025-12-31 17:59:00,long,48228.35,48167.35,48380.85,48167.35,sl,-63.0,-538.48,-1.033,103737.93,new_york,48246.3,48207.35,2025-12-31 17:35:00
14,2026-01-02 14:15:00,2026-01-02 16:30:00,short,48269.81,48319.0,48146.83499999999,48146.83499999999,tp,120.98,1275.63,2.459,105013.56,new_york,48279.0,48268.5,2026-01-02 14:10:00
15,2026-01-05 14:24:00,2026-01-05 15:07:00,long,48391.4,48338.21,48524.37500000001,48338.21,sl,-55.19,-544.81,-1.038,104468.75,new_york,48397.31,48378.21,2026-01-05 08:50:00
16,2026-01-05 14:30:00,2026-01-05 15:22:00,long,48364.31,48321.31,48471.81,48321.31,sl,-45.0,-549.49,-1.047,103919.26,new_york,48366.81,48361.31,2026-01-05 06:50:00
17,2026-01-06 16:24:00,2026-01-06 16:40:00,long,48910.01,48854.2,49049.53500000002,49049.53500000002,tp,137.53,1280.37,2.464,105199.63,new_york,48911.2,48894.2,2026-01-06 14:55:00
18,2026-01-08 14:51:00,2026-01-08 16:30:00,short,48821.2,48874.7,48687.45,48874.7,sl,-55.5,-545.66,-1.037,104653.97,new_york,48834.7,48820.7,2026-01-08 14:45:00
19,2026-01-08 16:32:00,2026-01-08 16:33:00,short,48900.7,48939.61,48803.42499999999,48939.61,sl,-40.91,-550.17,-1.051,104103.8,new_york,48899.61,48880.65,2026-01-08 11:25:00
20,2026-01-09 14:01:00,2026-01-09 15:14:00,short,49272.8,49328.3,49134.05,49328.3,sl,-57.5,-539.28,-1.036,103564.53,new_york,49288.3,49272.3,2026-01-09 12:50:00
21,2026-01-09 14:11:00,2026-01-09 15:30:00,long,49262.3,49219.3,49369.8,49369.8,tp,105.5,1277.09,2.453,104841.61,new_york,49262.35,49259.3,2026-01-09 13:35:00
22,2026-01-09 16:31:00,2026-01-09 16:43:00,short,49430.3,49470.11,49330.77500000001,49330.77500000001,tp,97.52,1284.18,2.45,106125.8,new_york,49430.11,49416.11,2026-01-09 16:15:00
23,2026-01-09 17:04:00,2026-01-09 17:07:00,long,49238.3,49191.35,49355.67500000002,49191.35,sl,-48.95,-553.23,-1.043,105572.57,new_york,49238.3,49231.35,2026-01-09 11:20:00
24,2026-01-12 13:45:00,2026-01-12 15:28:00,short,49138.9,49202.81,48979.125000000015,49202.81,sl,-65.91,-544.38,-1.031,105028.18,new_york,49162.81,49138.85,2026-01-12 12:15:00
25,2026-01-12 14:44:00,2026-01-12 15:28:00,short,49159.9,49203.31,49051.375000000015,49203.31,sl,-45.41,-552.18,-1.046,104476.0,new_york,49163.31,49155.81,2026-01-12 13:45:00
26,2026-01-12 16:41:00,2026-01-12 16:57:00,short,49291.7,49332.71,49189.17499999999,49332.71,sl,-43.01,-547.86,-1.049,103928.15,new_york,49292.71,49273.85,2026-01-12 10:25:00
27,2026-01-13 16:10:00,2026-01-13 16:37:00,long,49590.41,49477.91,49871.66,49477.91,sl,-114.5,-528.88,-1.018,103399.27,new_york,49592.41,49517.91,2026-01-13 16:10:00
