trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2026-02-26 16:57:00,2026-02-26 17:02:00,long,49611.3,49582.61,49683.02500000001,49582.61,sl,-30.69,-534.86,-1.07,99465.14,new_york,49611.61,49602.61,2026-02-26 16:30:00
2,2026-02-26 17:19:00,2026-02-26 17:21:00,long,49389.8,49351.8,49484.8,49351.8,sl,-40.0,-523.5,-1.053,98941.64,new_york,49390.8,49371.8,2026-02-26 10:20:00
3,2026-02-27 14:40:00,2026-02-27 15:14:00,long,49150.71,49098.21,49281.96,49098.21,sl,-54.5,-513.55,-1.038,98428.09,new_york,49151.71,49118.21,2026-02-27 14:25:00
4,2026-02-27 18:13:00,2026-03-02 01:05:00,short,48963.85,49106.9,48606.22499999999,48606.22499999999,tp,355.63,1223.47,2.486,99651.56,new_york,49086.9,48955.21,2026-02-27 16:55:00
5,2026-03-02 15:01:00,2026-03-02 15:25:00,short,48452.81,48524.31,48274.06,48524.31,sl,-73.5,-512.2,-1.028,99139.37,new_york,48504.31,48448.31,2026-03-02 14:10:00
6,2026-03-02 15:44:00,2026-03-02 16:03:00,long,48415.31,48379.31,48505.31,48379.31,sl,-38.0,-523.24,-1.056,98616.13,new_york,48420.31,48399.31,2026-03-02 15:25:00
7,2026-03-02 16:33:00,2026-03-02 16:36:00,short,48477.0,48540.31,48318.725000000006,48540.31,sl,-65.31,-508.66,-1.032,98107.47,new_york,48520.31,48459.81,2026-03-02 15:45:00
8,2026-03-02 17:59:00,2026-03-02 18:10:00,short,48801.0,48905.5,48539.75,48905.5,sl,-106.5,-499.93,-1.019,97607.55,new_york,48885.5,48798.5,2026-03-02 17:35:00
9,2026-03-03 15:35:00,2026-03-03 15:47:00,long,48053.71,48003.71,48178.71,48003.71,sl,-52.0,-507.56,-1.04,97099.99,new_york,48078.21,48023.71,2026-03-03 14:20:00
10,2026-03-03 15:46:00,2026-03-03 16:16:00,long,48014.71,47918.71,48254.71,47918.71,sl,-98.0,-498.21,-1.021,96601.78,new_york,48016.21,47938.71,2026-03-03 13:40:00
11,2026-03-03 18:47:00,2026-03-03 18:49:00,short,48217.9,48238.21,48167.12500000001,48167.12500000001,tp,48.77,1159.96,2.402,97761.74,new_york,48218.21,48192.71,2026-03-03 15:40:00
12,2026-03-04 13:45:00,2026-03-04 14:17:00,long,48534.11,48492.11,48639.11,48492.11,sl,-44.0,-512.09,-1.048,97249.66,new_york,48561.11,48512.11,2026-03-04 12:50:00
13,2026-03-04 16:36:00,2026-03-04 16:41:00,long,48426.3,48392.61,48510.52500000001,48392.61,sl,-35.69,-515.11,-1.059,96734.54,new_york,48446.61,48412.61,2026-03-04 15:15:00
14,2026-03-04 17:12:00,2026-03-04 17:13:00,short,48660.8,48694.11,48577.52500000001,48694.11,sl,-35.31,-512.71,-1.06,96221.83,new_york,48674.11,48647.11,2026-03-04 16:40:00
15,2026-03-04 18:00:00,2026-03-04 18:13:00,short,48827.75,48866.8,48730.12499999999,48730.12499999999,tp,95.63,1178.13,2.449,97399.96,new_york,48846.8,48808.3,2026-03-04 17:50:00
16,2026-03-05 15:05:00,2026-03-05 15:36:00,long,48470.91,48423.41,48589.66,48423.41,sl,-49.5,-507.51,-1.042,96892.45,new_york,48481.91,48443.41,2026-03-05 11:05:00
17,2026-03-05 18:41:00,2026-03-05 19:04:00,long,47923.5,47875.1,48044.5,48044.5,tp,119.0,1191.14,2.459,98083.59,new_york,47952.6,47895.1,2026-03-05 18:40:00
18,2026-03-06 14:30:00,2026-03-06 14:36:00,long,47697.51,47667.01,47773.76,47667.01,sl,-32.5,-522.58,-1.066,97561.01,new_york,47707.01,47687.01,2026-03-06 14:20:00
19,2026-03-06 15:28:00,2026-03-06 15:30:00,short,47721.01,47765.01,47611.01,47611.01,tp,108.0,1197.34,2.455,98758.35,new_york,47745.01,47716.01,2026-03-06 14:40:00
20,2026-03-09 14:06:00,2026-03-09 18:26:00,short,46988.41,47152.41,46578.41,47152.41,sl,-166.0,-499.81,-1.012,98258.54,new_york,47132.41,46972.41,2026-03-09 12:55:00
21,2026-03-09 16:15:00,2026-03-09 16:30:00,short,47024.41,47070.41,46909.41,47070.41,sl,-48.0,-515.26,-1.043,97743.28,new_york,47050.41,47023.91,2026-03-09 15:50:00
22,2026-03-09 17:52:00,2026-03-09 18:02:00,short,46999.6,47057.91,46853.82499999998,47057.91,sl,-60.31,-508.06,-1.034,97235.22,new_york,47037.91,46978.41,2026-03-09 16:50:00
