trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2024-10-29 15:19:00,2024-10-29 16:55:00,short,42292.34,42344.59,42109.465,42344.59,sl,-54.25,-519.14,-1.038,99480.86,new_york,42319.59,42292.34,2024-10-29 15:05:00
2,2024-10-29 17:16:00,2024-10-29 17:22:00,short,42421.84,42451.84,42316.84,42451.84,sl,-32.0,-530.56,-1.067,98950.3,new_york,42426.84,42421.84,2024-10-29 13:20:00
3,2024-10-29 19:18:00,2024-10-29 19:36:00,long,42360.09,42282.09,42633.09,42282.09,sl,-80.0,-507.44,-1.026,98442.86,new_york,42360.09,42307.09,2024-10-29 19:15:00
4,2024-10-30 15:23:00,2024-10-30 16:55:00,long,42192.3,42146.3,42353.3,42353.3,tp,159.0,1701.35,3.457,100144.21,new_york,42192.3,42171.3,2024-10-30 15:15:00
5,2024-10-30 19:18:00,2024-10-30 19:52:00,long,42410.55,42351.8,42616.175,42351.8,sl,-60.75,-517.77,-1.034,99626.44,new_york,42410.55,42376.8,2024-10-30 18:45:00
7,2024-10-31 15:01:00,2024-10-31 15:15:00,short,41984.76,42027.76,41834.26,42027.76,sl,-45.0,-521.3,-1.047,99105.14,new_york,42002.76,41984.76,2024-10-31 14:45:00
6,2024-10-31 13:46:00,2024-10-31 17:40:00,short,41998.26,42047.01,41827.635,41827.635,tp,168.62,1723.03,3.459,100828.17,new_york,42022.01,41998.26,2024-10-31 11:35:00
8,2024-10-31 19:13:00,2024-10-31 19:55:00,short,41852.01,41920.76,41611.385,41920.76,sl,-70.75,-518.81,-1.029,100309.36,new_york,41895.76,41852.01,2024-10-31 17:55:00
9,2024-11-01 16:29:00,2024-11-01 16:34:00,short,41977.23,42040.23,41756.73,42040.23,sl,-65.0,-517.47,-1.032,99791.89,new_york,42015.23,41977.23,2024-11-01 16:15:00
10,2024-11-04 13:46:00,2024-11-04 14:27:00,long,42101.39,42056.64,42258.015,42056.64,sl,-46.75,-521.26,-1.045,99270.63,new_york,42101.39,42081.64,2024-11-04 12:40:00
