trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-18 14:53:00,2025-12-18 15:30:00,long,47963.4,47924.4,48099.9,48099.9,tp,134.5,1724.36,3.449,101724.36,new_york,47963.4,47949.4,2025-12-18 13:10:00
2,2025-12-18 15:29:00,2025-12-18 15:30:00,short,48011.4,48049.4,47878.4,48049.4,sl,-40.0,-526.32,-1.053,101198.04,new_york,48024.4,48011.4,2025-12-18 14:30:00
3,2025-12-18 16:24:00,2025-12-18 16:48:00,long,48132.9,48071.4,48348.15,48071.4,sl,-63.5,-522.45,-1.033,100675.6,new_york,48132.9,48096.4,2025-12-18 16:20:00
4,2025-12-18 19:18:00,2025-12-18 19:24:00,long,47916.9,47881.4,48041.15,47881.4,sl,-37.5,-531.74,-1.056,100143.86,new_york,47916.9,47906.4,2025-12-18 11:50:00
5,2025-12-18 19:18:00,2025-12-18 19:26:00,long,47896.9,47863.4,48014.15,47863.4,sl,-35.5,-533.43,-1.06,99610.43,new_york,47896.9,47888.4,2025-12-18 11:15:00
6,2025-12-19 16:17:00,2025-12-19 16:29:00,short,47999.5,48061.5,47782.5,48061.5,sl,-64.0,-514.12,-1.032,99096.31,new_york,48036.5,47999.5,2025-12-19 12:35:00
7,2025-12-22 14:46:00,2025-12-22 16:30:00,long,48153.3,48114.3,48289.8,48289.8,tp,134.5,1708.78,3.449,100805.09,new_york,48153.3,48139.3,2025-12-22 14:40:00
8,2025-12-23 16:54:00,2025-12-23 17:17:00,short,48360.7,48390.7,48255.7,48390.7,sl,-32.0,-537.63,-1.067,100267.46,new_york,48365.7,48360.7,2025-12-23 13:55:00
10,2025-12-24 14:17:00,2025-12-24 15:42:00,short,48420.0,48448.0,48322.0,48448.0,sl,-30.0,-537.15,-1.071,99730.31,new_york,48423.0,48420.0,2025-12-24 13:50:00
9,2025-12-24 13:53:00,2025-12-24 16:30:00,long,48403.3,48371.3,48515.3,48371.3,sl,-34.0,-532.67,-1.062,99197.64,new_york,48403.3,48396.3,2025-12-24 11:15:00
12,2025-12-26 19:19:00,2025-12-26 22:36:00,short,48623.1,48672.1,48451.6,48672.1,sl,-51.0,-516.23,-1.041,98681.41,new_york,48647.1,48623.1,2025-12-26 19:15:00
11,2025-12-24 19:59:00,2025-12-29 16:16:00,short,48738.4,48793.4,48545.9,48545.9,tp,190.5,1717.92,3.464,100399.33,new_york,48768.4,48738.4,2025-12-24 19:55:00
13,2025-12-29 16:50:00,2025-12-29 17:04:00,long,48587.3,48516.3,48835.8,48516.3,sl,-73.0,-516.14,-1.028,99883.2,new_york,48587.3,48541.3,2025-12-29 16:40:00
14,2025-12-30 13:56:00,2025-12-30 16:32:00,short,48483.8,48511.8,48385.8,48385.8,tp,96.0,1712.28,3.429,101595.48,new_york,48486.8,48483.8,2025-12-30 12:50:00
15,2025-12-30 15:24:00,2025-12-30 16:32:00,short,48473.8,48503.8,48368.8,48368.8,tp,103.0,1714.66,3.433,103310.14,new_york,48478.8,48473.8,2025-12-30 15:05:00
17,2025-12-31 15:14:00,2025-12-31 16:34:00,long,48336.5,48306.5,48441.5,48306.5,sl,-32.0,-550.99,-1.067,102759.15,new_york,48336.5,48331.5,2025-12-31 15:05:00
16,2025-12-30 18:22:00,2025-12-31 17:12:00,short,48433.2,48494.7,48217.95,48217.95,tp,213.25,1791.13,3.467,104550.28,new_york,48469.7,48433.2,2025-12-30 17:15:00
18,2025-12-31 19:12:00,2025-12-31 22:00:00,long,48187.3,48141.3,48348.3,48141.3,sl,-48.0,-545.48,-1.043,104004.8,new_york,48187.3,48166.3,2025-12-31 18:20:00
19,2026-01-02 14:38:00,2026-01-02 15:31:00,long,48247.1,48217.1,48352.1,48217.1,sl,-32.0,-554.69,-1.067,103450.11,new_york,48247.1,48242.1,2026-01-02 13:50:00
