trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-12 15:59:00,2025-12-12 16:30:00,short,48831.28,48858.78,48762.53,48762.53,tp,66.75,1213.64,2.427,101213.64,new_york,48838.78,48827.21,2025-12-12 13:40:00
2,2025-12-12 16:10:00,2025-12-12 16:30:00,long,48794.28,48766.11,48864.704999999994,48766.11,sl,-30.17,-535.5,-1.071,100678.14,new_york,48796.73,48786.11,2025-12-12 16:00:00
3,2025-12-12 16:46:00,2025-12-12 16:49:00,short,48852.21,48869.91,48807.95999999999,48869.91,sl,-19.7,-560.27,-1.113,100117.87,new_york,48849.91,48838.11,2025-12-12 11:35:00
4,2025-12-12 17:00:00,2025-12-12 17:12:00,long,48790.21,48746.91,48898.45999999999,48746.91,sl,-45.3,-523.71,-1.046,99594.16,new_york,48796.11,48766.91,2025-12-12 16:50:00
5,2025-12-15 14:43:00,2025-12-15 16:11:00,short,48684.28,48715.73,48605.654999999984,48715.73,sl,-33.45,-529.64,-1.064,99064.52,new_york,48695.73,48681.23,2025-12-15 14:15:00
6,2025-12-15 15:05:00,2025-12-15 16:05:00,short,48667.23,48711.71,48556.03000000001,48711.71,sl,-46.48,-520.36,-1.045,98544.16,new_york,48691.71,48663.23,2025-12-15 15:05:00
7,2025-12-15 16:29:00,2025-12-15 16:30:00,long,48673.91,48648.73,48736.86,48648.73,sl,-27.18,-531.86,-1.079,98012.3,new_york,48675.73,48668.73,2025-12-15 16:00:00
8,2025-12-15 16:33:00,2025-12-15 16:35:00,long,48600.71,48575.91,48662.70999999999,48575.91,sl,-26.8,-529.58,-1.081,97482.72,new_york,48600.91,48595.91,2025-12-15 10:45:00
9,2025-12-16 16:29:00,2025-12-16 16:30:00,long,48360.51,48338.33,48415.96000000001,48415.96000000001,tp,53.45,1174.58,2.41,98657.3,new_york,48370.33,48358.33,2025-12-16 13:55:00
10,2025-12-16 16:44:00,2025-12-16 16:46:00,long,48300.31,48275.11,48363.30999999999,48275.11,sl,-27.2,-532.44,-1.079,98124.86,new_york,48306.51,48295.11,2025-12-16 12:30:00
11,2025-12-16 17:50:00,2025-12-16 18:37:00,long,48232.81,48125.31,48501.56,48125.31,sl,-109.5,-499.75,-1.019,97625.11,new_york,48233.81,48145.31,2025-12-16 17:45:00
