trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2025-12-18 08:15:00,2025-12-18 11:31:00,long,47844.81,47812.71,47925.06,47925.06,tp,78.25,1218.85,2.438,101218.85,london,47850.81,47832.71,2025-12-18 08:10:00
2,2025-12-18 09:01:00,2025-12-18 10:23:00,short,47870.41,47897.91,47801.66,47897.91,sl,-29.5,-536.36,-1.073,100682.48,london,47877.91,47867.41,2025-12-18 07:15:00
3,2025-12-18 15:04:00,2025-12-18 15:16:00,short,47980.31,48006.01,47916.05999999998,48006.01,sl,-27.7,-542.59,-1.078,100139.9,new_york,47986.01,47977.91,2025-12-18 15:00:00
4,2025-12-26 19:20:00,2025-12-26 22:32:00,short,48622.73,48665.73,48515.23,48665.73,sl,-45.0,-523.99,-1.047,99615.91,new_york,48645.73,48621.73,2025-12-26 19:15:00
5,2025-12-29 09:05:00,2025-12-29 10:46:00,long,48699.1,48673.51,48763.07499999999,48673.51,sl,-27.59,-537.01,-1.078,99078.9,london,48700.01,48693.51,2025-12-29 08:25:00
6,2025-12-30 15:30:00,2025-12-30 16:30:00,long,48456.61,48434.81,48511.11000000001,48434.81,sl,-23.8,-540.84,-1.092,98538.06,new_york,48460.7,48454.81,2025-12-30 15:25:00
7,2025-12-31 08:42:00,2025-12-31 12:03:00,long,48316.71,48286.11,48393.20999999999,48286.11,sl,-32.6,-524.89,-1.065,98013.16,london,48335.41,48306.11,2025-12-31 03:25:00
8,2025-12-31 10:11:00,2025-12-31 12:01:00,long,48317.8,48292.8,48380.3,48292.8,sl,-27.0,-532.11,-1.08,97481.06,london,48318.3,48312.8,2025-12-31 09:30:00
9,2025-12-31 15:09:00,2025-12-31 16:28:00,long,48333.8,48311.3,48390.05,48390.05,tp,54.25,1175.19,2.411,98656.25,new_york,48336.3,48331.3,2025-12-31 15:05:00
10,2025-12-31 17:40:00,2025-12-31 17:50:00,long,48205.85,48187.35,48252.1,48187.35,sl,-20.5,-546.61,-1.108,98109.64,new_york,48246.3,48207.35,2025-12-31 17:35:00
11,2026-01-06 09:43:00,2026-01-06 10:02:00,long,48977.7,48952.11,49041.67499999999,48952.11,sl,-27.59,-528.89,-1.078,97580.75,london,48983.11,48972.11,2026-01-06 08:35:00
12,2026-01-06 16:24:00,2026-01-06 16:33:00,long,48910.01,48874.2,48999.53500000002,48999.53500000002,tp,87.53,1192.51,2.444,98773.26,new_york,48911.2,48894.2,2026-01-06 14:55:00
13,2026-01-08 08:38:00,2026-01-08 09:23:00,short,48845.91,48870.91,48783.41,48870.91,sl,-27.0,-533.38,-1.08,98239.89,london,48850.91,48845.91,2026-01-08 08:30:00
14,2026-01-09 08:35:00,2026-01-09 10:49:00,long,49278.21,49231.1,49395.985,49231.1,sl,-49.11,-512.05,-1.042,97727.83,london,49282.05,49251.1,2026-01-08 23:20:00
15,2026-01-09 14:01:00,2026-01-09 15:01:00,short,49272.8,49308.3,49184.05,49308.3,sl,-37.5,-516.17,-1.056,97211.66,new_york,49288.3,49272.3,2026-01-09 12:50:00
16,2026-01-12 14:01:00,2026-01-12 14:50:00,short,49144.71,49182.81,49049.46000000001,49182.81,sl,-40.1,-511.57,-1.052,96700.09,new_york,49162.81,49138.85,2026-01-12 12:15:00
