trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2026-02-26 10:24:00,2026-02-26 14:00:00,long,49389.61,49351.8,49484.134999999995,49484.134999999995,tp,92.52,1223.55,2.447,101223.55,london,49390.8,49371.8,2026-02-26 10:20:00
2,2026-02-27 10:05:00,2026-02-27 11:05:00,short,49289.21,49320.4,49211.23499999999,49320.4,sl,-33.19,-538.57,-1.064,100684.98,london,49300.4,49285.9,2026-02-27 09:50:00
3,2026-02-27 18:18:00,2026-03-02 01:05:00,short,48980.85,49106.9,48665.72499999999,48665.72499999999,tp,313.13,1250.57,2.484,101935.55,new_york,49086.9,48955.21,2026-02-27 16:55:00
4,2026-03-03 16:23:00,2026-03-03 16:42:00,long,47999.71,47918.71,48202.21,47918.71,sl,-83.0,-522.26,-1.025,101413.29,new_york,48016.21,47938.71,2026-03-03 13:40:00
5,2026-03-04 08:59:00,2026-03-04 09:24:00,short,48315.01,48360.01,48202.51,48360.01,sl,-47.0,-529.6,-1.044,100883.69,london,48340.01,48295.01,2026-03-04 08:55:00
6,2026-03-04 14:12:00,2026-03-04 14:17:00,long,48533.11,48492.11,48635.61,48492.11,sl,-43.0,-529.02,-1.049,100354.67,new_york,48561.11,48512.11,2026-03-04 12:50:00
7,2026-03-05 10:06:00,2026-03-05 10:30:00,long,48486.41,48444.81,48590.41000000002,48444.81,sl,-43.6,-525.9,-1.048,99828.77,london,48501.31,48464.81,2026-03-05 08:55:00
8,2026-03-05 15:25:00,2026-03-05 15:36:00,long,48459.91,48423.41,48551.16,48423.41,sl,-38.5,-526.49,-1.055,99302.27,new_york,48481.91,48443.41,2026-03-05 11:05:00
9,2026-03-05 18:43:00,2026-03-05 19:02:00,long,47912.5,47875.1,48006.0,48006.0,tp,91.5,1214.73,2.447,100517.0,new_york,47952.6,47895.1,2026-03-05 18:40:00
10,2026-03-09 18:36:00,2026-03-09 19:26:00,long,47056.6,46994.6,47211.6,47211.6,tp,153.0,1240.25,2.468,101757.25,new_york,47069.6,47014.6,2026-03-09 18:30:00
11,2026-03-13 09:05:00,2026-03-13 09:25:00,long,46818.51,46781.91,46910.009999999995,46781.91,sl,-38.6,-536.59,-1.055,101220.66,london,46821.91,46801.91,2026-03-13 08:35:00
12,2026-03-16 15:56:00,2026-03-16 16:41:00,long,46888.81,46846.81,46993.81,46993.81,tp,103.0,1241.16,2.452,102461.82,new_york,46907.81,46866.81,2026-03-16 15:45:00
13,2026-03-19 13:45:00,2026-03-19 15:31:00,short,46159.21,46257.71,45912.96,45912.96,tp,244.25,1270.37,2.48,103732.19,new_york,46237.71,46157.21,2026-03-19 10:40:00
14,2026-03-20 09:04:00,2026-03-20 09:43:00,short,46123.31,46157.81,46037.06,46037.06,tp,84.25,1266.59,2.442,104998.78,london,46137.81,46122.71,2026-03-20 07:50:00
15,2026-03-20 09:13:00,2026-03-20 09:27:00,long,46106.9,46066.61,46207.625,46066.61,sl,-42.29,-544.41,-1.05,104454.37,london,46109.81,46086.61,2026-03-20 08:25:00
16,2026-03-20 16:38:00,2026-03-20 16:39:00,long,45862.4,45846.71,45901.62500000001,45846.71,sl,-17.69,-588.85,-1.127,103865.52,new_york,45912.21,45866.71,2026-03-20 16:00:00
17,2026-03-20 17:07:00,2026-03-20 22:24:00,short,45873.9,46027.9,45488.9,45488.9,tp,383.0,1291.57,2.487,105157.1,new_york,46007.9,45868.4,2026-03-20 17:05:00
18,2026-03-20 18:30:00,2026-03-20 20:04:00,long,45712.9,45650.9,45867.9,45867.9,tp,153.0,1281.57,2.468,106438.66,new_york,45805.9,45670.9,2026-03-20 18:15:00
19,2026-03-23 18:23:00,2026-03-23 18:55:00,short,46689.0,46829.31,46338.225000000006,46338.225000000006,tp,348.77,1322.9,2.486,107761.56,new_york,46809.31,46468.31,2026-03-23 14:55:00
20,2026-03-24 14:22:00,2026-03-24 15:37:00,short,46164.41,46227.41,46006.91,46006.91,tp,155.5,1329.91,2.468,109091.48,new_york,46207.41,46149.91,2026-03-24 13:30:00
21,2026-03-24 14:49:00,2026-03-24 14:53:00,short,46187.41,46233.41,46072.41,46072.41,tp,113.0,1323.59,2.457,110415.07,new_york,46213.41,46172.41,2026-03-24 14:30:00
22,2026-03-25 09:31:00,2026-03-25 09:50:00,long,46419.91,46398.81,46472.66000000002,46472.66000000002,tp,50.75,1327.86,2.405,111742.93,london,46435.31,46418.81,2026-03-25 07:05:00
23,2026-03-25 19:00:00,2026-03-25 19:05:00,long,46428.9,46369.4,46577.65,46369.4,sl,-61.5,-577.49,-1.034,111165.43,new_york,46490.4,46389.4,2026-03-25 19:00:00
