direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
long,44399.21,44362.27481481481,44549.21,2025-07-09 21:45:00,other,44392.27481481481,100000.0,44442.80701663201,2025-07-10 02:30:00,sl,41.59701663201122,41.59701663201122,100041.597016632,100041.597016632
long,44369.41,44336.52413912245,44519.41,2025-07-10 11:30:00,london,44366.52413912245,100041.597016632,44519.41,2025-07-10 17:05:00,tp,148.0,148.0,100189.597016632,100189.597016632
short,44639.68,44670.013333333336,44489.68,2025-07-11 01:05:00,asia,44640.013333333336,100189.597016632,44489.68,2025-07-11 03:20:00,tp,148.0,148.0,100337.597016632,100337.597016632
long,44498.01,44462.14208222526,44648.01,2025-07-11 06:05:00,other,44492.14208222526,100337.597016632,44467.32216109762,2025-07-11 08:55:00,sl,-32.6878389023841,-32.6878389023841,100304.90917772963,100304.90917772963
long,44500.31,44467.002229285645,44650.31,2025-07-11 09:15:00,london,44497.002229285645,100304.90917772963,44466.740320347206,2025-07-11 09:40:00,sl,-35.56967965279182,-35.56967965279182,100269.33949807684,100269.33949807684
long,44505.01,44466.63502563596,44655.01,2025-07-11 09:55:00,london,44496.63502563596,100269.33949807684,44465.65067152292,2025-07-11 10:10:00,sl,-41.35932847708318,-41.35932847708318,100227.98016959976,100227.98016959976
long,44182.98,44150.113333333335,44332.98,2025-07-14 01:05:00,asia,44180.113333333335,100227.98016959976,44138.352807017545,2025-07-14 01:10:00,sl,-46.62719298245793,-46.62719298245793,100181.3529766173,100181.3529766173
long,44175.58,44131.77544108941,44325.58,2025-07-14 01:20:00,asia,44161.77544108941,100181.3529766173,44157.41243686869,2025-07-14 02:25:00,sl,-20.16756313131191,-20.16756313131191,100161.18541348599,100161.18541348599
long,44191.21,44153.16668202765,44341.21,2025-07-14 02:50:00,asia,44183.16668202765,100161.18541348599,44157.72724315422,2025-07-14 04:10:00,sl,-35.48275684577675,-35.48275684577675,100125.7026566402,100125.7026566402
long,44185.81,44153.470273972605,44335.81,2025-07-14 05:10:00,asia,44183.470273972605,100125.7026566402,44151.83474273954,2025-07-14 06:00:00,sl,-35.97525726045569,-35.97525726045569,100089.72739937974,100089.72739937974
long,44180.81,44149.600320487865,44330.81,2025-07-14 08:05:00,london,44179.600320487865,100089.72739937974,44149.04709406409,2025-07-14 08:45:00,sl,-33.76290593590966,-33.76290593590966,100055.96449344384,100055.96449344384
long,44167.01,44128.91217131236,44317.01,2025-07-14 10:40:00,london,44158.91217131236,100055.96449344384,44317.01,2025-07-14 16:30:00,tp,148.0,148.0,100203.96449344384,100203.96449344384
short,44410.78,44444.28,44260.78,2025-07-15 01:05:00,asia,44414.28,100203.96449344384,44446.50355187202,2025-07-15 04:40:00,sl,-37.723551872019016,-37.723551872019016,100166.24094157183,100166.24094157183
