trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,pnl_fixed,month,date
1,2024-10-29 11:24:00,2024-10-29 14:09:00,long,42375.74,42331.49,42479.365,42329.49,sl,-48.25,-54.52,-1.09,9945.48,london,42373.74,42366.49,2024-10-29 08:40:00,-54.50000000000001,2024-10,2024-10-29
2,2024-10-29 12:02:00,2024-10-29 14:09:00,long,42408.84,42331.84,42594.34,42329.84,sl,-81.0,-52.6,-1.052,9892.88,london,42406.84,42366.84,2024-10-29 11:40:00,-52.6,2024-10,2024-10-29
3,2024-10-29 15:19:00,2024-10-29 16:56:00,short,42290.34,42354.59,42136.715,42356.59,sl,-68.25,-52.54,-1.062,9840.34,london,42319.59,42292.34,2024-10-29 15:05:00,-53.1,2024-10,2024-10-29
4,2024-10-29 17:16:00,2024-10-29 17:23:00,short,42419.84,42461.84,42321.84,42463.84,sl,-46.0,-53.89,-1.095,9786.45,london,42426.84,42421.84,2024-10-29 13:20:00,-54.75,2024-10,2024-10-29
5,2024-10-30 11:56:00,2024-10-30 13:30:00,long,42306.8,42245.55,42452.925,42243.55,sl,-65.25,-52.13,-1.065,9734.32,london,42304.8,42280.55,2024-10-30 11:30:00,-53.25,2024-10,2024-10-30
6,2024-10-30 15:23:00,2024-10-30 16:53:00,long,42194.3,42136.3,42332.3,42332.3,tp,136.0,114.13,2.345,9848.45,london,42192.3,42171.3,2024-10-30 15:15:00,117.25000000000001,2024-10,2024-10-30
7,2024-10-31 10:56:00,2024-10-31 12:00:00,long,42013.76,41963.76,42131.76,41961.76,sl,-54.0,-53.18,-1.08,9795.27,london,42011.76,41998.76,2024-10-31 10:40:00,-54.0,2024-10,2024-10-31
8,2024-10-31 11:48:00,2024-10-31 17:28:00,short,41996.26,42057.01,41851.385,41851.385,tp,142.88,115.81,2.352,9911.08,london,42022.01,41998.26,2024-10-31 11:35:00,117.6,2024-10,2024-10-31
9,2024-10-31 15:01:00,2024-10-31 17:28:00,short,41982.76,42037.76,41852.26,41852.26,tp,128.5,114.43,2.336,10025.51,london,42002.76,41984.76,2024-10-31 14:45:00,116.8,2024-10,2024-10-31
10,2024-11-01 10:24:00,2024-11-01 12:51:00,long,41796.13,41755.38,41891.005,41891.005,tp,92.88,114.25,2.279,10139.75,london,41794.13,41790.38,2024-11-01 06:05:00,113.94999999999999,2024-11,2024-11-01
11,2024-11-01 11:05:00,2024-11-01 12:51:00,short,41839.13,41889.88,41719.255,41891.88,sl,-54.75,-54.08,-1.079,10085.67,london,41854.88,41841.13,2024-11-01 09:20:00,-53.949999999999996,2024-11,2024-11-01
12,2024-11-01 16:29:00,2024-11-01 16:36:00,short,41975.23,42050.23,41794.73,42052.23,sl,-79.0,-53.12,-1.053,10032.56,london,42015.23,41977.23,2024-11-01 16:15:00,-52.65,2024-11,2024-11-01
13,2024-11-04 13:30:00,2024-11-04 14:29:00,long,42103.39,42046.64,42238.265,42044.64,sl,-60.75,-53.7,-1.07,9978.86,london,42101.39,42081.64,2024-11-04 12:40:00,-53.5,2024-11,2024-11-04
15,2024-11-05 10:58:00,2024-11-05 16:48:00,short,41882.15,41927.9,41774.775,41929.9,sl,-49.75,-54.26,-1.087,9924.6,london,41892.9,41884.15,2024-11-05 09:35:00,-54.35,2024-11,2024-11-05
14,2024-11-05 10:16:00,2024-11-05 16:54:00,long,41838.55,41780.8,41975.925,41975.925,tp,135.38,116.96,2.344,10041.56,london,41836.55,41815.8,2024-11-05 04:35:00,117.19999999999999,2024-11,2024-11-05
16,2024-11-05 18:08:00,2024-11-06 02:18:00,long,42144.15,42046.15,42382.15,42382.15,tp,236.0,120.91,2.408,10162.47,london,42142.15,42081.15,2024-11-05 17:50:00,120.39999999999999,2024-11,2024-11-06
18,2024-11-06 16:33:00,2024-11-06 16:42:00,short,43554.15,43605.15,43433.65,43607.15,sl,-55.0,-54.8,-1.078,10107.67,london,43570.15,43556.15,2024-11-06 15:50:00,-53.900000000000006,2024-11,2024-11-06
17,2024-11-06 16:03:00,2024-11-06 20:11:00,long,43462.15,43371.65,43681.4,43681.4,tp,217.25,121.98,2.401,10229.65,london,43460.15,43406.65,2024-11-06 14:15:00,120.04999999999998,2024-11,2024-11-06
19,2024-11-06 17:54:00,2024-11-06 22:17:00,long,43505.65,43380.65,43811.15,43811.15,tp,303.5,122.71,2.428,10352.36,london,43503.65,43415.65,2024-11-06 17:15:00,121.39999999999999,2024-11,2024-11-06
