confirmed_at,ob_type,zone_low,zone_high,zone_size,estado_final,entry_time,exit_time,exit_reason,pnl_usd
2024-10-29 07:05:00,bearish,42369.74,42376.74,7.0,destruido,,,,
2024-10-29 08:40:00,bullish,42366.49,42373.74,7.25,tocado,2024-10-29 11:24:00,2024-10-29 14:09:00,sl,-52.37
2024-10-29 11:40:00,bullish,42366.84,42406.84,40.0,tocado,2024-10-29 12:02:00,2024-10-29 14:09:00,sl,-51.33
2024-10-29 12:05:00,bearish,42430.84,42442.84,12.0,destruido,,,,
2024-10-29 13:20:00,bearish,42421.84,42426.84,5.0,tocado,2024-10-29 17:16:00,2024-10-29 17:23:00,sl,-51.69
2024-10-29 14:10:00,bearish,42379.84,42393.84,14.0,destruido,,,,
2024-10-29 15:05:00,bearish,42292.34,42319.59,27.25,tocado,2024-10-29 15:19:00,2024-10-29 16:56:00,sl,-51.07
2024-10-29 17:00:00,bullish,42197.09,42253.09,56.0,expirado,,,,
2024-10-29 18:05:00,bearish,42447.09,42455.09,8.0,expirado,,,,
2024-10-29 19:15:00,bullish,42307.09,42360.09,53.0,destruido,,,,
2024-10-29 20:00:00,bullish,42276.59,42304.09,27.5,destruido,,,,
2024-10-29 20:35:00,bearish,42364.09,42377.59,13.5,expirado,,,,
2024-10-29 21:45:00,bullish,42310.59,42327.09,16.5,destruido,,,,
2024-10-29 22:50:00,bearish,42324.09,42341.09,17.0,destruido,,,,
2024-10-29 23:15:00,bullish,42254.09,42293.59,39.5,expirado,,,,
2024-10-30 03:30:00,bullish,42312.2,42319.2,7.0,destruido,,,,
2024-10-30 04:05:00,bullish,42336.2,42344.7,8.5,destruido,,,,
2024-10-30 04:40:00,bullish,42337.2,42341.95,4.75,destruido,,,,
2024-10-30 05:30:00,bearish,42353.2,42355.95,2.75,expirado,,,,
2024-10-30 07:55:00,bearish,42272.2,42282.2,10.0,destruido,,,,
2024-10-30 08:25:00,bullish,42253.2,42260.2,7.0,destruido,,,,
2024-10-30 09:25:00,bullish,42260.2,42269.2,9.0,destruido,,,,
2024-10-30 11:30:00,bullish,42280.55,42304.8,24.25,tocado,2024-10-30 11:56:00,2024-10-30 13:30:00,sl,-50.62
2024-10-30 11:55:00,bearish,42330.3,42339.3,9.0,destruido,,,,
2024-10-30 15:15:00,bullish,42171.3,42192.3,21.0,tocado,2024-10-30 15:23:00,2024-10-30 16:53:00,tp,120.05
2024-10-30 17:05:00,bullish,42198.55,42243.8,45.25,destruido,,,,
2024-10-30 18:45:00,bullish,42376.8,42410.55,33.75,destruido,,,,
2024-10-30 20:40:00,bearish,42364.55,42372.55,8.0,expirado,,,,
2024-10-30 21:35:00,bearish,42330.55,42350.55,20.0,expirado,,,,
2024-10-30 22:45:00,bearish,42229.55,42244.55,15.0,expirado,,,,
2024-10-31 02:25:00,bearish,42173.66,42177.66,4.0,destruido,,,,
2024-10-31 04:20:00,bullish,42145.66,42154.66,9.0,destruido,,,,
2024-10-31 07:00:00,bearish,42141.66,42144.66,3.0,expirado,,,,
2024-10-31 08:40:00,bullish,42116.66,42122.16,5.5,destruido,,,,
2024-10-31 09:45:00,bearish,42106.51,42107.76,1.25,expirado,,,,
2024-10-31 10:40:00,bullish,41998.76,42011.76,13.0,tocado,2024-10-31 10:56:00,2024-10-31 12:00:00,sl,-51.37
2024-10-31 11:05:00,bearish,42042.76,42054.76,12.0,expirado,,,,
2024-10-31 11:35:00,bearish,41998.26,42022.01,23.75,tocado,2024-10-31 11:48:00,2024-10-31 17:28:00,tp,121.61
2024-10-31 12:10:00,bearish,41984.51,42003.01,18.5,destruido,,,,
2024-10-31 14:45:00,bearish,41984.76,42002.76,18.0,tocado,2024-10-31 15:01:00,2024-10-31 17:28:00,tp,120.79
