trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,balance_post,dd_pct
1,2024-10-29 11:24:00,2024-10-29 14:09:00,long,42375.74,42331.49,42479.365,42329.49,sl,-48.25,-54.52,-1.09,9945.48,london,42373.74,42366.49,2024-10-29 08:40:00,9945.48,0.5452000000000043
2,2024-10-29 12:02:00,2024-10-29 14:09:00,long,42408.84,42331.84,42594.34,42329.84,sl,-81.0,-52.6,-1.052,9892.88,london,42406.84,42366.84,2024-10-29 11:40:00,9892.88,1.0712000000000081
3,2024-10-29 15:19:00,2024-10-29 16:56:00,short,42290.34,42354.59,42136.715,42356.59,sl,-68.25,-52.54,-1.062,9840.34,london,42319.59,42292.34,2024-10-29 15:05:00,9840.339999999998,1.5966000000000167
4,2024-10-29 17:16:00,2024-10-29 17:23:00,short,42419.84,42461.84,42321.84,42463.84,sl,-46.0,-53.89,-1.095,9786.45,london,42426.84,42421.84,2024-10-29 13:20:00,9786.449999999999,2.135500000000011
5,2024-10-30 11:56:00,2024-10-30 13:30:00,long,42306.8,42245.55,42452.925,42243.55,sl,-65.25,-52.13,-1.065,9734.32,london,42304.8,42280.55,2024-10-30 11:30:00,9734.32,2.6568000000000027
6,2024-10-30 15:23:00,2024-10-30 16:53:00,long,42194.3,42136.3,42332.3,42332.3,tp,136.0,114.13,2.345,9848.45,london,42192.3,42171.3,2024-10-30 15:15:00,9848.449999999999,1.515500000000011
7,2024-10-31 10:56:00,2024-10-31 12:00:00,long,42013.76,41963.76,42131.76,41961.76,sl,-54.0,-53.18,-1.08,9795.27,london,42011.76,41998.76,2024-10-31 10:40:00,9795.269999999999,2.0473000000000137
8,2024-10-31 11:48:00,2024-10-31 17:28:00,short,41996.26,42057.01,41851.385,41851.385,tp,142.88,115.81,2.352,9911.08,london,42022.01,41998.26,2024-10-31 11:35:00,9911.079999999998,0.889200000000019
9,2024-10-31 15:01:00,2024-10-31 17:28:00,short,41982.76,42037.76,41852.26,41852.26,tp,128.5,114.43,2.336,10025.51,london,42002.76,41984.76,2024-10-31 14:45:00,10025.509999999998,0.0
10,2024-11-01 10:24:00,2024-11-01 12:51:00,long,41796.13,41755.38,41891.005,41891.005,tp,92.88,114.25,2.279,10139.75,london,41794.13,41790.38,2024-11-01 06:05:00,10139.759999999998,0.0
