trade_id,type,entry_time,entry_price,exit_time,exit_price,original_stop_loss,stop_loss,take_profit,pnl_points_gross,spread_cost,pnl_points_net,planned_risk_pts,r_multiple,pnl_usd,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,short,2026-02-26 16:27:00,49659.61,2026-02-26 16:27:00,49643.61,49643.61,49643.61,49609.21,16.0,2,14.0,16.0,0.875,437.5,0.43750000000000006,closed_sl,False,False,2.9647058823530266,pin_bar_bearish,0.7250000000000001,0.0,1.5
2,short,2026-02-26 16:29:00,49664.61,2026-02-26 16:29:00,49643.61,49643.61,49643.61,49609.71,21.0,2,19.0,21.0,0.9047619047619048,452.3809523809524,0.45041040685097933,closed_sl,False,False,2.5534883720930908,pin_bar_bearish,0.8,0.0,45.0
3,short,2026-02-26 16:32:00,49674.3,2026-02-26 16:32:00,49643.61,49643.61,49643.61,49608.71,30.69000000000233,2,28.69000000000233,30.69000000000233,0.9348321928967139,467.41609644835694,0.46329333728619704,closed_sl,False,False,2.0375893134513525,pin_bar_bearish,0.8,0.0,42.0
4,short,2026-02-26 16:34:00,49713.3,2026-02-26 16:34:00,49643.61,49643.61,49643.61,49611.71,69.69000000000233,2,67.69000000000233,69.69000000000233,0.9713014779738853,485.65073898694266,0.47914728700093334,closed_sl,False,False,1.489807889719905,pin_bar_bearish,0.6,0.0,38.5
5,short,2026-02-26 16:50:00,49668.8,2026-02-26 16:50:00,49643.61,49643.61,49643.61,49610.71,25.19000000000233,2,23.19000000000233,25.19000000000233,0.920603414053203,460.3017070266015,0.45197209725862697,closed_sl,False,False,2.352774402592074,engulfing_bearish,0.8,18.0,0.0
6,short,2026-02-26 16:55:00,49678.8,2026-02-26 16:55:00,49643.61,49643.61,49643.61,49612.21,35.19000000000233,2,33.19000000000233,35.19000000000233,0.9431656720659316,471.5828360329658,0.4609656470948545,closed_sl,False,False,2.0063272069900306,engulfing_bearish,0.8,4.0,0.0
7,short,2026-02-26 16:56:00,49676.8,2026-02-26 16:56:00,49643.61,49643.61,49643.61,49612.21,33.19000000000233,2,31.19000000000233,33.19000000000233,0.9397408858089829,469.8704429044914,0.45718434391775903,closed_sl,False,False,2.070856043603686,pin_bar_bearish,0.8,25.0,0.0
8,short,2026-02-27 11:00:00,49302.31,2026-02-27 11:06:00,49325.71,49325.71,49325.71,49258.81,-23.400000000001455,2,-25.400000000001455,23.400000000001455,-1.08547008547008,-542.73504273504,-0.5256783429598592,closed_sl,False,False,1.9419642857141595,pin_bar_bearish,0.625,0.0,29.900000000001455
9,short,2026-03-11 09:59:00,47827.41,2026-03-11 10:24:00,47787.51,47844.41,47844.41,47787.51,39.900000000001455,2,37.900000000001455,17.0,2.229411764705968,1114.705882352984,1.085379284330913,closed_tp,False,False,2.2800000000000833,pin_bar_bearish,0.8,47.10000000000582,12.39999999999418
10,short,2026-03-11 10:04:00,47824.31,2026-03-11 10:24:00,47788.01,47844.41,47844.41,47788.01,36.299999999995634,2,34.299999999995634,20.10000000000582,1.706467661690831,853.2338308454155,0.8218658922002872,closed_tp,False,False,1.7203791469187497,pin_bar_bearish,0.625,44.0,13.0
11,short,2026-03-11 13:50:00,47760.31,2026-03-11 13:54:00,47777.81,47777.81,47777.81,47723.9,-17.5,2,-19.5,17.5,-1.1142857142857143,-557.1428571428571,-0.5322856117357705,closed_sl,False,False,1.916315789473485,engulfing_bearish,0.7,0.5,10.5
12,short,2026-03-11 14:18:00,47809.81,2026-03-11 14:18:00,47777.81,47777.81,47777.81,47721.9,32.0,2,30.0,32.0,0.9375,468.75,0.45023297754027414,closed_sl,False,False,2.7049230769229604,engulfing_bearish,0.8,21.0,0.0
13,long,2026-03-23 13:50:00,45199.31,2026-03-23 13:50:00,45215.31,45215.31,45215.31,45290.31,16.0,2,14.0,16.0,0.875,437.5,0.41833396822306274,closed_sl,False,False,6.066666666666666,pin_bar_bullish,0.8999999999999999,104.5,0.0
14,long,2026-03-24 16:20:00,45882.91,2026-03-24 16:21:00,45861.31,45861.31,45861.31,45923.9,-21.60000000000582,2,-23.60000000000582,21.60000000000582,-1.0925925925925677,-546.2962962962838,-0.5201879854273398,closed_sl,False,False,1.9426540284353866,pin_bar_bullish,0.5499999999999999,0.0,14.5
15,long,2026-03-24 16:33:00,45878.1,2026-03-24 16:36:00,45861.31,45861.31,45861.31,45919.9,-16.790000000000873,2,-18.790000000000873,16.790000000000873,-1.1191185229303096,-559.5592614651548,-0.5356032374955502,closed_sl,False,False,2.060128141941898,engulfing_bullish,0.8,17.0,14.5
16,long,2026-03-24 16:51:00,45816.6,2026-03-24 16:51:00,45861.31,45861.31,45861.31,45922.4,44.70999999999913,2,42.70999999999913,44.70999999999913,0.9552672780138662,477.6336390069331,0.45964692390121215,closed_sl,False,False,2.420498741706818,engulfing_bullish,0.5705882352941176,7.0,0.0
17,long,2026-03-24 16:59:00,45885.1,2026-03-24 17:00:00,45919.9,45861.31,45861.31,45919.9,34.80000000000291,2,32.80000000000291,23.790000000000873,1.3787305590584997,689.3652795292498,0.66036981031401,closed_tp,False,False,1.2751923781605643,pin_bar_bullish,0.6,53.5,0.0
18,short,2026-03-25 16:38:00,46667.1,2026-03-25 16:38:00,46634.91,46634.91,46634.91,46561.2,32.18999999999505,2,30.189999999995052,32.18999999999505,0.9378689033861353,468.9344516930676,0.4462635580788526,closed_sl,False,False,3.0973968996787593,engulfing_bearish,0.6549295774647887,2.0,0.0
19,short,2026-03-26 17:08:00,46495.0,2026-03-26 17:08:00,46461.21,46461.21,46461.21,46423.4,33.79000000000087,2,31.790000000000873,33.79000000000087,0.940810890796095,470.4054453980475,0.44567455266907635,closed_sl,False,False,2.1835925587068203,pin_bar_bearish,0.62,42.5,0.0
20,short,2026-03-26 17:17:00,46515.0,2026-03-26 17:20:00,46457.31,46542.5,46542.5,46457.31,57.69000000000233,2,55.69000000000233,27.5,2.0250909090909937,1012.5454545454968,0.9550558860655536,closed_tp,False,False,2.136666666666753,pin_bar_bearish,0.8,46.5,0.0
21,short,2026-03-26 17:37:00,46490.5,2026-03-26 17:37:00,46461.21,46461.21,46461.21,46422.9,29.290000000000873,2,27.290000000000873,29.290000000000873,0.9317173096620027,465.8586548310014,0.43525157557477434,closed_sl,False,False,2.3480375130252344,pin_bar_bearish,0.8,11.5,0.0
22,short,2026-03-26 17:41:00,46478.5,2026-03-26 17:41:00,46461.21,46461.21,46461.21,46421.4,17.290000000000873,2,15.290000000000873,17.290000000000873,0.8843262001156796,442.1631000578398,0.4113225393418717,closed_sl,False,False,3.121924548933615,pin_bar_bearish,0.8999999999999999,20.0,0.0
