entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,original_stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_usd,pnl_pct,rr_planned,rr_actual,zone_touches,sl_miss_points
2024-06-04 17:30:00,2024-06-12 13:30:00,SPX500,LONG,false_breakout_b1,5296.60009765625,5306.60009765625,5253.58984375,5382.62060546875,5382.62060546875,tp_hit,86.0205078125,1000.0,0.0,2.0,0.0,5,0
2024-06-17 13:30:00,2024-07-05 13:30:00,SPX500,LONG,pin_bar,5427.9599609375,5437.9599609375,5372.509765625,5538.8603515625,5538.8603515625,tp_hit,110.900390625,1000.0,0.0,2.0,0.0,2,0
2024-07-01 16:30:00,2024-07-08 13:30:00,SPX500,LONG,pin_bar,5471.02001953125,5481.02001953125,5416.56005859375,5579.93994140625,5579.93994140625,tp_hit,108.919921875,1000.0,0.0,2.0,0.0,4,0
2024-08-22 15:30:00,2024-09-03 17:30:00,SPX500,LONG,pin_bar,5608.16015625,5546.52978515625,5546.52978515625,5731.4208984375,5546.52978515625,sl_hit,-61.63037109375,-500.0,-1.0989409962742627,2.0,-1.0,6,0
2024-11-27 20:30:00,2024-12-18 18:30:00,SPX500,LONG,pin_bar,5998.72021484375,6008.72021484375,5930.080078125,6136.00048828125,6008.72021484375,sl_hit,10.0,72.84367775208963,0.0,2.0,0.0,6,0
2025-02-25 16:30:00,2025-02-26 17:30:00,SPX500,LONG,false_breakout_b1,5949.68994140625,5959.68994140625,5893.93017578125,6101.27001953125,5959.68994140625,sl_hit,10.0,89.67039125713686,0.0,2.7184489824512243,0.0,6,0
2025-05-16 17:30:00,2025-05-21 16:30:00,SPX500,LONG,pin_bar,5946.81982421875,5893.93017578125,5893.93017578125,6101.27001953125,5893.93017578125,sl_hit,-52.8896484375,-500.0,-0.8893770115937262,2.9202348640115217,-1.0,11,0
2025-06-02 17:30:00,2025-06-05 18:30:00,SPX500,LONG,false_breakout_b1,5925.22998046875,5935.22998046875,5893.93017578125,6101.27001953125,5935.22998046875,sl_hit,10.0,159.7454057595707,0.0,5.6243174939939475,0.0,15,0
2025-06-06 17:30:00,2025-06-11 17:30:00,SPX500,LONG,false_breakout_b1,6005.25,6015.25,5973.0,6101.27001953125,6015.25,sl_hit,10.0,155.03875968992247,0.0,2.977364946705426,0.0,5,0
2025-06-13 14:30:00,2025-06-13 18:30:00,SPX500,LONG,false_breakout_b1,6013.5498046875,5973.0,5973.0,6101.27001953125,5973.0,sl_hit,-40.5498046875,-500.0,-0.6743072894464406,2.1632709582640945,-1.0,7,0
2025-06-18 13:30:00,2025-06-18 18:30:00,SPX500,LONG,false_breakout_b1,6014.60986328125,5973.0,5973.0,6101.27001953125,5973.0,sl_hit,-41.60986328125,-500.0,-0.6918131720442111,2.0826830327282115,-1.0,8,0
2025-07-16 15:30:00,2025-07-24 13:30:00,SPX500,LONG,pin_bar,6237.3701171875,6247.3701171875,6171.0,6370.1103515625,6370.1103515625,tp_hit,132.740234375,1000.0,0.0,2.0,0.0,4,0
2025-09-03 19:30:00,2025-09-05 14:30:00,SPX500,LONG,false_breakout_b1,6447.81005859375,6457.81005859375,6399.2099609375,6545.01025390625,6457.81005859375,sl_hit,10.0,102.8804517094833,0.0,2.0,0.0,4,0
2025-09-05 14:30:00,2025-09-16 13:30:00,SPX500,LONG,pin_bar,6472.89013671875,6482.89013671875,6399.2099609375,6620.25048828125,6620.25048828125,tp_hit,147.3603515625,1000.0,0.0,2.0,0.0,4,0
2025-11-14 14:30:00,2025-11-18 14:30:00,SPX500,LONG,false_breakout_b1,6715.72021484375,6625.68994140625,6625.68994140625,6895.78076171875,6625.68994140625,sl_hit,-90.0302734375,-500.0,-1.3405899971607838,2.0,-1.0,8,0
2025-11-19 14:30:00,2025-11-19 16:30:00,SPX500,LONG,false_breakout_b1,6679.009765625,6625.68994140625,6625.68994140625,6785.6494140625,6625.68994140625,sl_hit,-53.31982421875,-500.0,-0.7983193031573672,2.0,-1.0,11,0
